team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,215,10.741096856979134,7737,6946,1833,246,996,931,197,0.2638928879930896,1036,63,74,1055,445.36949222222233,1318.35259,3.869039990347491,1.27254111003861,5,10,8,9,10,5,9,3,7,2,42,26,68,1,34
MELONHEADS,22,270,10.737388777612178,7255,6454,1639,260,926,919,159,0.25395103811589714,1354,85,0,1338,575.7206611111111,1642.61832,3.8267990768094537,1.21315976366322,9,5,6,7,4,9,1,9,9,9,31,37,68,1,34
NATIONAL PASTIME,23,259,10.496014052394433,7615,6850,1765,249,934,921,155,0.2576642335766423,1162,74,84,1120,507.89564777777775,1428.88245,3.933787289156626,1.22967508605852,6,7,7,6,8,7,10,4,5,8,34,34,68,1,34
BLUE SOCKS,23,252,10.215768701971783,7502,6753,1718,235,912,907,188,0.254405449429883,1166,73,56,1226,490.68894333333344,1401.1525000000001,3.7874789794168104,1.2016745283018868,2,3,5,8,6,6,8,7,10,10,24,41,65,2,34
WESTSIDE MARAUDERS,23,256,10.755540018021588,7204,6457,1655,250,906,900,140,0.25631098033142324,1374,87,32,1374,587.1254522222222,1690.106136,3.8457999053857352,1.230062689956332,7,2,3,5,7,10,4,10,8,7,24,39,63,3,34
BIG RED MACHINE,23,205,9.760065326109402,7643,6796,1702,272,943,954,113,0.25044143613890524,1215,73,38,1154,526.04127,1535.85037,3.896602,1.264074378600823,10,8,10,1,2,6,6,6,6,6,31,30,61,4,34
HOOSIERS,23,228,10.234941055833742,7787,6905,1732,254,989,948,217,0.2508327299058653,1250,74,17,1143,564.3204322222223,1588.37521,4.063107112000001,1.2707001679999999,8,9,9,10,3,7,2,5,2,3,39,19,58,5,34
FREE BIRDS,23,247,9.240162998503628,7403,6552,1666,227,901,871,134,0.25427350427350426,1294,80,27,1250,572.4027155555557,1637.8447,3.9811626275115932,1.2657223338485317,1,1,1,4,5,8,3,8,4,5,12,28,40,6,34
ERIE LAKERS,23,189,7.90791001639513,7392,6562,1700,243,925,905,123,0.25906735751295334,975,59,34,886,440.6753155555555,1280.9022499999999,4.067772143589743,1.3137458974358973,4,4,4,3,9,4,5,1,1,1,24,12,36,7,34
FREE AT LAST,22,236,8.188164865741456,7508,6586,1631,241,929,885,117,0.24764652292742181,1008,59,51,949,452.4815633333333,1277.14932,4.040013958333334,1.2670132142857142,3,6,2,2,1,4,7,2,3,4,14,20,34,8,34
WESTSIDE MARAUDERS,23,267,11.132551733933752,7792,6974,1805,260,975,963,134,0.2588184685976484,1324,84,32,1316,564.5991255555556,1632.603996,3.837909463746224,1.233084589123867,9,9,9,4,8,9,6,9,8,7,39,39,78,1,35
LOUISVILLE SLUGGERS,23,209,10.59867687167454,7295,6547,1696,247,945,897,180,0.2590499465404002,1049,67,77,1108,447.2473022222223,1287.42021,3.8372027836034324,1.2272833269780743,5,8,4,8,9,3,10,4,9,8,34,34,68,2,35
NATIONAL PASTIME,23,252,10.421195981168996,7622,6869,1764,258,933,937,140,0.2568059397292182,1157,72,71,1134,504.59294666666665,1429.9139099999998,3.9250963872082973,1.2358806482281761,7,6,8,5,7,5,8,5,5,6,33,29,62,3,35
BLUE SOCKS,23,254,10.271794733691335,7670,6900,1762,229,931,908,207,0.2553623188405797,1206,74,56,1191,519.7333766666668,1479.96558,3.878607288557215,1.2271688059701493,3,5,5,9,5,6,7,6,6,9,27,34,61,4,35
BIG RED MACHINE,23,204,9.692707364531511,7542,6685,1665,264,942,921,127,0.24906507105459985,1278,79,27,1206,549.33531,1622.5285900000003,3.868558521126761,1.2695841862284822,10,7,7,3,2,7,4,7,7,5,29,30,59,5,35
HOOSIERS,23,229,10.225810628556685,8111,7217,1819,259,1012,977,220,0.25204378550644313,1154,69,28,1032,510.66935,1485.3096500000001,3.9826899046793764,1.2870967504332758,8,10,10,10,3,4,5,3,4,2,41,18,59,5,35
MELONHEADS,20,270,10.586733788340178,6630,5880,1494,242,864,842,149,0.2540816326530612,1282,80,27,1261,540.4527477777777,1516.98123,3.7941300546021837,1.1832926911076445,4,1,1,7,4,8,4,8,10,10,17,40,57,6,35
FREE BIRDS,23,237,9.037752133039408,7319,6507,1662,227,878,887,113,0.25541724296911017,1396,85,0,1339,621.8919900000002,1781.48378,4.009332313753583,1.2761345128939827,2,2,3,1,6,10,2,10,3,4,14,29,43,7,35
ERIE LAKERS,23,200,8.218578895757071,7282,6463,1682,250,921,912,123,0.2602506575893548,1048,61,19,979,476.07255888888886,1364.9241499999998,4.088409379770992,1.3024085400763357,6,4,6,2,10,2,3,2,2,1,28,10,38,8,35
FREE AT LAST,22,233,7.933205430314282,7263,6346,1573,229,908,843,143,0.24787267570122912,940,56,76,929,428.12678555555556,1200.10275,4.099086244680851,1.2767050531914894,3,3,2,6,1,1,9,1,1,3,15,15,30,9,35
LOUISVILLE SLUGGERS,23,220,10.725582160533811,7954,7139,1850,273,1011,977,164,0.2591399355652052,894,59,87,939,368.87650666666667,1087.03325,3.713521879194631,1.2159208612975392,10,10,10,8,8,3,10,2,10,9,46,34,80,1,36
MELONHEADS,23,268,10.688625621278375,7605,6751,1692,259,968,938,164,0.250629536364983,1259,79,27,1280,529.69764,1502.0471499999999,3.786559777601271,1.1930477760127085,8,8,8,8,2,9,4,9,8,10,34,40,74,2,36
WESTSIDE MARAUDERS,23,267,11.088181740014749,7652,6876,1799,248,964,940,159,0.2616346713205352,1271,79,54,1267,551.9109100000001,1581.1051460000003,3.9081024311565704,1.2439851660110153,5,7,9,7,10,9,7,7,6,6,38,35,73,3,36
BLUE SOCKS,23,250,10.068949875912233,7453,6705,1716,239,910,912,165,0.25592841163310964,1272,78,29,1270,535.0844822222223,1557.3957799999998,3.7859751100628936,1.2243677515723268,4,4,4,9,7,8,5,8,9,8,28,38,66,4,36
NATIONAL PASTIME,23,252,10.407875847151136,7611,6831,1739,261,930,931,133,0.2545747328356024,1151,74,84,1141,497.4731233333334,1422.89967,3.8898854126846225,1.2362290790616854,9,5,6,4,5,6,9,4,7,7,29,33,62,5,36
HOOSIERS,23,239,10.134639685591246,7713,6842,1716,249,973,936,215,0.2508038585209003,1154,73,41,1085,502.1028977777778,1450.3182500000003,3.915880485268631,1.2567749133448876,6,9,7,10,3,5,6,3,5,5,35,24,59,6,36
BIG RED MACHINE,23,206,9.726989610837318,7517,6687,1705,251,941,920,128,0.25497233438014055,1250,75,27,1168,552.0624177777778,1582.7452600000001,3.9748494080000003,1.2661962080000002,7,6,5,3,6,7,4,6,4,4,27,25,52,7,36
