team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BIG RED MACHINE,23,209,9.854441494399374,7664,6772,1703,270,967,941,120,0.2514766686355582,1189,70,54,1120,526.4341233333333,1498.2704,3.984783103448276,1.2601096719932718,10,8,8,2,3,7,8,6,5,4,31,30,61,5,3
BLUE SOCKS,18,265,9.630248188395548,6975,6280,1614,215,872,831,173,0.2570063694267516,747,52,61,818,307.0476466666667,873.77617,3.699369236947792,1.1697137483266398,1,1,2,8,7,4,9,1,10,10,19,34,53,6,3
FREE BIRDS,23,251,9.337128866436819,7382,6559,1662,231,885,887,138,0.2533922854093612,1374,84,0,1341,615.9369477777777,1723.43875,4.034521491994178,1.2543222343522562,2,2,4,4,4,10,2,10,4,5,16,31,47,7,3
ERIE LAKERS,23,194,8.155572783752339,7305,6501,1695,241,909,903,115,0.2607291185971389,1107,65,10,1001,505.73948222222225,1453.3059099999998,4.111703107497742,1.3128328003613368,5,4,5,1,10,6,3,2,1,2,25,14,39,8,3
FREE AT LAST,22,211,8.133018972882395,7207,6328,1564,232,892,850,132,0.24715549936788875,1106,65,52,1025,499.8940711111111,1459.9705800000002,4.067854104882459,1.320045732368897,3,3,3,3,1,6,7,3,3,1,13,20,33,9,3
WESTSIDE MARAUDERS,21,270,11.04730053500981,7351,6546,1673,262,932,921,158,0.25557592422853653,1226,77,32,1238,523.7901988888889,1498.3366660000002,3.845115652528548,1.222134311582382,8,6,7,6,7,8,5,8,8,8,34,37,71,1,4
BLUE SOCKS,21,265,10.083061632147265,7893,7116,1813,245,964,945,174,0.2547779651489601,905,61,48,918,377.16371000000004,1113.37922,3.750799325966851,1.230253281767956,7,9,9,8,6,4,6,2,10,7,39,29,68,2,4
LOUISVILLE SLUGGERS,23,204,10.631951801743039,7447,6667,1743,244,964,907,185,0.2614369281535923,1138,69,53,1123,489.2284122222223,1417.16747,3.8691174956063272,1.245314121265378,6,9,5,9,10,5,8,4,6,6,39,29,68,2,4
MELONHEADS,23,242,10.07433969502804,7482,6642,1679,245,937,910,171,0.25278530563083407,1185,71,54,1162,506.96768333333335,1419.31641,3.850387468354431,1.1977353670886075,7,7,6,7,4,6,9,5,7,10,31,37,68,2,4
HOOSIERS,23,233,10.504566093910798,7879,6990,1740,279,1002,993,215,0.24892703862660945,1297,77,0,1184,592.4632533333333,1655.3520999999998,4.111155959907479,1.2762930609097918,10,10,10,10,2,8,3,6,2,3,42,22,64,3,4
NATIONAL PASTIME,22,270,10.381831708866873,7083,6366,1651,224,868,845,140,0.25934652843229655,1269,81,52,1286,534.1393233333333,1539.81339,3.788222151300236,1.213406926713948,2,2,1,5,8,10,7,10,9,9,18,45,63,4,4
BIG RED MACHINE,23,210,9.851263068800103,7615,6737,1699,264,960,936,130,0.25218940181089505,1268,75,27,1196,551.5290777777778,1617.4436200000002,3.9146385646687705,1.275586451104101,9,8,8,4,3,7,4,7,5,4,32,27,59,5,4
FREE BIRDS,23,247,9.119651664238708,7369,6518,1655,229,894,876,119,0.2539122430193311,1257,78,32,1258,559.1823677777778,1573.8378900000002,4.003692370723946,1.2520587828162293,3,4,3,3,5,9,5,9,3,5,18,31,49,6,4
ERIE LAKERS,23,214,8.094209859711716,7202,6426,1677,243,905,900,118,0.26097105508870216,907,54,63,861,399.65145777777775,1174.62809,3.965670474090408,1.295069558985667,5,5,4,2,9,3,10,1,4,2,25,20,45,7,4
FREE AT LAST,22,218,8.098126160631512,7305,6459,1606,234,891,871,118,0.24864530113020591,1147,69,32,1044,524.3284044444445,1488.66579,4.114172310374891,1.2978777593722755,4,3,2,2,1,5,5,3,1,1,12,15,27,8,4
WESTSIDE MARAUDERS,23,268,11.187198387874243,7547,6770,1744,255,949,935,171,0.25760709010339733,1262,79,59,1294,542.0198966666667,1546.2591860000002,3.865435079239303,1.225244996830428,8,8,9,7,7,9,7,9,6,9,39,40,79,1,5
LOUISVILLE SLUGGERS,23,220,10.683283405696507,7508,6765,1770,250,970,921,185,0.2616407982261641,1094,69,69,1074,469.04839000000004,1358.6965200000002,3.8587161882998173,1.2419529433272396,7,9,7,9,9,4,9,3,7,6,41,29,70,2,5
MELONHEADS,23,244,9.963814857142182,7489,6629,1671,248,941,911,172,0.2520742193392669,1250,78,14,1239,533.3565255555557,1509.7584200000001,3.840166984000001,1.207806736,6,7,5,8,5,8,4,8,9,10,31,39,70,2,5
NATIONAL PASTIME,23,259,10.377582828900861,7548,6748,1697,255,912,911,134,0.2514819205690575,1213,76,84,1199,504.7467066666667,1486.9767800000002,3.745029150865623,1.2258670898598518,8,4,5,4,4,7,10,7,10,8,25,42,67,3,5
HOOSIERS,23,236,10.474195943721254,7897,6997,1746,275,1000,988,209,0.2495355152208089,1257,74,27,1096,573.6280511111112,1645.9351699999997,4.107122084327765,1.309415409705648,10,10,10,10,1,5,5,4,1,1,41,16,57,4,5
BIG RED MACHINE,23,204,9.739440855467707,7468,6629,1665,260,932,927,117,0.2511691054457686,1296,76,27,1195,570.53851,1627.92566,3.962072986111111,1.2561154783950619,9,6,8,3,3,7,5,6,5,4,29,27,56,5,5
BLUE SOCKS,20,265,9.792972948780523,6989,6312,1648,208,873,829,165,0.26108998732572875,1105,75,29,1126,472.9572166666667,1369.28122,3.852140226244344,1.2391685248868778,2,1,2,6,8,6,6,5,8,7,19,32,51,6,5
FREE BIRDS,23,248,9.065288276619912,7386,6544,1653,235,888,884,108,0.2525977995110024,1308,82,0,1351,577.3164066666667,1629.11381,3.9723605963302755,1.2454998547400613,4,2,4,1,6,10,3,10,4,5,17,32,49,7,5
ERIE LAKERS,23,198,8.22844227684225,7373,6563,1723,246,927,919,115,0.26253237848544875,1003,58,27,942,456.7006222222222,1290.47085,4.098011565304088,1.2866110169491525,5,5,6,2,10,3,5,2,2,2,28,14,42,8,5
FREE AT LAST,22,230,8.067908588369342,7193,6316,1578,220,903,842,161,0.2498416719442685,1002,57,65,927,445.7845422222223,1281.7733700000001,4.0040527744510985,1.2792149401197606,3,3,3,5,2,2,8,1,3,3,16,17,33,9,5
