playerid,xMLBAMID,Team,PlayerName,auction_type,fg_auction_dollars
29976,691783,ARI,Jordan Lawlar,bat,3.2460578875682575
20302,656849,NYM,David Peterson,pit,3.210783719844832
31872,690990,CHC,Cade Horton,pit,3.1779216762248153
25979,683083,WSN,Nasim Nunez,bat,3.163355339931485
27506,673490,ATL,Ha-seong Kim,bat,3.103801143586189
19610,660688,WSN,Keibert Ruiz,bat,3.101849417178934
18577,663647,CIN,Ke'Bryan Hayes,bat,3.033298888728944
17586,656945,LAD,Tanner Scott,pit,3.001109168811983
15878,609280,SDP,Miguel Andujar,bat,2.9830947792553335
27496,683357,MIA,Owen Caissie,bat,2.942708609181116
25377,663903,CIN,Brady Singer,pit,2.873650720770592
29869,700241,STL,Michael McGreevy,pit,2.8503721373895257
25007,681911,LAD,Alex Vesia,pit,2.78906630692547
19876,656464,ARI,Kevin Ginkel,pit,2.784946523512011
21693,665804,CHC,Miguel Amaya,bat,2.397795096109645
29868,696149,PIT,Bubba Chandler,pit,2.3873075359408977
13649,605280,NYM,Clay Holmes,pit,2.349919096276528
19343,640462,ARI,A.J. Puk,pit,2.265086441203824
31838,673540,NYM,Kodai Senga,pit,2.240313610099088
10078,573204,CHC,Caleb Thielbar,pit,2.2198711184329705
20348,676617,STL,Riley O'Brien,pit,2.2053657214651885
25782,686780,STL,Pedro Pages,bat,2.175276439611237
11861,592094,SDP,Jason Adam,pit,2.1348744889173124
11737,592206,SDP,Nick Castellanos,bat,2.0965917846911024
35323,808963,LAD,Roki Sasaki,pit,2.0577269010660606
16358,641816,SFG,Tyler Mahle,pit,1.9895483083461416
33390,805811,SFG,Bryce Eldridge,bat,1.9762145380310412
18655,621345,NYM,A.J. Minter,pit,1.9702198242361826
30076,694738,SFG,Landen Roupp,pit,1.8676004801025967
25977,682990,MIL,Quinn Priester,pit,1.8117082637571973
11674,592791,CHC,Jameson Taillon,pit,1.7987501760065803
18383,647336,ARI,Michael Soroka,pit,1.771847814306999
NA,701807,NYM,Carson Benge,bat,1.7204710782036479
18064,664208,CHC,Phil Maton,pit,1.710772183380485
