Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
ATL,Braves,12,9,28,28,0,0,NA,159,665,136,73,68,20,187,55,NA,8,3.84757,1.20708,10.6173,3.12589,3.39658,1.15017,0.28157,0.0828981,0.1986718475818634,NA,0.22656,0.294275,0.725519,3.62174,762.0000000000001,4.79245283018868,720,4.528301886792453,2.83412,2.76296,15,99.0199966430664,16,NL,Spencer Strider,675911,27498,27498,16.000138218742023
MIA,Marlins,11,11,31,31,0,0,NA,188,790,182,92,85,21,156,54,NA,7,4.07592,1.25788,7.47343,2.58842,2.88725,1.0117,0.197582,0.0684326,0.12914969772100449,NA,0.250348,0.292495,0.696567,3.91666,788.7,4.195212765957447,796,4.23404255319149,2.72298,2.74264,16,148.0500030517578,20,NL,Sandy Alcantara,645261,18684,18684,7.875634426101367
LAD,Dodgers,10,6,24,24,0,0,NA,132,555,106,56,52,15,164,59,NA,3,3.54547,1.24382,11.1767,3.99883,2.795,1.03152,0.296176,0.105966,0.19020935148000717,NA,0.21462,0.289138,0.755374,3.54466,658.7000000000002,4.990151515151516,607,4.598484848484849,2.68587,2.77725,14,125.0199966430664,22,NL,Blake Snell,605483,13543,13543,12.910074267768127
CIN,Reds,9,9,29,29,0,0,NA,164,695,159,82,76,25,149,50,NA,4,4.17201,1.2703,8.17231,2.75442,2.96698,1.3425,0.214951,0.0724477,0.14250293374061584,NA,0.247746,0.287519,0.728134,4.25517,628.7000000000002,3.8335365853658545,631,3.847560975609756,2.65387,2.50102,15,211.6999969482422,18,NL,Andrew Abbott,671096,29911,29911,4.221949257953275
NYM,Mets,11,9,29,29,0,0,NA,162,680,137,75,69,21,177,61,NA,7,3.82923,1.2182,9.82737,3.37405,2.91264,1.1885,0.26064,0.0894858,0.17115385085344315,NA,0.223677,0.279338,0.733537,3.92575,734.3,4.532716049382715,687,4.2407407407407405,2.63435,2.40515,16,58.22999954223633,25,NL,Freddy Peralta,642547,18679,18679,13.572721869639523
LAD,Dodgers,8,6,24,24,0,0,NA,133,546,110,59,54,17,155,49,NA,3,3.67865,1.197,10.5003,3.31916,3.16353,1.12629,0.283454,0.0896004,0.19385343044996262,NA,0.222169,0.288617,0.736165,3.59324,643.1,4.8353383458646615,598,4.496240601503759,2.62681,2.51421,13,121.20999908447266,22,NL,Tyler Glasnow,607192,14374,14374,11.76108141549373
SDP,Padres,10,10,29,29,0,0,NA,173,714,150,81,75,27,190,52,NA,5,3.91626,1.16896,9.85736,2.72084,3.62291,1.41455,0.265999,0.0734215,0.19257774949073792,NA,0.228807,0.279844,0.74096,3.97743,767.0999999999999,4.434104046242774,723,4.179190751445087,2.5543,2.49582,16,95.2300033569336,29,NL,Nick Pivetta,601713,15454,15454,15.5348012946797
CLE,Guardians,11,11,31,31,0,0,NA,182,764,170,85,79,24,170,54,NA,8,3.90281,1.23386,8.42212,2.68449,3.13733,1.21035,0.222654,0.0709692,0.15168452262878418,NA,0.242355,0.28712,0.731393,4.03932,763.5999999999999,4.195604395604395,752,4.131868131868132,2.54369,2.57852,17,188.52999877929688,5,AL,Tanner Bibee,676440,30134,30134,NA
KCR,Royals,10,8,24,34,0,1,NA,145,614,136,65,60,16,140,49,NA,5,3.7448,1.28033,8.71213,3.05441,2.85231,0.967036,0.22832,0.0800474,0.1482725515961647,NA,0.243213,0.298385,0.735795,3.70857,644.6,4.445517241379311,639,4.406896551724138,2.52619,2.51153,12,203.6699981689453,7,AL,Kris Bubic,663460,21455,21455,NA
DET,Tigers,11,10,29,29,0,0,NA,160,684,145,77,72,21,176,58,NA,7,4.01602,1.26887,9.87099,3.26755,3.02091,1.1938,0.25689,0.0850372,0.17185284942388535,NA,0.234623,0.293836,0.727252,3.89216,705.7,4.4106250000000005,684,4.275,2.48702,2.11347,15,221.08999633789062,6,AL,Jack Flaherty,656427,17479,17479,NA
