Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
ARI,Diamondbacks,4,3,0,59,5,11,NA,59,253,56,28,25,6,55,22,NA,3,3.88457,1.33079,8.39764,3.40945,2.46305,0.946562,0.217428,0.0882761,0.12915223091840744,NA,0.246189,0.299372,0.727663,3.91006,321.20000000000005,5.44406779661017,321,5.440677966101695,0.111442,0.262929,0,741.78997802734375,15,NL,Drey Jameson,686753,26260,26260,-0.9099681632917087
ATH,Athletics,2,2,3,21,0,1,NA,34,151,34,19,18,4,29,16,NA,2,4.7175,1.48458,7.58291,4.34124,1.74672,1.14335,0.188366,0.10784,0.08052580058574677,NA,0.254711,0.295156,0.702192,4.71608,122.00000000000003,3.588235294117648,126,3.7058823529411766,0.111106,0.0864131,1,999,10,AL,Braden Nett,804556,sa3020336,sa3020336,NA
BOS,Red Sox,1,1,2,20,0,1,NA,27,116,27,14,13,4,24,9,NA,1,4.37965,1.33047,7.99539,2.99561,2.66904,1.23262,0.205929,0.0771546,0.128774031996727,NA,0.253642,0.295979,0.708761,4.28125,102.40000000000002,3.792592592592593,105,3.888888888888889,0.110675,0.0793833,1,999,3,AL,Tyler Uberstine,700413,sa3017643,sa3017643,NA
HOU,Astros,2,2,2,24,0,1,NA,31,130,29,16,14,5,30,10,NA,1,4.23055,1.26345,8.61724,2.90598,2.96535,1.34531,0.226732,0.0764606,0.15027180314064026,NA,0.243631,0.287285,0.718453,4.25037,123.49999999999997,3.9838709677419346,121,3.903225806451613,0.109522,0.146324,1,999,21,AL,Hayden Wesneski,669713,27581,27581,NA
SDP,Padres,3,3,0,57,0,10,NA,57,244,52,26,24,5,50,25,NA,3,3.84542,1.34337,7.9438,3.88124,2.04672,0.826935,0.206169,0.100731,0.10543738305568695,NA,0.239983,0.290222,0.723192,4.00556,281.09999999999997,4.93157894736842,276,4.842105263157895,0.109261,0.205765,0,999,29,NL,Wandy Peralta,593974,14295,14295,-3.949434999014483
COL,Rockies,3,4,0,60,3,11,NA,60,264,61,33,31,8,55,27,NA,3,4.63795,1.46741,8.30561,4.11776,2.01702,1.21214,0.209612,0.103922,0.10569018125534058,NA,0.258833,0.30772,0.711298,4.5432,266,4.433333333333334,275,4.583333333333333,0.104255,0.281557,0,712.84002685546875,19,NL,Seth Halvorsen,678020,33294,33294,-7.897846113904274
ATH,Athletics,3,3,0,58,3,10,NA,58,252,52,29,27,8,60,27,NA,3,4.19277,1.36822,9.27432,4.25911,2.17753,1.17065,0.237622,0.109125,0.12849755585193634,NA,0.235075,0.289008,0.732135,4.35328,280.6000000000001,4.83793103448276,271,4.672413793103448,0.102676,0.140511,0,999,10,AL,Elvis Alvarado,665660,21662,21662,NA
MIA,Marlins,2,2,2,28,0,1,NA,35,148,36,18,17,5,27,10,NA,1,4.33484,1.32172,6.9781,2.54665,2.74011,1.22367,0.180825,0.065992,0.11483350396156311,NA,0.261324,0.294677,0.70791,4.29044,128.9,3.682857142857143,135,3.857142857142857,0.101225,0.148373,1,999,20,NL,Adam Mazur,800049,31900,31900,NA
ATH,Athletics,3,2,0,50,0,4,NA,50,212,49,24,22,6,44,16,NA,2,4.0103,1.2916,7.901,2.87209,2.75096,1.15691,0.207223,0.0753275,0.13189569860696793,NA,0.250229,0.29304,0.727012,4.10067,218.79999999999998,4.3759999999999994,222,4.44,0.10116,0.102288,0,999,10,AL,Brady Basso,669620,25582,25582,NA
HOU,Astros,1,1,2,10,0,1,NA,17,73,16,9,8,3,17,7,NA,0,4.15375,1.30947,9.03339,3.65008,2.47484,1.343,0.236933,0.0957367,0.14119669795036316,NA,0.23747,0.284414,0.738994,4.35713,64.30000000000001,3.7823529411764714,63,3.7058823529411766,0.100291,0.0485656,1,999,21,AL,Ronel Blanco,669854,19407,19407,NA
NYM,Mets,2,1,2,26,0,1,NA,32,139,30,15,14,3,31,13,NA,2,3.96275,1.33411,8.56545,3.67937,2.32797,0.98,0.219011,0.0940781,0.12493269890546799,NA,0.239425,0.291153,0.723229,4.08995,142.9,4.465625,142,4.4375,0.100076,0.0740249,1,999,25,NL,Jonathan Pintaro,702752,33980,33980,NA
KCR,Royals,2,3,3,27,0,1,NA,40,179,41,24,22,6,32,17,NA,2,4.90828,1.43832,7.23848,3.71816,1.94679,1.30261,0.181611,0.0932874,0.08832358568906784,NA,0.259305,0.293036,0.689144,4.83297,126.6,3.165,133,3.325,0.0999051,-0.0354362,1,999,7,AL,Mason Black,696131,30171,30171,NA
NYY,Yankees,2,2,0,50,0,5,NA,50,210,45,24,22,7,51,16,NA,2,3.98927,1.21766,9.20611,2.86164,3.21708,1.28236,0.243152,0.0755816,0.16757021844387054,NA,0.234178,0.282906,0.729209,4.03631,234.89999999999998,4.6979999999999995,227,4.54,0.0995923,0.032888,0,999,9,AL,Brent Headrick,687396,27702,27702,NA
SFG,Giants,3,3,0,61,2,13,NA,61,260,55,28,26,6,56,24,NA,3,3.88929,1.3063,8.25525,3.58138,2.30505,0.899013,0.215157,0.0933415,0.12181509286165237,NA,0.238112,0.288975,0.720905,3.94405,327.6000000000001,5.37049180327869,320,5.245901639344262,0.0985819,0.302146,0,999,30,NL,José Buttó,676130,23313,23313,-2.3083845758834203
ARI,Diamondbacks,0,0,2,2,0,0,NA,9,37,9,4,4,1,7,2,NA,0,4.13769,1.275,7.55796,2.34881,3.21778,1.24351,0.197191,0.0612817,0.13590941578149796,NA,0.255996,0.2936,0.721075,4.14449,38.90000000000001,4.322222222222224,40,4.444444444444445,0.0981042,0.171629,1,999,15,NL,Mitch Bratt,683352,sa3017719,sa3017719,NA
TBR,Rays,3,3,0,55,0,10,NA,55,235,54,28,25,7,49,19,NA,2,4.16988,1.33102,8.04358,3.18602,2.52465,1.19148,0.208994,0.0827814,0.12621274590492249,NA,0.250951,0.29459,0.721977,4.218,255.49999999999997,4.645454545454545,259,4.709090909090909,0.0975323,0.0150302,0,999,12,AL,Cole Sulser,642121,15256,15256,NA
MIL,Brewers,2,3,2,42,0,1,NA,49,212,46,26,24,7,45,19,NA,3,4.42711,1.3306,8.32745,3.55629,2.34161,1.2997,0.214055,0.0914136,0.12264136224985123,NA,0.241715,0.282477,0.711476,4.51952,184.9,3.773469387755102,182,3.7142857142857144,0.0974115,0.027225,1,999,23,NL,Carlos Rodriguez,692230,30161,30161,-6.305251869735697
TEX,Rangers,1,2,2,18,0,1,NA,25,106,26,14,13,4,19,6,NA,0,4.81533,1.3035,6.88264,2.27695,3.02275,1.50071,0.179675,0.059441,0.12023419886827469,NA,0.263626,0.28944,0.679304,4.58754,92.20000000000002,3.6880000000000006,97,3.88,0.094355,0.00732499,1,999,13,AL,Austin Gomber,596295,16561,16561,NA
BAL,Orioles,0,1,2,2,0,0,NA,9,37,8,5,4,1,8,3,NA,1,4.42918,1.35628,7.98395,3.33037,2.39732,1.15583,0.204302,0.0852212,0.11908113956451416,NA,0.252567,0.296891,0.700769,4.34228,37.500000000000014,4.166666666666668,36,4,0.0941124,0.0461427,1,999,2,AL,Trey Gibson,694346,sa3023250,sa3023250,NA
CIN,Reds,2,2,0,50,0,4,NA,50,217,46,27,25,6,49,23,NA,4,4.44307,1.37096,8.80322,4.06636,2.16489,1.11728,0.225527,0.104175,0.12135231494903564,NA,0.24124,0.293597,0.696846,4.37387,209.6,4.192,205,4.1,0.0930564,0.00293135,0,999,18,NL,Sam Moll,594580,14874,14874,-7.174163394911519
TOR,Blue Jays,1,1,2,16,0,1,NA,22,96,19,11,10,3,23,11,NA,2,4.20907,1.36915,9.34565,4.41977,2.11451,1.05967,0.236663,0.111923,0.12473966926336288,NA,0.230699,0.286919,0.714392,4.33372,87.5,3.977272727272727,82,3.727272727272727,0.0924882,0.0766324,1,999,14,AL,Ricky Tiedemann,694357,sa3018096,sa3018096,NA
HOU,Astros,3,3,0,60,0,12,NA,60,254,55,30,28,9,59,22,NA,3,4.13758,1.28078,8.92325,3.28064,2.71997,1.32672,0.234445,0.0861938,0.14825108647346497,NA,0.240006,0.287015,0.733558,4.30259,281.3,4.6883333333333335,274,4.566666666666666,0.0918471,0.054956,0,999,21,AL,Enyel De Los Santos,660853,18403,18403,NA
ARI,Diamondbacks,2,2,0,44,0,4,NA,44,187,43,19,18,4,37,14,NA,2,3.60606,1.2882,7.60945,2.78764,2.72971,0.872015,0.198745,0.0728082,0.1259370595216751,NA,0.251003,0.298249,0.741414,3.77161,206.60000000000002,4.695454545454546,210,4.7727272727272725,0.0912935,0.198153,0,999,15,NL,Jonathan Loáisiga,642528,19753,19753,-4.252782916306956
NA,NA,2,2,0,37,0,0,NA,37,160,32,18,17,5,40,18,NA,2,4.14542,1.34848,9.7338,4.25798,2.28601,1.18216,0.250605,0.109625,0.14097946882247925,NA,0.230344,0.287556,0.730617,4.22586,149.10000000000002,4.0297297297297305,140,3.7837837837837838,0.0911403,0.153552,0,999,-1,NA,José Leclerc,600917,14524,14524,NA
SEA,Mariners,1,1,2,14,0,1,NA,21,89,20,10,10,3,18,7,NA,1,4.12667,1.29333,7.90754,2.90294,2.72397,1.13965,0.205123,0.0753028,0.12982013076543808,NA,0.248579,0.291079,0.713374,4.15815,82.5,3.9285714285714284,82,3.9047619047619047,0.0896908,0.104658,1,999,11,AL,Dane Dunning,641540,19409,19409,NA
CIN,Reds,3,3,3,45,0,1,NA,59,257,59,34,32,9,49,24,NA,3,4.8477,1.41777,7.60218,3.68868,2.06095,1.4147,0.192495,0.0934012,0.09909408539533615,NA,0.256324,0.290319,0.699023,4.85686,193.50000000000003,3.279661016949153,199,3.3728813559322033,0.0882957,0.058291,1,999,18,NL,Brandon Williamson,682227,25463,25463,-8.735938466868909
ATH,Athletics,2,3,5,21,0,1,NA,42,182,45,24,23,7,31,13,NA,2,4.86758,1.36484,6.63289,2.71589,2.44225,1.53608,0.170393,0.069769,0.10062430799007416,NA,0.267501,0.291022,0.697271,4.93332,128.70000000000002,3.0642857142857145,140,3.3333333333333335,0.0879368,0.121733,2,999,10,AL,Gunnar Hoglund,680684,31318,31318,NA
NA,NA,1,2,5,5,0,0,NA,24,106,26,15,14,4,15,9,NA,1,5.05727,1.44366,5.68166,3.18381,1.78455,1.30664,0.144122,0.0807614,0.06336095184087753,NA,0.273945,0.295034,0.673524,4.96508,60.80000000000004,2.533333333333335,68,2.8333333333333335,0.0840264,9.10489e-4,2,999,-1,NA,Wade Miley,489119,8779,8779,NA
HOU,Astros,2,2,2,28,0,1,NA,35,152,32,19,17,4,33,15,NA,4,4.46526,1.36347,8.52393,3.86836,2.2035,1.08515,0.215705,0.0978919,0.11781273037195206,NA,0.242145,0.291628,0.691648,4.41333,139.60000000000002,3.9885714285714293,136,3.8857142857142857,0.082965,0.0102206,1,999,21,AL,Kai-Wei Teng,678906,24282,24282,NA
TOR,Blue Jays,3,3,0,52,0,7,NA,52,223,44,24,22,6,59,24,NA,2,3.84019,1.30027,10.1807,4.08465,2.49242,1.09695,0.263364,0.105666,0.15769793093204498,NA,0.222999,0.284964,0.743777,3.95577,264.6,5.088461538461539,250,4.8076923076923075,0.0824988,0.0282866,0,999,14,AL,Braydon Fisher,680755,24609,24609,NA
COL,Rockies,1,2,3,11,0,1,NA,23,103,24,15,14,4,21,10,NA,2,5.25589,1.46562,8.30592,3.87481,2.14357,1.51416,0.207483,0.096793100000000007,0.11068980395793915,NA,0.26208,0.303264,0.683651,4.97196,68.6,2.9826086956521736,73,3.1739130434782608,0.0813845,0.055517,1,999,19,NL,McCade Brown,685326,30004,30004,NA
ARI,Diamondbacks,2,1,0,22,0,1,NA,22,94,17,9,8,2,28,12,NA,1,3.20487,1.30114,11.3375,4.80253,2.36073,0.615541,0.293765,0.12443799999999999,0.1693267524242401,NA,0.208053,0.29612,0.754817,3.3021,115.00000000000001,5.2272727272727275,105,4.7727272727272725,0.0813647,0.0641037,0,999,15,NL,Justin Martinez,679885,24453,24453,NA
ATL,Braves,2,2,0,50,0,7,NA,50,214,45,23,21,5,52,22,NA,2,3.73435,1.34,9.43902,3.99662,2.36175,0.91171,0.244795,0.10365,0.14114518463611603,NA,0.235727,0.29978900000000003,0.740643,3.80534,251.5,5.03,245,4.9,0.0807716,0.0654313,0,999,16,NL,Ian Hamilton,641656,19261,19261,-4.341652047423711
LAD,Dodgers,2,1,0,28,0,1,NA,28,114,24,12,11,3,30,9,NA,1,3.45334,1.15702,9.77346,2.79967,3.49094,1.04929,0.266106,0.0762275,0.18987812846899033,NA,0.226699,0.288392,0.743198,3.52673,141.90000000000003,5.067857142857144,135,4.821428571428571,0.0791023,0.0625162,0,999,22,NL,Evan Phillips,623465,17734,17734,NA
DET,Tigers,1,2,2,25,0,1,NA,32,137,31,17,16,4,28,12,NA,1,4.43851,1.37918,7.97623,3.53486,2.25645,1.22861,0.203508,0.0901899,0.11331862211227417,NA,0.251262,0.292759,0.711085,4.42427,128.00000000000003,4.000000000000001,129,4.03125,0.0789599,0.0267854,1,999,6,AL,Ty Madden,680744,30140,30140,NA
ATL,Braves,3,2,0,53,0,10,NA,53,226,52,26,24,7,48,17,NA,2,4.06521,1.29281,8.19294,2.86326,2.8614,1.11423,0.213949,0.0747708,0.1391783058643341,NA,0.250147,0.297271,0.718432,3.99936,249.90000000000003,4.715094339622643,253,4.773584905660377,0.0782579,0.13227,0,999,16,NL,Joel Payamps,606303,14332,14332,-4.024734278664447
ATH,Athletics,2,2,0,40,0,1,NA,40,169,34,18,17,5,43,16,NA,3,3.82433,1.26436,9.65153,3.68556,2.61874,1.013,0.253589,0.0968361,0.1567527875304222,NA,0.227555,0.288635,0.726067,3.87005,179.1,4.4775,168,4.2,0.0775541,0.0660513,0,999,10,AL,Jack Perkins,678022,31468,31468,NA
COL,Rockies,3,3,0,58,2,10,NA,58,257,58,31,29,7,53,27,NA,5,4.46485,1.46316,8.23054,4.18826,1.96515,1.03622,0.20666,0.105163,0.10149762779474258,NA,0.257355,0.309979,0.711437,4.44694,252.3,4.3500000000000005,259,4.4655172413793105,0.0756129,0.269041,0,999,19,NL,Brennan Bernardino,657514,16835,16835,-7.550676832774448
CHW,White Sox,3,3,0,52,0,6,NA,52,223,49,25,23,7,51,19,NA,2,4.0671,1.31761,8.78341,3.30362,2.65872,1.13641,0.227243,0.0854707,0.14177192747592926,NA,0.244757,0.296351,0.72973,4.05794,234.30000000000004,4.505769230769231,232,4.461538461538462,0.0755803,0.0179276,0,999,4,AL,Brandon Eisert,685126,27668,27668,NA
BAL,Orioles,2,2,2,21,0,1,NA,27,116,28,14,13,4,24,8,NA,1,4.37146,1.30532,7.92903,2.61152,3.03617,1.36837,0.205858,0.0678018,0.13805601000785828,NA,0.256261,0.294743,0.717601,4.30452,102.80000000000003,3.8074074074074082,108,4,0.0725742,0.0588707,1,999,2,AL,Brandon Young,687064,27819,27819,NA
NYM,Mets,2,2,0,48,0,5,NA,48,205,43,23,21,5,46,21,NA,2,4.00006,1.32887,8.60105,3.86551,2.22508,1.02424,0.223709,0.10054,0.12316884100437164,NA,0.236497,0.287394,0.724122,4.11046,224.90000000000003,4.685416666666668,218,4.541666666666667,0.0717655,0.0453575,0,999,25,NL,Bryan Hudson,663542,19924,19924,-4.98637524596816
CLE,Guardians,3,4,0,58,0,12,NA,58,247,53,29,27,8,57,21,NA,3,4.12732,1.28461,8.78277,3.32386,2.64234,1.17923,0.229592,0.0868896,0.14270257204771042,NA,0.239555,0.28898,0.717984,4.17558,283.00000000000006,4.879310344827587,276,4.758620689655173,0.0716548,0.0193048,0,999,5,AL,Matt Festa,670036,19330,19330,NA
STL,Cardinals,1,1,2,10,0,1,NA,16,69,15,8,7,2,14,6,NA,1,4.24219,1.35788,8.03904,3.62762,2.21606,1.16543,0.206772,0.093306,0.11346597969532013,NA,0.245868,0.288502,0.719393,4.34145,65.80000000000001,4.112500000000001,65,4.0625,0.0705104,0.0898973,1,999,28,NL,Tink Hence,693311,sa3014709,sa3014709,NA
SFG,Giants,1,1,0,28,0,1,NA,28,117,27,12,11,2,24,7,NA,1,3.42857,1.22835,7.74527,2.3423,3.3067,0.738429,0.205388,0.0621127,0.14327511563897133,NA,0.248613,0.300217,0.727221,3.36876,140.40000000000003,5.014285714285715,142,5.071428571428571,0.0694958,0.0456393,0,999,30,NL,Jason Foley,671345,19531,19531,NA
WSN,Nationals,1,2,2,23,0,1,NA,29,127,32,16,15,4,24,8,NA,1,4.60376,1.36418,7.2362,2.58116,2.80347,1.35677,0.185046,0.0660061,0.11904008686542511,NA,0.267634,0.301755,0.704846,4.44511,107.20000000000003,3.696551724137932,118,4.068965517241379,0.0681902,-0.0363187,1,999,24,NL,Trevor Williams,592866,16977,16977,NA
PHI,Phillies,1,2,3,14,0,1,NA,30,129,32,18,16,5,21,9,NA,1,4.9974,1.39449,6.25153,2.82759,2.2109,1.49385,0.159815,0.0722848,0.08752989768981934,NA,0.270784,0.292213,0.687663,4.9741,93.3,3.11,101,3.3666666666666667,0.0670954,0.0768121,1,999,26,NL,Bryse Wilson,669060,19990,19990,NA
NA,NA,2,2,0,40,0,0,NA,40,173,41,20,18,5,29,15,NA,1,4.14454,1.39105,6.63213,3.26786,2.0295,1.02753,0.170344,0.0839339,0.08641019463539124,NA,0.261472,0.29665,0.723397,4.32922,137.9,3.4475000000000002,145,3.625,0.0670747,0.105154,0,999,-1,NA,Joey Lucchesi,664192,19320,19320,NA
BAL,Orioles,3,3,0,50,0,4,NA,50,215,46,25,22,6,52,22,NA,2,4.04233,1.35232,9.35281,3.89881,2.39889,1.05431,0.241228,0.100558,0.1406695693731308,NA,0.239971,0.299941,0.723495,4.01316,224.6,4.492,220,4.4,0.0663264,-0.0111806,0,999,2,AL,Colin Selby,681882,24986,24986,NA
CLE,Guardians,2,3,2,32,0,1,NA,39,170,39,20,19,5,33,16,NA,2,4.31239,1.40817,7.54237,3.76912,2.00109,1.07856,0.191902,0.0958985,0.09600348770618439,NA,0.253659,0.295505,0.718366,4.4167,141.70000000000002,3.6333333333333337,146,3.7435897435897436,0.0657292,-0.00410643,1,999,5,AL,Pedro Avila,658648,18864,18864,NA
TBR,Rays,2,2,0,40,0,1,NA,40,167,38,18,17,5,35,10,NA,3,3.82697,1.18485,7.98347,2.17645,3.66811,1.0569,0.212431,0.0579129,0.1545180380344391,NA,0.24499,0.290216,0.709434,3.86714,170.7,4.2675,170,4.25,0.0652521,0.0499297,0,999,12,AL,Kevin Kelly,687330,25679,25679,NA
NYY,Yankees,3,3,2,54,0,7,NA,62,265,61,33,30,10,50,18,NA,5,4.40681,1.27308,7.29027,2.64053,2.76091,1.381,0.190008,0.0688208,0.12118719518184662,NA,0.25138,0.281632,0.70374,4.60749,236.19999999999996,3.809677419354838,239,3.8548387096774195,0.0649355,0.0352611,1,999,9,AL,Ryan Yarbrough,642232,16502,16502,NA
COL,Rockies,1,2,2,24,0,1,NA,30,133,34,18,17,4,22,11,NA,1,4.98598,1.47147,6.48086,3.20401,2.02273,1.27739,0.163161,0.0806637,0.08249744772911072,NA,0.277411,0.308181,0.688174,4.71722,96.4,3.2133333333333334,110,3.6666666666666665,0.0638075,0.0521791,1,999,19,NL,Gabriel Hughes,687312,sa3020661,sa3020661,NA
SDP,Padres,3,2,0,58,0,12,NA,58,250,52,28,26,7,59,24,NA,4,4.04543,1.30367,9.11874,3.68329,2.47571,1.1021,0.235481,0.0951167,0.14036419987678528,NA,0.233796,0.286976,0.723336,4.1317,289.90000000000003,4.998275862068966,281,4.844827586206897,0.0634042,0.118829,0,999,29,NL,David Morgan,688158,31616,31616,-3.540700834872575
MIL,Brewers,3,2,0,50,0,4,NA,50,214,48,24,23,7,46,18,NA,2,4.10326,1.30541,8.2061,3.1972,2.56665,1.1779,0.212962,0.0829729,0.12998946011066437,NA,0.244838,0.288673,0.73006,4.21498,207.09999999999997,4.1419999999999995,207,4.14,0.0622388,0.0831984,0,999,23,NL,Rob Zastryzny,642239,15094,15094,-4.48687837957822
LAA,Angels,2,3,0,50,0,4,NA,50,215,46,25,23,6,50,21,NA,2,4.20477,1.35464,8.99231,3.82386,2.35163,1.16714,0.231879,0.0986032,0.13327543437480927,NA,0.242144,0.295136,0.721342,4.23028,223.6,4.4719999999999995,219,4.38,0.062222,0.0321589,0,999,1,AL,Chase Silseth,681217,30074,30074,NA
MIN,Twins,2,3,2,34,0,1,NA,41,180,41,22,21,6,35,15,NA,3,4.51978,1.3561,7.68537,3.20514,2.39783,1.23033,0.195591,0.0815702,0.11402114480733871,NA,0.254547,0.293848,0.699718,4.51678,143.00000000000003,3.4878048780487814,147,3.5853658536585367,0.06047,0.0185624,1,999,8,AL,John Klein,804619,sa3020405,sa3020405,NA
BAL,Orioles,1,1,0,13,0,1,NA,13,53,9,5,5,1,18,6,NA,0,3.20795,1.15483,12.3749,4.00809,3.08747,0.917574,0.336443,0.108971,0.22747264802455902,NA,0.196475,0.284673,0.760835,3.13776,82.5,6.346153846153846,74,5.6923076923076925,0.059049,0.0395007,0,999,2,AL,Félix Bautista,642585,20666,20666,NA
LAD,Dodgers,1,1,2,14,0,1,NA,21,90,21,12,11,4,18,8,NA,1,4.95329,1.37697,7.97634,3.45534,2.30841,1.58419,0.204392,0.0885424,0.11584978550672531,NA,0.253137,0.285606,0.694937,4.89024,64.6,3.076190476190476,66,3.142857142857143,0.0587867,0.0352656,1,999,22,NL,Landon Knack,689017,27487,27487,NA
HOU,Astros,3,3,2,46,0,1,NA,53,229,50,28,26,8,49,22,NA,2,4.39942,1.35602,8.28431,3.65492,2.26662,1.32899,0.213381,0.0941408,0.11924038827419281,NA,0.245289,0.286059,0.720804,4.53716,193.80000000000007,3.656603773584907,191,3.6037735849056602,0.0579598,0.00265577,1,999,21,AL,AJ Blubaugh,805123,31764,31764,NA
NYY,Yankees,4,3,0,66,0,15,NA,66,285,71,33,30,7,38,19,NA,3,4.15257,1.37329,5.13447,2.63386,1.94941,0.88921,0.131932,0.0676778,0.06425409764051437,NA,0.270713,0.29551,0.704501,4.27559,287.70000000000005,4.359090909090909,309,4.681818181818182,0.0559211,0.0269405,0,999,9,AL,Tim Hill,657612,16814,16814,NA
TBR,Rays,0,1,2,2,0,0,NA,8,36,8,5,4,1,7,4,NA,1,4.65826,1.42926,7.77794,4.15823,1.87049,1.20489,0.195192,0.104353,0.09083851426839828,NA,0.249208,0.289046,0.702683,4.78602,25.100000000000005,3.1375000000000006,26,3.25,0.0538278,-0.0035249,1,999,12,AL,Brody Hopkins,811315,sa3023515,sa3023515,NA
MIN,Twins,2,2,0,34,0,1,NA,34,148,32,18,16,5,36,13,NA,1,4.29502,1.32733,9.53141,3.53889,2.69334,1.21188,0.24389,0.0905532,0.15333686769008636,NA,0.239096,0.29466,0.712801,4.07385,140.90000000000003,4.144117647058825,139,4.088235294117647,0.0534954,-0.03944,0,999,8,AL,Liam Hendriks,521230,3548,3548,NA
KCR,Royals,3,3,0,52,0,7,NA,52,227,44,24,23,5,56,28,NA,3,3.91944,1.39544,9.68844,4.88419,1.98363,0.7935,0.246993,0.124515,0.12247736006975174,NA,0.227269,0.295491,0.729651,3.94697,255.9,4.921153846153846,242,4.653846153846154,0.0531498,0.069025,0,999,7,AL,Alex Lange,656638,19883,19883,NA
COL,Rockies,0,1,2,2,0,0,NA,9,38,10,6,5,2,6,3,NA,0,5.28676,1.40116,6.5864,2.63702,2.49767,1.62489,0.167705,0.0671444,0.10056022554636002,NA,0.275446,0.298194,0.670636,5.04046,19.000000000000007,2.111111111111112,22,2.4444444444444446,0.0530045,0.0398535,1,999,19,NL,Sean Sullivan,807743,sa3023162,sa3023162,NA
LAA,Angels,2,3,6,6,0,0,NA,35,159,37,22,21,6,26,16,NA,2,5.34465,1.52179,6.61819,4.15948,1.59111,1.50403,0.163419,0.102708,0.06071164458990097,NA,0.266729,0.290701,0.686904,5.41827,86.99999999999999,2.4857142857142853,95,2.7142857142857144,0.0524825,6.54126e-4,2,999,1,AL,Sam Aldegheri,691951,26443,26443,NA
MIN,Twins,3,3,0,54,0,7,NA,54,238,50,27,25,6,58,28,NA,2,4.19349,1.44031,9.71163,4.63198,2.09665,1.02491,0.24459,0.116658,0.12793267518281937,NA,0.239369,0.303568,0.728279,4.09154,249.8,4.625925925925926,246,4.555555555555555,0.0523765,-0.0139118,0,999,8,AL,Andrew Chafin,605177,12988,12988,NA
CHC,Cubs,3,3,0,50,0,5,NA,50,216,42,24,22,6,56,26,NA,3,4.01507,1.34985,10.0455,4.67478,2.14887,1.02389,0.25792,0.120026,0.13789398968219757,NA,0.221082,0.283684,0.730791,4.09583,232,4.64,217,4.34,0.0504078,0.0738993,0,999,17,NL,Porter Hodge,687863,26413,26413,-3.9433033927375556
TEX,Rangers,0,1,2,2,0,0,NA,8,36,9,5,5,1,6,3,NA,0,5.05883,1.38256,6.72308,3.03485,2.21529,1.415,0.171196,0.0772791,0.09391666948795319,NA,0.263187,0.289513,0.668346,4.85973,26.500000000000007,3.312500000000001,30,3.75,0.0498714,-0.0125226,1,999,13,AL,Cal Quantrill,615698,19312,19312,NA
HOU,Astros,2,3,0,54,0,10,NA,54,236,50,28,26,8,54,24,NA,3,4.39777,1.37634,9.06875,3.99595,2.26949,1.29898,0.230888,0.101736,0.12915238738059998,NA,0.240888,0.289873,0.725968,4.47734,238.20000000000005,4.411111111111112,233,4.314814814814815,0.049634,-0.0371519,0,999,21,AL,Nate Pearson,663878,20160,20160,NA
KCR,Royals,2,2,0,40,0,1,NA,40,173,39,20,18,4,36,14,NA,2,4.12539,1.33041,8.13257,3.13765,2.59193,0.997461,0.208781,0.0805506,0.12823080271482468,NA,0.250205,0.299352,0.707351,3.98115,173.4,4.335,176,4.4,0.0496049,0.00629759,0,999,7,AL,James McArthur,663704,21527,21527,NA
SDP,Padres,2,2,3,21,0,1,NA,35,155,36,21,19,6,30,13,NA,2,4.90966,1.41911,7.67585,3.46352,2.2162,1.44976,0.193032,0.0871004,0.10593149811029434,NA,0.260201,0.294902,0.696195,4.85363,110.6,3.1599999999999997,116,3.3142857142857145,0.0487688,-0.0359553,1,999,29,NL,Walker Buehler,621111,19374,19374,NA
CHC,Cubs,3,3,2,54,0,7,NA,61,260,59,30,27,8,51,22,NA,3,4.0564,1.3331,7.50118,3.30677,2.26843,1.12439,0.194437,0.0857146,0.10872291028499603,NA,0.249225,0.288289,0.729239,4.32769,254.6000000000001,4.17377049180328,256,4.19672131147541,0.0487048,0.181072,1,999,17,NL,Javier Assad,665871,21741,21741,-4.292703851397737
MIL,Brewers,3,3,0,56,0,10,NA,56,240,51,28,26,8,57,22,NA,3,4.12618,1.30221,9.16373,3.5537,2.57865,1.24881,0.237788,0.0922143,0.1455737128853798,NA,0.236639,0.28707,0.731647,4.24532,262.4000000000001,4.685714285714288,255,4.553571428571429,0.0484297,0.0771691,0,999,23,NL,Grant Anderson,681982,20546,20546,-3.9365723466552094
CLE,Guardians,2,2,2,27,0,1,NA,33,146,32,18,16,5,30,16,NA,1,4.43516,1.43738,8.07264,4.26308,1.89362,1.25846,0.20377,0.107609,0.09616108983755112,NA,0.247507,0.288385,0.728822,4.68359,112.50000000000004,3.4090909090909105,113,3.4242424242424243,0.0477029,0.0545332,1,999,5,AL,Doug Nikhazy,680951,30142,30142,NA
