billikenTeam,slot,player,contract,salary
Free At Last,P,Colin Rea,2,1
Free At Last,P,Yoshinobu Yamamoto,Opt,26
Free At Last,P,Tyler Rogers,2,1
Free At Last,P,Jonah Tong,2,1
Free At Last,Bench,Andrew Painter,Opt,1
Free At Last,IL,Roki Sasaki,2,14
Free At Last,NA,NA,NA,NA
Free At Last,Erie Lakers,NA,NA,NA
Erie Lakers,SLOT,PLAYER,NA,NA
Erie Lakers,C,Freddy Fermin,2,7
Erie Lakers,C,NA,NA,NA
Erie Lakers,1B,NA,NA,NA
Erie Lakers,2B,NA,NA,NA
Erie Lakers,3B,NA,NA,NA
Erie Lakers,SS,Ezequiel Tovar,2027,11
Erie Lakers,2B/SS,NA,NA,NA
Erie Lakers,1B/3B,Ryan O'Hearn,2,11
Erie Lakers,OF,Mookie Betts,Opt,35
Erie Lakers,OF,NA,NA,NA
Erie Lakers,OF,Brandon Marsh,2,8
Erie Lakers,OF,Juan Soto,2,37
Erie Lakers,OF,James Wood,Opt,2
Erie Lakers,Util,Daylen Lile,2,1
Erie Lakers,Bench,NA,NA,NA
Erie Lakers,Bench,Jake McCarthy,2,1
Erie Lakers,IL,Lourdes Gurriel Jr.,Opt,13
Erie Lakers,IL,Austin Riley,Opt,35
Erie Lakers,NA,NA,NA,NA
Erie Lakers,P,Andrew Alvarez,2,1
Erie Lakers,P,Nabil Crismatt,2,1
Erie Lakers,P,Brandon Clarke,1,1
Erie Lakers,P,Clayton Kershaw,2,1
Erie Lakers,P,Ryne Nelson,2,2
Erie Lakers,P,Tony Santillan,2,1
Erie Lakers,P,Brady Singer,2,2
Erie Lakers,P,Ranger Suarez,Opt,6
Erie Lakers,P,Randy Vasquez,2,1
Erie Lakers,IL,Justin Martinez,2,10
Erie Lakers,IL,Trevor Megill,Opt,1
Erie Lakers,IL,Justin Steele,2027,16
Erie Lakers,NA,NA,NA,NA
Erie Lakers,Big Red Machine,NA,NA,NA
Big Red Machine,SLOT,PLAYER,NA,NA
Big Red Machine,C,Sean Murphy,2,12
Big Red Machine,C,Pedro Pages,2,1
Big Red Machine,1B,Michael Busch,2027,11
Big Red Machine,2B,Ketel Marte,2,29
Big Red Machine,3B,Joey Ortiz,Opt,6
Big Red Machine,SS,Dansby Swanson,2,19
Big Red Machine,2B/SS,Caleb Durbin,2,6
Big Red Machine,1B/3B,Edmundo Sosa,2,1
Big Red Machine,OF,Owen Caissie,2,1
Big Red Machine,OF,Michael Conforto,Opt,8
Big Red Machine,OF,Pavin Smith,2,4
Big Red Machine,OF,Kyle Stowers,2,3
Big Red Machine,OF,Fernando Tatis Jr.,2026,31
Big Red Machine,Util,Otto Lopez,2,1
Big Red Machine,Bench,Marcell Ozuna,2026,22
Big Red Machine,NA,NA,NA,NA
Big Red Machine,P,Sandy Alcantara,2,18
Big Red Machine,P,Braxton Ashcraft,2,1
Big Red Machine,P,Bubba Chandler,2,4
Big Red Machine,P,Cade Horton,2,1
Big Red Machine,P,Brad Keller,2,1
Big Red Machine,P,Michael King,2028,12
Big Red Machine,P,Robert Suarez,Opt,9
Big Red Machine,P,Ryan Walker,2,1
Big Red Machine,P,Ryan Weathers,2,3
Big Red Machine,IL,NA,NA,NA
Big Red Machine,IL,Zach Agnos,2,1
Big Red Machine,IL,Tony Gonsolin,2,2
Big Red Machine,IL,Grant Holmes,2,5
Big Red Machine,NA,NA,NA,NA
Big Red Machine,National Pastime,NA,NA,NA
National Pastime,SLOT,PLAYER,NA,NA
National Pastime,C,Ivan Herrera,Opt,2
National Pastime,C,Tyler Stephenson,2,12
National Pastime,1B,Michael Toglia,Opt,1
National Pastime,2B,Brice Turang,Opt,7
National Pastime,3B,Mark Vientos,Opt,1
National Pastime,SS,Francisco Lindor,2,33
National Pastime,2B/SS,Willy Adames,2026,27
National Pastime,1B/3B,Casey Schmitt,2,1
National Pastime,OF,Alec Burleson,Opt,1
National Pastime,OF,NA,NA,NA
National Pastime,OF,Brendan Donovan,Opt,10
National Pastime,OF,Michael Harris II,2028,21
National Pastime,OF,Max Kepler,2,5
National Pastime,Util,Tyler Fitzgerald,Opt,1
National Pastime,Bench,Nolan Gorman,2,6
National Pastime,IL,Kris Bryant,2,3
National Pastime,NA,NA,NA,NA
National Pastime,P,Matthew Boyd,2,7
National Pastime,P,Erick Fedde,2,7
National Pastime,P,Kyle Finnegan,Opt,7
National Pastime,P,Raisel Iglesias,2,24
National Pastime,P,Jake Irvin,2,1
National Pastime,P,Matthew Liberatore,2,1
National Pastime,P,Freddy Peralta,Opt,24
National Pastime,P,Nick Pivetta,2,13
National Pastime,P,Dennis Santana,2,3
National Pastime,IL,Tylor Megill,2,3
National Pastime,IL,Spencer Schwellenbach,Opt,1
National Pastime,NA,NA,NA,NA
National Pastime,Blue Socks,NA,NA,NA
Blue Socks,SLOT,PLAYER,NA,NA
Blue Socks,C,J.T. Realmuto,2,13
Blue Socks,C,Dalton Rushing,2,3
Blue Socks,1B,Bryce Eldridge,2,1
Blue Socks,2B,Connor Norby,Opt,1
Blue Socks,3B,Nolan Arenado,2026,33
Blue Socks,SS,Tommy Edman,2026,29
Blue Socks,2B/SS,Marcus Semien,1,24
Blue Socks,1B/3B,Ke'Bryan Hayes,2,11
Blue Socks,OF,Harrison Bader,2,2
Blue Socks,OF,Jung Hoo Lee,Opt,15
Blue Socks,OF,Mickey Moniak,2,1
Blue Socks,OF,Cedric Mullins,2,19
Blue Socks,OF,Jurickson Profar,Opt,2
Blue Socks,Util,Dylan Crews,Opt,1
Blue Socks,Bench,Luis Robert Jr.,1,21
Blue Socks,Bench,NA,NA,NA
Blue Socks,Bench,Liover Peguero,2,1
Blue Socks,IL,Trea Turner,2,30
Blue Socks,NA,NA,NA,NA
Blue Socks,P,Jhoan Duran,2,17
Blue Socks,P,Jeremiah Estrada,2,4
Blue Socks,P,Calvin Faucher,2,3
Blue Socks,P,Mackenzie Gore,Opt,4
Blue Socks,P,NA,NA,NA
Blue Socks,P,NA,NA,NA
Blue Socks,P,Aaron Nola,2,20
Blue Socks,P,Eury Perez,Opt,1
Blue Socks,P,Emmet Sheehan,2,1
Blue Socks,IL,A.J. Puk,Opt,3
Blue Socks,IL,Randy Rodriguez,2,1
Blue Socks,IL,Zack Wheeler,Opt,28
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
Blue Socks,NA,NA,NA,NA
