billikenTeam,slot,player,team,2021eligibility,contract,salary
Hoosiers,OF,Jakob Marsee,NA,NA,,
Hoosiers,OF,Heliot Ramos,NA,NA,,
Hoosiers,Util,Jerar Encarnacion,NA,NA,,
Hoosiers,Bench,Heriberto Hernandez,NA,NA,,
Hoosiers,Bench,Oliver Dunn,NA,NA,,
Hoosiers,Bench,Endy Rodriguez,NA,NA,,
Hoosiers,Bench,Zac Veen,NA,NA,,
Hoosiers,Bench,JJ Wetherholt,NA,NA,,
Hoosiers,Bench,Jett Williams,NA,NA,,
Hoosiers,IL,Garrett Mitchell,NA,NA,,
Hoosiers,NA,NA,NA,NA,,
Hoosiers,P,Edward Cabrera,NA,NA,,
Hoosiers,P,Cade Cavalli,NA,NA,,
Hoosiers,P,Bryce Elder,NA,NA,,
Hoosiers,P,Jose Ferrer,NA,NA,,
Hoosiers,P,Tyler Glasnow,NA,NA,,
Hoosiers,P,Ryan Helsey,NA,NA,,
Hoosiers,P,Andrew Kittredge,NA,NA,,
Hoosiers,P,Nolan McLean,NA,NA,,
Hoosiers,P,Logan Webb,NA,NA,,
Hoosiers,Bench,Quinn Mathews,NA,NA,,
Hoosiers,IL,Corbin Burnes,NA,NA,,
Hoosiers,IL,Jared Jones,NA,NA,,
Hoosiers,IL,Max Meyer,NA,NA,,
Hoosiers,IL,Daniel Palencia,NA,NA,,
Hoosiers,IL,Landen Roupp,NA,NA,,
Hoosiers,IL,Brandon Woodruff,NA,NA,,
Hoosiers,NA,NA,NA,NA,,
Hoosiers,Louisville Sluggers,NA,NA,NA,,
Louisville Sluggers,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Louisville Sluggers,C,Hunter Goodman,NA,NA,,
Louisville Sluggers,C,Ben Rortvedt,NA,NA,,
Louisville Sluggers,1B,Jared Triolo,NA,NA,,
Louisville Sluggers,2B,"Luis Garcia, Jr.",NA,NA,,
Louisville Sluggers,3B,NA,NA,NA,,
Louisville Sluggers,SS,Xavier Edwards,NA,NA,,
Louisville Sluggers,2B/SS,Nick Gonzales,NA,NA,,
Louisville Sluggers,1B/3B,Troy Johnston,NA,NA,,
Louisville Sluggers,OF,Jackson Chourio,NA,NA,,
Louisville Sluggers,OF,Issac Collins,NA,NA,,
Louisville Sluggers,OF,Tyler Freeman,NA,NA,,
Louisville Sluggers,OF,Austin Hays,NA,NA,,
Louisville Sluggers,OF,Jackson Merrill,NA,NA,,
Louisville Sluggers,Util,Will Benson,NA,NA,,
Louisville Sluggers,Bench,Brandon Lowe,NA,NA,,
Louisville Sluggers,Bench,Shohei Ohtani,NA,NA,,
Louisville Sluggers,IL,Brett Baty,NA,NA,,
Louisville Sluggers,IL,Willson Contreras,NA,NA,,
Louisville Sluggers,IL,Enmanual Valdez,NA,NA,,
Louisville Sluggers,NA,NA,NA,NA,,
Louisville Sluggers,P,NA,NA,NA,,
Louisville Sluggers,P,Dylan Cease,NA,NA,,
Louisville Sluggers,P,Edwin Diaz,NA,NA,,
Louisville Sluggers,P,Jesus Luzardo,NA,NA,,
Louisville Sluggers,P,Michael McGreevy,NA,NA,,
Louisville Sluggers,P,Emilio Pagan,NA,NA,,
Louisville Sluggers,P,JoJo Romero,NA,NA,,
Louisville Sluggers,P,Christopher Sanchez,NA,NA,,
Louisville Sluggers,P,Victor Vodnik,NA,NA,,
Louisville Sluggers,Bench,Jarlin Susana,NA,NA,,
Louisville Sluggers,NA,NA,NA,NA,,
Louisville Sluggers,Free At Last,NA,NA,NA,,
Free At Last,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Free At Last,C,Patrick Bailey,NA,NA,,
Free At Last,C,Luis Torrens,NA,NA,,
Free At Last,1B,NA,NA,NA,,
Free At Last,2B,Ozzie Albies,NA,NA,,
Free At Last,3B,Matt Chapman,NA,NA,,
Free At Last,SS,Gerardo Perdomo,NA,NA,,
Free At Last,2B/SS,Kyle Farmer,NA,NA,,
Free At Last,1B/3B,Gavin Sheets,NA,NA,,
Free At Last,OF,Alex Call,NA,NA,,
Free At Last,OF,Ian Happ,NA,NA,,
Free At Last,OF,Gavin Lux,NA,NA,,
Free At Last,OF,Victor Scott II,NA,NA,,
Free At Last,OF,Eli White,NA,NA,,
Free At Last,Util,Wilmer Flores,NA,NA,,
Free At Last,Bench,Kyle Schwarber,NA,NA,,
Free At Last,Bench,Hyeseong Kim,NA,NA,,
Free At Last,IL,Miguel Amaya,NA,NA,,
Free At Last,NA,NA,NA,NA,,
Free At Last,P,Ben Brown,NA,NA,,
Free At Last,P,Justin Lawrence,NA,NA,,
Free At Last,P,Nick Martinez,NA,NA,,
Free At Last,P,Miles Mikolas,NA,NA,,
Free At Last,P,Mitchell Parker,NA,NA,,
Free At Last,P,Colin Rea,NA,NA,,
Free At Last,P,NA,NA,NA,,
Free At Last,P,Tyler Rogers,NA,NA,,
Free At Last,P,Jonah Tong,NA,NA,,
Free At Last,Bench,Andrew Painter,NA,NA,,
Free At Last,IL,Roki Sasaki,NA,NA,,
Free At Last,NA,NA,NA,NA,,
Free At Last,Erie Lakers,NA,NA,NA,,
Erie Lakers,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Erie Lakers,C,Freddy Fermin,NA,NA,,
Erie Lakers,C,NA,NA,NA,,
Erie Lakers,1B,NA,NA,NA,,
Erie Lakers,2B,NA,NA,NA,,
Erie Lakers,3B,NA,NA,NA,,
Erie Lakers,SS,Ezequiel Tovar,NA,NA,,
Erie Lakers,2B/SS,NA,NA,NA,,
Erie Lakers,1B/3B,Ryan O'Hearn,NA,NA,,
Erie Lakers,OF,Mookie Betts,NA,NA,,
Erie Lakers,OF,NA,NA,NA,,
Erie Lakers,OF,Brandon Marsh,NA,NA,,
Erie Lakers,OF,Juan Soto,NA,NA,,
Erie Lakers,OF,Josh Wood,NA,NA,,
