Player,Salary,Billiken Team
Jordan Beck,13,Hoosiers
Robbie Ray,13,FREE BIRDS
Heliot Ramos,13,National Pastime
JJ Wetherholt,13,HOOSIERS
Pete Fairbanks,13,Free At Last
Dennis Santana,12,NATIONAL PASTIME
Ryan O'Hearn,12,#N/A
Aaron Nola,12,BLUE SOCKS
Brett Baty,12,LOUISVILLE SLUGGERS
Bubba Chandler,12,BIG RED MACHINE
Sandy Alcantara,12,National Pastime
Andrew Abbott,12,FREE BIRDS
Andrew Vaughn,12,#N/A
Harrison Bader,11,BLUE SOCKS
Mickey Moniak,11,BLUE SOCKS
Jordan Walker,11,#N/A
Victor Scott II,11,FREE AT LAST
Masyn Winn,11,WESTSIDE MARAUDERS
Edward Cabrera,11,Louisville Sluggers
Marcus Semien,11,BLUE SOCKS
Cade Horton,11,BIG RED MACHINE
Quinn Priester,10,#N/A
Jung Hoo Lee,10,Louisville Sluggers
Sean Manaea,10,#N/A
Nolan Arenado,10,#N/A
Braxton Ashcroft,10,#N/A
Merrill Kelly,10,Melonheads
Joe Musgrove,10,#N/A
Matt McLain,10,HOOSIERS
Abner Uribe,10,WESTSIDE MARAUDERS
Zac Gallen,10,Hoosiers
Brandon Marsh,10,ERIE LAKERS
Justin Crawford,10,#N/A
Tyler Stephenson,10,NATIONAL PASTIME
Nolan Gorman,9,NATIONAL PASTIME
Marcell Ozuna,9,BIG RED MACHINE
Ryne Nelson,9,ERIE LAKERS
Mitch Keller,9,FREE BIRDS
TJ Friedl,9,FREE BIRDS
Mark Vientos,9,NATIONAL PASTIME
Spencer Horowitz,9,#N/A
Jordan Lawlar,9,WESTSIDE MARAUDERS
Kodai Senga,8,Melonheads
Freddy Fermin,8,#N/A
Jake McCarthy,8,#N/A
Jake Cronenworth,8,#N/A
Spencer Steer,8,#N/A
Riley O'Brien,8,#N/A
Roki Sasaki,8,FREE AT LAST
Joey Ortiz,7,#N/A
Cade Cavalli,7,#N/A
Kevin Ginkel,7,#N/A
Harry Ford,7,#N/A
Lars Nootbaar,7,#N/A
Connor Norby,7,BLUE SOCKS
Miguel Andujar,7,#N/A
Clay Holmes,7,#N/A
Owen Caissie,7,#N/A
Moises Ballesteros,7,#N/A
Clayton Beeter,7,#N/A
Carson Benge,7,#N/A
Robert Suarez,7,BIG RED MACHINE
Luis Rengifo,7,#N/A
Braxton Garrett,6,#N/A
Garrett Mitchell,6,#N/A
Keibert Ruiz,6,#N/A
JoJo Romero,6,#N/A
Ke'Bryan Hayes,6,#N/A
Logan Henderson,6,#N/A
Carson Kelly,6,#N/A
Reynaldo Lopez,6,FREE BIRDS
Spencer Schwellenbach,6,NATIONAL PASTIME
Miguel Amaya,5,#N/A
Casey Schmitt,5,#N/A
Christoper Morel,5,#N/A
Mike Yastrzemski,5,#N/A
Seth Halvorsen,5,#N/A
Edouard Julien,5,#N/A
Brandon Pfaadt,5,#N/A
Brady Singer,5,ERIE LAKERS
Jared Triolo,5,#N/A
Justin Steele,5,ERIE LAKERS
Pavin Smith,5,#N/A
Tommy Edman,5,#N/A
Nick Castellanos,5,#N/A
