Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Kyle Harrison,Hoosiers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,80,100.8,34,5,0,85,3.81,1.26,0,0
Michael Soroka,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,102,138.72,52,5,0,93,4.57,1.36,0,0
Jordan Hicks,Free At Last,SFG,NA,NA,NA,NA,NA,NA,NA,NA,103,144.2,47,6,0,94,4.09,1.4,0,0
A.J. Minter,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,51,59.669999999999995,19,4,1,58,3.29,1.17,0,0
Johan Oviedo,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,93,132.98999999999998,46,5,0,80,4.42,1.43,0,0
Aaron Civale,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,85,109.65,42,4,0,79,4.45,1.29,0,0
Griffin Canning,Erie Lakers,NYM,NA,NA,NA,NA,NA,NA,NA,NA,113,150.29000000000002,56,6,0,102,4.48,1.33,0,0
Bubba Chandler,Big Red Machine,PIT,NA,NA,NA,NA,NA,NA,NA,NA,62,86.8,30,3,0,56,4.34,1.4,0,0
Alex Vesia,Free Birds,LAD,NA,NA,NA,NA,NA,NA,NA,NA,51,61.71,20,4,2,66,3.56,1.21,0,0
Abner Uribe,Westside Marauders,MIL,NA,NA,NA,NA,NA,NA,NA,NA,52,68.12,20,2,2,62,3.42,1.31,0,0
Evan Phillips,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,49,55.85999999999999,18,3,1,55,3.31,1.14,0,0
Reed Garrett,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,56,72.8,21,5,0,66,3.44,1.3,0,0
Andrew Painter,Free At Last,PHI,NA,NA,NA,NA,NA,NA,NA,NA,69,91.08,34,4,0,62,4.44,1.32,0,0
Randy Vasquez,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,97,137.73999999999998,50,5,0,70,4.63,1.42,0,0
A.J. Puk,Blue Socks,ARI,NA,NA,NA,NA,NA,NA,NA,NA,36,42.48,13,3,7,44,3.27,1.18,0,0
Ryan Pressly,Blue Socks,CHC,NA,NA,NA,NA,NA,NA,NA,NA,51,64.77,21,3,21,50,3.61,1.27,0,0
Hayden Birdsong,Hoosiers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,96,128.64000000000001,44,5,0,101,4.16,1.34,0,0
Ryne Nelson,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,94,120.32000000000001,43,5,0,77,4.12,1.28,0,0
Camilo Doval,Erie Lakers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,53,66.78,20,4,7,63,3.3,1.26,0,0
Javier Assad,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,95,134.9,48,5,0,79,4.5,1.42,0,0
Michael McGreevy,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,67,85.76,28,4,0,48,3.81,1.28,0,0
Pierce Johnson,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,52,68.12,21,4,1,62,3.58,1.31,0,0
Caleb Ferguson,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,51,68.34,20,3,1,51,3.61,1.34,0,0
Jared Koenig,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,52,65.52,21,3,2,53,3.65,1.26,0,0
Austin Gomber,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,93,136.71,55,4,0,66,5.33,1.47,0,0
Cal Quantrill,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,119,173.74,64,6,0,85,4.84,1.46,0,0
Chase Dollander,Big Red Machine,COL,NA,NA,NA,NA,NA,NA,NA,NA,110,157.29999999999998,64,5,0,104,5.23,1.43,0,0
Anthony Bender,Melonheads,MIA,NA,NA,NA,NA,NA,NA,NA,NA,53,68.9,22,3,10,54,3.81,1.3,0,0
Reynaldo Lopez,Free Birds,ATL,NA,NA,NA,NA,NA,NA,NA,NA,33,40.92,13,2,0,35,3.57,1.24,0,0
Daysbel Hernandez,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,51,68.85000000000001,21,4,1,58,3.73,1.35,0,0
Dennis Santana,Louisville Sluggers,PIT,NA,NA,NA,NA,NA,NA,NA,NA,53,71.02000000000001,24,3,12,49,3.98,1.34,0,0
Adrian Morejon,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,52,65,20,3,1,52,3.56,1.25,0,0
Ryan Brasier,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,44,52.36,17,2,2,41,3.48,1.19,0,0
Paul Blackburn,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,71,90.88,31,4,0,63,3.97,1.28,0,0
Julian Merryweather,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,51,65.28,20,3,1,57,3.57,1.28,0,0
Carmen Mlodzinski,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,72,99.35999999999999,34,4,0,61,4.18,1.38,0,0
Jose A. Ferrer,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,52,67.08,22,3,2,46,3.84,1.29,0,0
Tyler Rogers,Free At Last,SFG,NA,NA,NA,NA,NA,NA,NA,NA,59,73.16,25,3,1,43,3.73,1.24,0,0
Tyler Rogers,Free At Last,SFG,NA,NA,NA,NA,NA,NA,NA,NA,59,73.16,25,3,1,43,3.73,1.24,0,0
Bryan Hudson,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,51,64.77,20,3,1,54,3.61,1.27,0,0
Kyle Finnegan,National Pastime,WSN,NA,NA,NA,NA,NA,NA,NA,NA,54,70.74000000000001,23,3,26,53,3.88,1.31,0,0
Shinnosuke Ogasawara,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,76,104.12,37,4,0,60,4.47,1.37,0,0
Tanner Banks,Louisville Sluggers,PHI,NA,NA,NA,NA,NA,NA,NA,NA,58,73.66,25,3,0,57,3.84,1.27,0,0
Phil Maton,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,55,69.85,24,3,2,53,3.9,1.27,0,0
Wade Miley,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,53,77.91,28,3,0,37,4.79,1.47,0,0
