Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Fernando Tatis Jr.,Big Red Machine,SDP,556,495,138,31,90,81,20,0.278,NA,NA,NA,NA,NA,NA,NA,NA,4,4.66674881601611
Juan Soto,Erie Lakers,NYM,580,458,125,27,94,81,7,0.272,NA,NA,NA,NA,NA,NA,NA,NA,3,3.3145280544250113
Mookie Betts,Erie Lakers,LAD,568,487,136,23,90,78,13,0.279,NA,NA,NA,NA,NA,NA,NA,NA,4,3.278101573343889
Francisco Lindor,National Pastime,NYM,580,512,133,23,85,73,18,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Shohei Ohtani,Louisville Sluggers,LAD,551,473,132,34,100,91,30,0.279,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ronald Acuna Jr.,Westside Marauders,ATL,477,410,122,22,84,61,38,0.298,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Tucker,Melonheads,CHC,570,488,133,26,85,83,21,0.272,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Corbin Carroll,Hoosiers,ARI,572,497,131,23,94,75,31,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Elly De La Cruz,Hoosiers,CIN,562,500,128,22,83,76,46,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
William Contreras,Melonheads,MIL,530,462,123,19,69,70,7,0.266,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jackson Merrill,Louisville Sluggers,SDP,509,472,133,20,64,73,12,0.282,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Austin Riley,National Pastime,ATL,578,519,139,27,79,82,1,0.268,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryce Harper,Blue Socks,PHI,562,477,132,25,80,81,11,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Chapman,Free At Last,SFG,574,496,118,21,72,70,9,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Patrick Bailey,NA,SFG,428,385,88,9,43,43,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Trea Turner,Blue Socks,PHI,562,514,142,18,79,66,22,0.277,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Harris II,National Pastime,ATL,525,487,137,19,68,68,17,0.281,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gabriel Moreno,Erie Lakers,ARI,432,382,106,8,49,47,4,0.277,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Freddie Freeman,Erie Lakers,LAD,539,467,135,20,77,76,9,0.289,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dansby Swanson,Big Red Machine,CHC,570,512,122,17,70,66,13,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Manny Machado,Hoosiers,SDP,551,500,132,22,69,79,10,0.263,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ketel Marte,Big Red Machine,ARI,465,407,112,18,67,61,5,0.275,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nico Hoerner,Free Birds,CHC,511,464,129,7,61,50,25,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Will Smith,Westside Marauders,LAD,429,370,95,16,55,58,2,0.256,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Willy Adames,National Pastime,SFG,568,505,121,19,70,68,11,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Xander Bogaerts,Erie Lakers,SDP,545,489,129,13,62,59,12,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pete Crow-Armstrong,Melonheads,CHC,494,452,114,15,66,63,30,0.252,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nolan Arenado,Blue Socks,STL,556,504,132,18,61,73,3,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jung Hoo Lee,Blue Socks,SFG,521,473,136,10,62,60,7,0.288,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tommy Edman,Blue Socks,LAD,521,476,122,17,69,64,19,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Francisco Alvarez,Westside Marauders,NYM,342,302,73,16,43,47,2,0.243,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Masyn Winn,Westside Marauders,STL,533,484,123,13,67,57,11,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pete Alonso,Westside Marauders,NYM,568,491,121,29,75,90,3,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Oneil Cruz,Westside Marauders,PIT,521,461,114,22,71,67,23,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryson Stott,Erie Lakers,PHI,497,445,116,11,62,52,21,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Olson,Free Birds,ATL,584,503,125,28,76,88,1,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Geraldo Perdomo,Free At Last,ARI,489,416,105,8,65,48,14,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt McLain,Hoosiers,CIN,497,434,106,19,68,64,16,0.244,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brenton Doyle,Louisville Sluggers,COL,563,516,130,20,72,69,23,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
James Wood,Erie Lakers,WSN,513,447,115,20,71,63,16,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ozzie Albies,Free At Last,ATL,561,512,133,19,72,73,10,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Xavier Edwards,Louisville Sluggers,MIA,507,449,129,4,61,40,27,0.287,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sean Murphy,Big Red Machine,ATL,343,299,69,15,40,46,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lars Nootbaar,Free Birds,STL,462,390,96,16,63,51,8,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ian Happ,Free At Last,CHC,564,487,121,18,75,64,10,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mark Vientos,National Pastime,NYM,545,491,119,25,64,77,0,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brice Turang,National Pastime,MIL,533,479,125,9,68,50,33,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brendan Donovan,National Pastime,STL,509,450,127,11,60,56,6,0.282,NA,NA,NA,NA,NA,NA,NA,NA,0,0
CJ Abrams,Melonheads,WSN,465,422,107,16,63,52,27,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jackson Chourio,Louisville Sluggers,MIL,545,502,133,20,74,73,23,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ezequiel Tovar,Erie Lakers,COL,526,493,128,17,64,63,9,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Schwarber,Free At Last,PHI,568,471,106,32,82,81,5,0.225,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Teoscar Hernandez,Free Birds,LAD,551,503,132,26,70,87,8,0.263,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alec Bohm,Free Birds,PHI,533,489,134,13,61,66,4,0.275,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brandon Nimmo,Melonheads,NYM,485,420,103,14,60,55,6,0.245,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Marcell Ozuna,Big Red Machine,ATL,525,459,119,26,67,76,1,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0
TJ Friedl,Free Birds,CIN,497,439,111,13,63,55,16,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jeff McNeil,Westside Marauders,NYM,403,363,101,8,46,45,4,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ivan Herrera,National Pastime,STL,278,239,61,8,34,33,4,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Christian Yelich,Erie Lakers,MIL,485,416,107,16,66,59,19,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
J.T. Realmuto,Blue Socks,PHI,424,382,94,13,47,50,8,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Busch,Big Red Machine,CHC,476,418,103,18,62,62,3,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Max Muncy,Free Birds,LAD,444,369,77,18,56,55,2,0.208,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luis Garcia Jr.,Louisville Sluggers,WSN,471,438,118,13,54,57,13,0.268,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Josh Naylor,Big Red Machine,ARI,519,464,126,19,61,78,9,0.271,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ke'Bryan Hayes,Blue Socks,PIT,509,465,116,9,54,50,13,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Fitzgerald,National Pastime,SFG,485,442,106,16,62,58,18,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eugenio Suarez,Westside Marauders,ARI,507,446,102,20,58,66,2,0.227,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Seiya Suzuki,Melonheads,CHC,464,407,106,18,59,61,9,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Carson Kelly,Westside Marauders,CHC,269,234,55,9,31,34,1,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jesus Sanchez,Blue Socks,MIA,435,390,100,16,51,54,9,0.256,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Otto Lopez,Big Red Machine,MIA,441,404,109,6,51,43,14,0.271,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Joey Ortiz,Big Red Machine,MIL,521,463,112,10,60,56,11,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nathaniel Lowe,Melonheads,WSN,531,464,123,16,59,62,3,0.265,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ryan McMahon,Westside Marauders,COL,550,482,114,17,61,61,4,0.236,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luis Arraez,Melonheads,SDP,480,443,136,7,59,45,6,0.307,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brandon Marsh,NA,PHI,403,352,84,11,47,46,11,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Connor Norby,Blue Socks,MIA,489,442,110,15,62,55,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Stephenson,National Pastime,CIN,340,300,78,11,40,41,1,0.258,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryan Reynolds,Free Birds,PIT,527,468,122,17,64,63,7,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sal Frelick,Erie Lakers,MIL,397,356,97,5,47,39,14,0.273,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Spencer Horwitz,Blue Socks,PIT,349,297,81,8,43,39,2,0.273,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jake Cronenworth,Hoosiers,SDP,391,343,83,10,45,43,3,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Gonzales,Louisville Sluggers,PIT,302,273,73,7,36,37,3,0.266,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alek Thomas,Blue Socks,ARI,382,349,89,9,47,45,9,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Trevino,Erie Lakers,CIN,222,204,51,6,24,25,1,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Garrett Mitchell,Hoosiers,MIL,391,344,80,10,46,43,16,0.233,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mike Yastrzemski,Free Birds,SFG,420,369,84,14,52,47,5,0.227,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Willson Contreras,Louisville Sluggers,STL,503,433,102,18,61,58,6,0.236,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Caleb Durbin,Big Red Machine,MIL,385,340,81,7,47,41,19,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Heliot Ramos,Hoosiers,SFG,509,463,114,17,60,61,7,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jacob Young,Free At Last,WSN,405,363,91,3,47,33,22,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Keibert Ruiz,Blue Socks,WSN,409,380,98,13,42,51,3,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Thairo Estrada,Melonheads,COL,339,313,85,10,40,39,9,0.272,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Victor Scott II,Louisville Sluggers,STL,456,413,97,8,51,43,28,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Austin Hays,Louisville Sluggers,CIN,462,423,110,16,57,60,5,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Max Kepler,National Pastime,PHI,403,359,87,13,47,47,2,0.241,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Miguel Amaya,Free At Last,CHC,258,230,56,7,27,32,1,0.245,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jordan Lawlar,Westside Marauders,ARI,256,228,55,6,30,27,9,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Isiah Kiner-Falefa,Free Birds,PIT,503,464,123,5,53,44,16,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dylan Crews,Blue Socks,WSN,465,423,101,12,54,50,22,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nolan Gorman,NA,STL,355,318,72,17,44,49,4,0.227,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Joey Bart,Hoosiers,PIT,314,280,68,9,34,36,1,0.244,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Shaw,Free Birds,CHC,294,261,62,8,35,34,8,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Conforto,Big Red Machine,LAD,420,367,85,16,51,55,1,0.233,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alex Call,Free At Last,WSN,298,253,59,7,36,30,7,0.233,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gavin Lux,Westside Marauders,CIN,444,390,102,9,54,46,6,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Rhys Hoskins,Louisville Sluggers,MIL,503,437,100,23,59,67,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alec Burleson,National Pastime,STL,373,342,94,12,43,47,5,0.274,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyrone Taylor,Erie Lakers,NYM,385,354,81,10,46,42,9,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Agustin Ramirez,Hoosiers,MIA,285,256,62,9,33,34,6,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lourdes Gurriel Jr.,Erie Lakers,ARI,465,430,114,14,52,60,4,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pavin Smith,Big Red Machine,ARI,334,290,74,11,41,41,2,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
LaMonte Wade Jr.,Hoosiers,SFG,408,342,79,11,48,40,2,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Allen,Free Birds,ATL,280,253,64,4,31,27,8,0.252,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Hyeseong Kim,Free At Last,LAD,266,247,67,4,29,27,10,0.274,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Andy Pages,Westside Marauders,LAD,213,190,46,9,27,28,2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Stowers,Big Red Machine,MIA,423,375,87,15,46,52,3,0.232,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jesse Winker,Melonheads,NYM,320,269,65,8,37,34,5,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Johan Rojas,Melonheads,PHI,278,257,65,4,33,28,17,0.251,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Siri,Blue Socks,NYM,213,194,40,9,27,27,8,0.208,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Orlando Arcia,NA,ATL,346,315,73,9,35,37,1,0.232,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Spencer Steer,Westside Marauders,CIN,444,388,93,14,53,55,12,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pedro Pages,Big Red Machine,STL,249,226,52,6,23,28,1,0.229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Blake Perkins,NA,MIL,225,196,46,5,25,22,9,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luis Torrens,Free At Last,NYM,200,183,43,5,19,23,1,0.234,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jurickson Profar,Blue Socks,ATL,286,247,64,7,36,30,3,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jake Fraley,Free Birds,CIN,349,309,78,10,41,40,15,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Iglesias,NA,SDP,308,288,77,4,31,30,3,0.267,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Edmundo Sosa,NA,PHI,184,168,43,4,22,21,3,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Drake Baldwin,Free Birds,ATL,183,162,38,5,19,21,0,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brett Baty,Westside Marauders,NYM,178,159,38,6,20,21,1,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dane Myers,Free At Last,MIA,292,266,67,7,34,33,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jon Berti,NA,CHC,194,173,43,3,23,16,11,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jordan Walker,Hoosiers,STL,480,436,105,14,48,54,7,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Fortes,NA,MIA,174,159,38,4,18,18,1,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jake McCarthy,Westside Marauders,ARI,185,166,43,3,23,20,9,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jack Suwinski,NA,PIT,278,242,54,11,32,33,7,0.222,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Castellanos,National Pastime,PHI,539,496,128,19,62,71,5,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Santiago Espinal,Erie Lakers,CIN,231,210,56,4,24,23,5,0.265,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Liam Hicks,Free Birds,MIA,165,142,34,2,16,15,1,0.243,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alex Verdugo,Free Birds,ATL,209,189,50,4,27,21,1,0.262,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Justin Turner,National Pastime,CHC,311,273,68,7,35,33,1,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jared Triolo,NA,PIT,189,168,41,3,20,18,4,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Thomas Saggese,Hoosiers,STL,172,159,39,5,19,21,2,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Tena,Louisville Sluggers,WSN,197,183,46,4,21,21,4,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Amed Rosario,Westside Marauders,WSN,185,174,46,3,20,18,5,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Derek Hill,Free At Last,MIA,197,180,44,5,23,21,6,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Endy Rodriguez,Hoosiers,PIT,290,261,63,6,33,30,2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Endy Rodriguez,Blue Socks,PIT,290,261,63,6,33,30,2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luis Campusano,Melonheads,SDP,98,89,24,4,12,12,0,0.266,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mickey Moniak,Blue Socks,COL,327,303,76,13,39,43,6,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Wilmer Flores,Free At Last,SFG,326,291,70,12,36,43,1,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Rafael Marchan,NA,PHI,119,105,24,2,12,12,0,0.232,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jeimer Candelario,Blue Socks,CIN,355,318,74,13,39,46,3,0.232,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luis Matos,Hoosiers,SFG,237,218,53,7,25,27,4,0.245,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Freeman,NA,COL,133,117,31,3,17,15,4,0.269,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Noelvi Marte,Melonheads,CIN,272,250,62,7,31,30,9,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Starling Marte,Blue Socks,NYM,266,241,62,5,32,29,11,0.258,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Paul DeJong,Big Red Machine,WSN,304,278,56,11,31,33,3,0.202,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Chris Taylor,NA,LAD,231,203,45,5,27,24,5,0.222,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Mervis,NA,MIA,429,383,87,18,47,54,2,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Josh Bell,Free At Last,WSN,495,437,104,17,54,58,1,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Miguel Rojas,NA,LAD,124,114,29,2,13,12,2,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Enrique Hernandez,Erie Lakers,LAD,237,215,48,7,27,27,1,0.225,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Hunter Goodman,Louisville Sluggers,COL,356,325,78,16,43,52,2,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Blake Dunn,NA,CIN,207,181,41,5,26,23,7,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sean Bouchard,NA,COL,206,180,44,6,26,25,4,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jarred Kelenic,NA,ATL,155,139,33,5,18,19,3,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Javier Sanoja,Louisville Sluggers,MIA,179,165,44,2,18,17,4,0.269,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Henry Davis,Louisville Sluggers,PIT,109,96,22,3,12,13,2,0.229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Christian Encarnacion-Strand,Louisville Sluggers,CIN,255,235,59,11,30,37,2,0.251,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luisangel Acuna,Melonheads,NYM,130,121,30,2,16,12,7,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jerar Encarnacion,NA,SFG,166,149,36,7,19,20,1,0.241,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Randal Grichuk,NA,ARI,227,208,52,7,26,28,1,0.251,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nicky Lopez,NA,CHC,112,99,25,0,12,8,2,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Yorke,NA,PIT,95,85,22,2,10,10,2,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Isaac Collins,NA,MIL,112,98,22,2,13,11,4,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eric Haase,NA,MIL,119,109,24,5,13,15,1,0.218,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Drew Romo,NA,COL,88,82,21,2,10,10,1,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Austin Barnes,NA,LAD,124,111,24,2,13,11,2,0.219,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Adrian Del Castillo,NA,ARI,67,60,15,2,8,8,0,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brandon Lockridge,NA,SDP,118,106,25,1,13,10,7,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Andrew McCutchen,Hoosiers,PIT,373,321,74,11,43,39,4,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Vinny Capra,NA,MIL,118,106,25,2,12,11,1,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Connor Joe,NA,SDP,95,82,19,2,11,9,1,0.225,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tom Murphy,NA,SFG,90,79,18,3,10,10,1,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Casey Schmitt,NA,SFG,89,82,20,2,9,10,1,0.243,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jacob Stallings,NA,COL,282,248,57,6,27,30,1,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tirso Ornelas,NA,SDP,213,193,46,5,22,23,2,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Grant McCray,NA,SFG,107,97,22,3,11,11,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Farmer,Louisville Sluggers,COL,327,298,76,7,34,35,3,0.256,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sam Huff,NA,SFG,60,54,12,2,6,6,0,0.222,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Griffin Conine,Melonheads,MIA,274,245,55,9,29,32,1,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nick Martini,Free At Last,COL,200,176,44,6,23,23,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nasim Nunez,NA,WSN,101,88,20,1,11,7,7,0.221,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Black,NA,MIL,89,76,18,2,10,9,3,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jorge Barrosa,NA,ARI,107,96,23,2,12,11,3,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eric Wagaman,Melonheads,MIA,316,290,72,9,35,35,4,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jason Heyward,NA,SDP,225,202,45,6,25,25,3,0.22,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Yohel Pozo,NA,STL,32,31,9,1,3,4,0,0.274,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Oliver Dunn,Hoosiers,MIL,77,68,14,2,8,8,2,0.209,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brett Wisely,NA,SFG,59,53,13,1,6,6,1,0.238,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Weston Wilson,NA,PHI,118,105,24,5,14,15,3,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Oscar Gonzalez,NA,SDP,136,129,33,4,14,16,1,0.254,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Elias Diaz,Melonheads,SDP,216,198,44,5,20,23,0,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Andruw Monasterio,NA,MIL,65,57,14,1,7,6,2,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Enmanuel Valdez,Louisville Sluggers,PIT,83,74,17,3,9,10,1,0.233,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Will Benson,Louisville Sluggers,CIN,71,61,13,2,9,8,3,0.214,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gavin Sheets,Hoosiers,SDP,355,321,77,11,36,43,2,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Fermin,NA,STL,36,31,8,1,4,4,1,0.251,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luken Baker,NA,STL,154,136,30,7,16,20,0,0.219,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tim Tawa,NA,ARI,54,49,11,2,6,6,1,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
James McCann,NA,ATL,49,45,11,1,5,5,1,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
