Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Alvarado","PHI",1,1,0,3.34516,19,0,0,0,,19,82,16,8,7,2,8,,1,23,10.5156,3.87939,2.71064,0.749211,0.278105,0.102598,0.1755075678229332,0.220614,1.25475,0.298326,0.747445,,,3.22749,0.0690728,0.0316294,508.6300048828125,,,,,,,93.4,4.915789473684211,88,4.631578947368421,,,,,,,,,,,,,,,,,,,"Jose Alvarado","17780",621237
"Jason Alexander","HOU",1,1,0,4.32668,18,1,0,0,,23,99,24,12,11,3,7,,1,17,6.74917,2.61392,2.58201,1.13954,0.174531,0.067595,0.10693613439798355,0.263571,1.33194,0.297527,0.700969,,,4.26111,0.068522,0.00647261,999,,,,,,,80.9,3.5173913043478264,86,3.739130434782609,,,,,,,,,,,,,,,,,,,"Jason Alexander","19666",669920
"Huascar Brazobán","NYM",2,2,0,3.88838,38,0,0,8,,38,164,33,18,17,4,18,,2,39,9.2033,4.18552,2.19884,0.936895,0.237987,0.108233,0.12975391000509262,0.229311,1.3309,0.287542,0.726727,,,3.95043,0.0678614,0.0482142,999,,,,,,,196.2,5.163157894736842,188,4.947368421052632,,,,,,,,,,,,,,,,,,,"Huascar Brazoban","6107",623211
"José Buttó","NYM",2,2,0,3.74058,36,0,0,7,,36,154,31,16,15,4,16,,2,36,8.96541,3.88462,2.30792,1.00458,0.235078,0.101857,0.13322120159864426,0.225701,1.27986,0.27792,0.737011,,,3.97603,0.0667832,0.111416,675.3699951171875,,,,,,,182.60000000000005,5.072222222222224,174,4.833333333333333,,,,,,,,,,,,,,,,,,,"Jose Butto","23313",676130
"Brandon Young","BAL",1,1,0,4.17842,18,1,0,0,,23,98,22,12,11,3,8,,1,21,8.31555,3.07384,2.70527,1.21073,0.217612,0.0804399,0.13717162609100342,0.247381,1.29804,0.292724,0.714964,,,4.11835,0.0658228,-0.00000173599,740.260009765625,,,,,,,91.10000000000001,3.9608695652173918,91,3.9565217391304346,,,,,,,,,,,,,,,,,,,"Brandon Young","27819",687064
"Robby Snelling","MIA",0,1,1,4.75378,2,2,0,0,,12,53,13,7,6,2,5,,0,9,6.80877,3.4297,1.98524,1.27187,0.172433,0.0868574,0.085575170814991,0.267976,1.44635,0.300237,0.698615,,,4.63976,0.0638257,0.0521835,999,,,,,,,33.40000000000002,2.783333333333335,37,3.0833333333333335,,,,,,,,,,,,,,,,,,,"Robby Snelling","sa3020707",702281
"Cole Winn","TEX",0,0,0,4.26165,32,0,0,3,,32,146,30,17,15,4,14,,2,32,8.93611,3.86426,2.3125,0.995185,0.219,0.0947027,0.12429729849100113,0.230257,1.36155,0.278986,0.690313,,,3.98697,0.0626699,-0.0922204,999,,,,,,,137.60000000000002,4.300000000000001,136,4.25,,,,,,,,,,,,,,,,,,,"Cole Winn","22113",668390
"Mike Clevinger","CHW",1,2,1,4.76293,11,3,0,0,,23,99,23,13,12,4,8,,1,19,7.39895,3.34539,2.21169,1.45577,0.189938,0.0858792,0.10405862331390381,0.255469,1.37021,0.286103,0.695058,,,4.79726,0.0626261,-0.0172171,456.57000732421875,,,,,,,72.2,3.139130434782609,74,3.217391304347826,,,,,,,,,,,,,,,,,,,"Mike Clevinger","12808",605182
"Steven Cruz","KCR",2,1,0,4.13847,38,0,0,7,,38,166,35,19,17,3,19,,2,35,8.37575,4.42827,1.89143,0.828558,0.212728,0.11247,0.10025846213102341,0.241102,1.41654,0.296053,0.711933,,,4.03569,0.0624843,0.0193606,999,,,,,,,188.29999999999995,4.955263157894736,186,4.894736842105263,,,,,,,,,,,,,,,,,,,"Steven Cruz","23165",674444
"Bryse Wilson","CHW",2,3,1,4.89708,30,4,0,0,,51,223,55,30,28,9,17,,2,37,6.45315,2.94088,2.19429,1.58616,0.164576,0.0750018,0.08957411348819733,0.270564,1.40615,0.291701,0.702695,,,5.03852,0.062046,-0.105096,747.4500122070312,,,,,,,140.70000000000005,2.7588235294117656,155,3.0392156862745097,,,,,,,,,,,,,,,,,,,"Bryse Wilson","19990",669060
