Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Villar","SFG",8,36,32,7,4,2,0,1,4,4,3,0,10,0,0,0,,0,0,0.223295,0.0890424,0.289314,0.307771,0.301272,0.383197,0.305153,0.684469,0.159901,2.97603,0.290297,-0.00252111,-0.0631657,3.89704,-0.181448,94.176,-0.0656868,0.0874225,-0.3133416622877121,-0.5045527815818787,0.0341668,999,,,,,,,31.4,3.925,31.4,3.925,,,,,,,,,,,,,,,,,,,"David Villar","24782",681584
"Nick Sogard","BOS",3,12,10,2,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.238815,0.106197,0.232852,0.456073,0.324284,0.343973,0.302356,0.668257,0.105158,4.45021,0.306738,-0.00332518,-0.00780929,1.26368,-0.085892,91.7789,-0.0111345,-0.0432274,-0.11717094015330076,0.04072323441505432,0.0338875,999,,,,,,,7.1,2.366666666,7.1,2.366666666,,,,,,,,,,,,,,,,,,,"Nick Sogard","25483",686765
"Nacho Alvarez Jr.","ATL",3,12,10,3,2,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.249227,0.0959011,0.209522,0.457713,0.330213,0.35554,0.309363,0.685753,0.106313,4.673,0.307467,-0.00061745,-0.00510273,1.34799,-0.0214247,93.8443,-0.00572018,-0.0543356,-0.09361003059893847,0.03084961324930191,0.0336014,742.6799926757812,,,,,,,9.8,3.266666666,9.8,3.266666666,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"Ryan Noda","LAA",6,24,20,4,2,1,0,1,3,2,3,0,9,0,0,0,,0,0,0.191906,0.1396,0.360276,0.38748,0.316697,0.351796,0.304565,0.668493,0.15989,3.80342,0.283903,-0.00994223,-0.0348835,2.62485,-0.133837,97.4799,-0.0448257,-0.00841265,-0.11126810684800148,-0.3945237649604678,0.0327616,748.8599853515625,,,,,,,23.7,3.95,23.7,3.95,,,,,,,,,,,,,,,,,,,"Ryan Noda","23312",676116
"Miguel Sanó",,4,18,16,4,2,1,0,1,2,2,2,0,6,0,0,0,,0,0,0.225816,0.0939987,0.340832,0.275792,0.306484,0.429811,0.324576,0.736296,0.203995,3.47127,0.304411,-0.0161599,-0.0268938,2.23604,0.181915,109.022,-0.0430537,0,0.14211498573422432,-0.4472222328186035,0.0301149,999,,,,,,,24.7,6.175,24.7,6.175,,,,,,,,,,,,,,,,,,,"Miguel Sano","12164",593934
"Tyler Gentry","KCR",6,24,21,5,3,1,0,1,3,2,2,0,7,0,0,0,,0,0,0.228937,0.0876006,0.287234,0.30498,0.304341,0.365593,0.300168,0.669934,0.136656,4.31279,0.307388,-0.00547309,-0.0251219,2.52347,-0.215364,91.5685,-0.030595,-0.0367479,-0.25129252672195435,-0.2923034429550171,0.0281971,999,,,,,,,25.3,4.216666666,25.3,4.216666666,,,,,,,,,,,,,,,,,,,"Tyler Gentry","27784",694355
"Will Wilson","CLE",12,54,49,10,7,2,0,1,5,5,4,0,14,0,0,1,,0,0,0.210177,0.0684105,0.269618,0.253731,0.270325,0.318584,0.264663,0.588909,0.108407,2.81418,0.274194,-0.00120194,-0.120475,4.17906,-1.98332,71.9666,-0.121676,-0.0701129,-1.772698886692524,0.20673895627260208,0.0276301,999,,,,,,,34.2,2.85,34.2,2.85,,,,,,,,,,,,,,,,,,,"Will Wilson","25434",669717
"Austin Shenton","SEA",4,18,16,3,2,1,0,1,2,2,2,0,6,0,0,0,,0,0,0.206471,0.106301,0.343026,0.309894,0.296743,0.357984,0.294397,0.654727,0.151513,2.60528,0.295691,-0.00727592,-0.0317803,1.8114,-0.242729,98.5347,-0.0390563,-0.0916766,-0.06782326847314835,-0.2833433002233505,0.0270525,999,,,,,,,19.1,4.775,19.1,4.775,,,,,,,,,,,,,,,,,,,"Austin Shenton","25425",668853
"Ronny Simon","MIA",11,48,43,10,7,2,0,1,5,5,3,0,10,0,0,0,,1,0,0.236969,0.0726743,0.211755,0.343201,0.297087,0.356839,0.292067,0.653927,0.11987,5.54558,0.288386,-0.00421997,-0.0178728,4.74295,-0.734722,81.079,-0.0220928,-0.095281,-1.1026992239058018,-0.1804662048816681,0.0265981,999,,,,,,,39.1,3.554545454,39.1,3.554545454,,,,,,,,,,,,,,,,,,,"Ronny Simon","25346",682927
"Garrett Stubbs","PHI",4,16,14,3,2,1,0,0,2,1,2,0,4,0,0,0,,0,0,0.22115,0.100502,0.251444,0.3997,0.307458,0.332626,0.290937,0.640084,0.111476,4.7805,0.285841,0.000748634,-0.00691435,1.59994,-0.264509,82.3295,-0.00616572,-0.0516557,-0.3496663044206798,0.2654739022254944,0.026244,999,,,,,,,11.7,2.925,11.7,2.925,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
