Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Josh Hader","HOU",4,2,,3.21242,63,0,31,2,63,258,44,24,22,8,26,,3,89,12.7059,3.78311,3.3586,1.11812,0.344514,0.102576,0.2419370487332344,0.194614,1.12615,0.278172,0.774516,,,3.46014,1.24651,1.53089,46.150001525878906,,,,"14212"
"Mason Miller","OAK",3,3,,3.17256,68,0,20,6,68,278,50,26,24,7,26,,3,90,11.9573,3.48388,3.43218,0.93024,0.325434,0.0948185,0.2306157574057579,0.201716,1.1228,0.285449,0.755636,,,3.24751,1.23769,1.20549,214.0500030517578,,,,"31757"
"Michael Soroka","CHW",6,8,,4.56715,23,23,0,0,119,516,120,65,60,17,40,,8,101,7.61947,2.99768,2.54179,1.31242,0.195218,0.0768031,0.1184144839644432,0.256183,1.34053,0.293059,0.699169,,,4.67009,1.2165,1.22391,518.6599731445312,,,,"18383"
"Jordan Wicks","CHC",6,7,,4.3849,29,23,0,1,119,515,119,63,58,16,42,,5,101,7.60794,3.13688,2.42532,1.2133,0.195837,0.0807467,0.11509005725383759,0.254423,1.34829,0.293266,0.71009,,,4.47806,1.21267,1.33084,452.1099853515625,,,,"30094"
"Ryan Helsley","STL",5,4,,3.33655,65,0,29,4,65,266,50,26,24,8,27,,1,81,11.2427,3.7216,3.02092,1.07927,0.304927,0.100938,0.20398861169815063,0.210141,1.18373,0.283215,0.767131,,,3.60992,1.18538,1.4435,94.0999984741211,,,,"18138"
"Robert Gasser","MIL",6,7,,4.38195,31,19,0,1,118,509,112,62,57,18,41,,9,113,8.62052,3.12217,2.76107,1.35252,0.221983,0.0803978,0.14158572256565094,0.243761,1.29639,0.286759,0.711502,,,4.5523,1.18075,1.2904,999,,,,"sa3017310"
"Kyle Freeland","COL",8,12,,5.52941,29,29,0,0,162,722,195,106,99,28,49,,7,104,5.80626,2.70885,2.14344,1.57678,0.14455,0.0674384,0.07711201161146164,0.292026,1.50344,0.311546,0.6738,,,5.2787,1.17606,1.4736,707.3699951171875,,,,"16256"
"Keaton Winn","SFG",6,6,,4.19969,27,19,0,1,112,480,111,57,52,13,36,,7,98,7.90928,2.90919,2.71872,1.07961,0.204358,0.0751668,0.1291908323764801,0.254319,1.31905,0.300277,0.704892,,,4.21121,1.17577,1.20034,447.32000732421875,,,,"23499"
"A.J. Minter","ATL",5,3,,3.54581,64,0,3,12,64,264,54,27,25,8,20,,2,78,10.9167,2.86663,3.80822,1.0905,0.293681,0.0771177,0.21656344830989838,0.224111,1.16514,0.296885,0.74401,,,3.4618,1.17179,1.19053,447.8699951171875,,,,"18655"
"Max Meyer",,5,5,,4.3056,18,18,0,0,90,392,89,47,43,11,36,,3,83,8.28236,3.58405,2.31089,1.10078,0.211621,0.0915754,0.1200454831123352,0.252218,1.38596,0.301162,0.714793,,,4.30195,1.17026,1.17803,411.4800109863281,,,,"27474"
"Robert Stephenson","LAA",3,3,,3.60971,63,0,7,11,63,258,51,27,25,9,21,,2,84,12.0292,2.95797,4.06669,1.35234,0.32677,0.080353,0.24641741812229156,0.215034,1.13156,0.290451,0.756616,,,3.60459,1.16453,1.14944,228.47999572753906,,,,"13594"
"Zack Littell","TBR",9,8,,4.27547,41,24,0,1,153,646,154,78,73,23,40,,6,125,7.31287,2.34794,3.11459,1.33509,0.192869,0.0619246,0.1309448853135109,0.256404,1.26427,0.289607,0.712144,,,4.45725,1.16356,1.3613,357.8900146484375,,,,"15823"
"Wade Miley","MIL",7,9,,4.38586,24,24,0,0,133,580,141,70,65,19,47,,4,95,6.40417,3.14275,2.03776,1.2547,0.163423,0.0801975,0.08322581648826599,0.265613,1.40418,0.293369,0.726242,,,4.79116,1.15997,1.62558,491.9800109863281,,,,"8779"
"John Means","BAL",8,8,,4.37128,31,23,0,1,129,540,128,67,63,21,32,,5,100,6.96662,2.23034,3.12357,1.4721,0.184967,0.0592168,0.12575070932507515,0.254979,1.24153,0.280493,0.712881,,,4.69619,1.13195,1.26509,352.1300048828125,,,,"16269"
"Trevor Megill","MIL",3,2,,3.46473,63,0,2,14,63,269,53,26,24,8,24,,2,84,12.0137,3.37662,3.5579,1.13783,0.312616,0.0878652,0.22475038468837738,0.217106,1.21335,0.296638,0.771263,,,3.4568,1.12151,1.03425,679.2100219726562,,,,"17722"
"Jhony Brito","SDP",9,9,,4.22737,51,18,0,1,128,546,126,65,60,17,40,,6,102,7.19077,2.81301,2.55625,1.18732,0.187196,0.0732308,0.1139654591679573,0.253165,1.30179,0.288019,0.711514,,,4.45399,1.11608,1.09602,523.3099975585938,,,,"25386"
"Cal Quantrill","COL",7,11,,5.46072,28,28,0,0,155,688,179,100,94,26,52,,9,99,5.79096,3.00209,1.92897,1.52307,0.144552,0.0749375,0.0696149691939354,0.285892,1.49393,0.305333,0.671424,,,5.3457,1.10813,1.52897,712.8099975585938,,,,"19312"
"José Urquidy","HOU",7,7,,4.52419,40,19,0,1,129,544,129,69,65,21,35,,4,104,7.29344,2.42299,3.0101,1.4777,0.191851,0.0637357,0.1281149834394455,0.255467,1.27079,0.284246,0.703075,,,4.67922,1.10115,1.08422,460.95001220703125,,,,"18413"
