Melonheads(74 pts),,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Ronald Acuna Jr.IL10
AtlOF",Draft
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Hoosiers(49 pts),,
SLOT,PLAYER,ACQ
C,"Joey Bart
PitC",Draft
C,"Agustin Ramirez
MiaC, 1B",Free Agency
1B,"Gavin Sheets
SDOF, 1B, DH",Draft
2B,"Nolan Gorman
StL2B",Draft
3B,"Jose Tena
Wsh3B",Free Agency
SS,"Elly De La Cruz
CinSS",Draft
2B/SS,"Matt McLain
CinSS, 2B",Draft
1B/3B,"Manny Machado
SD3B, DH",Draft
OF,"Corbin Carroll
AriOF",Draft
OF,"Heliot Ramos
SFOF",Draft
OF,"Jordan Walker
StLOF",Draft
OF,"Jordan Beck
ColOF",Draft
OF,"Jose Barrero
StLSS, OF",Free Agency
DH,"Andrew McCutchen
PitDH",Free Agency
UTIL,"LaMonte Wade Jr.
SF1B",Free Agency
P,"Ryan Helsley
StLRP",Draft
P,"Logan Webb
SFSP",Draft
P,"Corbin Burnes
AriSP",Draft
P,"Clay Holmes
NYMRP, SP",Draft
P,"Seth Halvorsen
ColRP",Draft
P,"Landen Roupp
SFRP, SP",Free Agency
P,"Max Meyer
MiaSP",Free Agency
P,"Abner Uribe
MilRP",Free Agency
P,"Justin Verlander
SFSP",Free Agency
Bench,"Zac Veen
ColOF",Draft
Bench,"Quinn MathewsDTD
StLSP",Draft
Bench,"AJ Smith-ShawverDTD
AtlSP",Draft
Bench,"Oliver Dunn
Mil3B",Draft
Bench,"JJ Wetherholt
StLSS",Draft
Bench,"Jett Williams
NYMSS",Draft
Bench,"Thomas Saggese
StL2B",Free Agency
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Jared JonesIL60
PitSP",Draft
IL,"Tyler GlasnowIL15
LADSP",Draft
IL,"Garrett MitchellIL10
MilOF",Draft
IL,"Jake CronenworthIL10
SD1B, 2B",Draft
IL,"Brandon WoodruffIL15
MilSP",Draft
IL,"Endy RodriguezIL10
PitC, 1B",Draft
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Free Birds(37 pts),,
SLOT,PLAYER,ACQ
C,"Jacob Stallings
ColC",Draft
C,"Drake Baldwin
AtlC",Draft
1B,"Matt Olson
Atl1B",Draft
2B,"Nico Hoerner
ChC2B",Draft
3B,"Alec Bohm
Phi3B",Draft
SS,"Nick Allen
AtlSS",Free Agency
2B/SS,"Isiah Kiner-FalefaDTD
Pit2B, 3B, SS",Draft
1B/3B,"Max Muncy
LAD3B",Draft
OF,"Jake Fraley
CinOF",Draft
OF,"Lars Nootbaar
StLOF",Draft
OF,"TJ Friedl
CinOF",Draft
OF,"Teoscar Hernandez
LADOF",Draft
OF,"Mike Yastrzemski
SFOF",Draft
DH,"Bryan Reynolds
PitOF, DH",Draft
UTIL,"Alex Verdugo
AtlOF",Free Agency
P,"Robbie Ray
SFSP",Draft
P,"David Bednar
PitRP",Draft
P,"Jason Adam
SDRP",Draft
P,"Porter Hodge
ChCRP",Draft
P,"Alex Vesia
LADRP",Draft
P,"Andrew Abbott
CinSP",Free Agency
P,"Jose Quintana
MilSP",Free Agency
P,"Chad Patrick
MilSP",Free Agency
P,"Colin Rea
ChCSP",Free Agency
Bench,"Matt Shaw
ChC3B, 2B, SS",Draft
Bench,"Kyle Hart
SDSP",Free Agency
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Reynaldo LopezIL60
AtlSP",Draft
IL,"Spencer StriderIL15
AtlSP",Draft
IL,"Blake TreinenIL60
LADRP",Draft
IL,"Tyler FreemanIL10
ColOF",Draft
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Free at Last(25.5 pts),,
SLOT,PLAYER,ACQ
C,"Miguel Amaya
ChCC",Draft
C,"Patrick Bailey
SFC",Draft
1B,"Josh Bell
Wsh1B, DH",Draft
2B,"Ozzie Albies
Atl2B",Draft
3B,"Matt Chapman
SF3B",Draft
SS,"Geraldo Perdomo
AriSS",Draft
2B/SS,"Edmundo Sosa
PhiSS, 2B, 3B",Draft
1B/3B,"Graham Pauley
Mia3B",Free Agency
OF,"Ian Happ
ChCOF",Draft
OF,"Jacob Young
WshOF",Draft
OF,"Dane Myers
MiaOF",Draft
OF,Empty,
OF,Empty,
DH,"Kyle Schwarber
PhiDH",Draft
UTIL,"Wilmer Flores
SF1B, DH",Trade
P,"Taylor Rogers
CinRP",Draft
P,"Jordan Hicks
SFSP, RP",Draft
P,"Nick Martinez
CinRP, SP",Draft
P,"Mitch Keller
PitSP",Draft
P,"Roki Sasaki
LADSP",Draft
P,"Mitchell Parker
WshSP",Draft
P,"Tyler Rogers
SFRP",Free Agency
P,"Tyler Alexander
MilRP, SP",Free Agency
P,"Colin Holderman
PitRP",Free Agency
Bench,"Andrew Painter
PhiSP",Draft
Bench,"Hyeseong Kim
LAD2B",Draft
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Justin LawrenceIL15
PitRP",Draft
IL,"Derek HillIL10
MiaOF",Draft
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
