Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Eddys Leonard","DET",3,14,13,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.239192,0.0630218,0.240164,0.262411,0.300468,0.376317,0.296313,0.676784,0.137125,3.80523,0.298255,0,-0.0315703,1.4493,-0.256514,86.1372,-0.0315703,-0.0162,-0.2641182243824005,0.08380000293254852,0.0294509,749.9500122070312,,,,"sa3005554"
"Samad Taylor","SEA",3,14,12,3,2,1,0,0,2,1,1,0,4,0,0,0,,1,0,0.229528,0.101741,0.266538,0.381711,0.315492,0.3528,0.296403,0.668292,0.123272,6.20013,0.30328,0.000514087,0.0373052,1.45035,-0.255469,90.7718,0.0378193,-0.0203393,-0.1169828474521637,-0.07033929042518139,0.0287525,735.97998046875,,,,"22274"
"Sam Hilliard","COL",60,259,230,52,30,10,2,10,33,31,25,1,83,2,1,1,,6,1,0.225145,0.0952032,0.319862,0.297639,0.303235,0.417838,0.311225,0.721073,0.192693,5.8526,0.299782,0.00809093,0.25649,30.0198,-1.53784,78.8241,0.264581,-1.03142,-6.529962718486786,-2.0064197778701782,0.0284064,747.1099853515625,,,,"17954"
"Pavin Smith","ARI",5,21,18,5,3,1,0,1,2,2,2,0,4,0,0,0,,0,0,0.247744,0.105217,0.208027,0.505786,0.32964,0.392698,0.316618,0.722338,0.144955,3.50951,0.294018,-0.011402,-0.0402294,2.52809,-0.0306426,97.1624,-0.0516313,-0.0387734,-0.12545309588313103,-0.3137734457850456,0.027523,999,,,,"19892"
"Ryan McKenna","BAL",6,28,25,5,4,1,0,1,3,3,2,0,9,0,0,0,,1,0,0.21845,0.0858164,0.314274,0.273062,0.29302,0.353582,0.285049,0.646602,0.135132,5.2096,0.303975,0.0205443,-0.0224007,2.63667,-0.774969,80.92,-0.00185638,0.0471174,-0.6419860096648335,-0.052882615476846695,0.0255731,999,,,,"19928"
"Darick Hall","PHI",5,21,19,4,3,1,0,1,2,3,2,0,5,0,0,0,,0,0,0.236203,0.0833182,0.253607,0.328532,0.307179,0.437283,0.319509,0.744462,0.20108,2.77103,0.277891,-0.00624712,-0.0389056,2.57851,0.0197795,98.7994,-0.0451527,0.0341416,-0.07638816349208355,-0.390858419239521,0.0247289,999,,,,"19717"
"Trey Cabbage","HOU",5,21,19,4,2,1,0,1,2,3,1,0,8,0,0,0,,1,0,0.223324,0.069715,0.377041,0.1849,0.283238,0.412589,0.298599,0.695827,0.189265,6.11373,0.326898,-0.0031205,0.0305535,2.21384,-0.344891,88.8661,0.027433,0.0586983,-0.25272292643785477,-0.21630172803997993,0.0243778,720.77001953125,,,,"21078"
"Nick Martini","CIN",11,49,43,10,7,2,0,2,6,6,5,0,12,1,0,0,,0,0,0.239765,0.101737,0.246261,0.413125,0.33041,0.395582,0.319243,0.725992,0.155817,3.07083,0.296832,-0.03724,-0.120809,6.00571,0.0353498,94.0391,-0.158049,-0.0852857,-0.5198963582515717,-0.910285696387291,0.0238029,999,,,,"12005"
"Peyton Burdick",,5,21,18,4,2,1,0,1,2,3,2,0,8,0,0,0,,0,0,0.198518,0.0975702,0.362907,0.268858,0.291038,0.375355,0.292932,0.666393,0.176837,4.78133,0.28423,-0.00571214,-0.0137269,2.11499,-0.443734,83.0839,-0.019439,0.0896942,-0.44508962891995907,-0.035305798053741455,0.0232439,999,,,,"25459"
"Dominic Smith",,3,14,13,3,2,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.262488,0.0761023,0.185981,0.409194,0.329181,0.406282,0.320272,0.735463,0.143794,2.6154,0.303143,-0.0122719,-0.0297602,1.72787,0.0220545,100.802,-0.0420321,0.0302857,-0.028113890439271927,-0.21971428580582142,0.0228349,734.1900024414062,,,,"15653"
"Tim Locastro",,5,21,19,4,3,1,0,0,3,2,1,0,5,1,0,0,,1,0,0.22026,0.0523803,0.253465,0.206657,0.297572,0.343139,0.285698,0.640711,0.122879,6.71443,0.284035,0.00529634,0.0326767,1.98883,-0.569898,81.8789,0.037973,-0.0368831,-0.4334627576172352,-0.061883118003606796,0.0219269,999,,,,"15124"
"Canaan Smith-Njigba","PIT",6,28,25,6,4,1,0,1,3,3,3,0,8,0,0,0,,1,0,0.236226,0.103135,0.281384,0.366526,0.317614,0.368653,0.302068,0.686267,0.132427,4.99369,0.321351,-0.0142742,0.00238631,3.03244,-0.379201,86.2403,-0.0118878,0.0541168,-0.48918035347014666,-0.24588318914175034,0.0217968,999,,,,"23264"
"Austin Shenton",,2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.225812,0.106739,0.3112,0.342993,0.315916,0.390505,0.309493,0.70642,0.164693,2.47116,0.312301,-0.00101397,-0.0149812,0.801275,-0.0516338,100.14,-0.0159952,-0.0319737,-0.014820807962678373,-0.006973685696721077,0.0215426,999,,,,"sa3009869"
"Oscar Colás",,10,42,39,9,6,2,0,1,5,5,2,0,11,0,0,0,,0,0,0.243789,0.0575409,0.255905,0.224853,0.292455,0.405739,0.299791,0.698194,0.16195,3.67005,0.297431,0.016616,-0.0757305,4.46924,-0.648219,87.838,-0.0591145,-0.10162,-0.6711664646863937,-0.5516199767589569,0.0203623,620.02001953125,,,,"30162"
"Kyren Paris",,3,14,12,3,2,1,0,0,2,1,2,0,5,0,0,0,,1,0,0.208145,0.109512,0.328874,0.332992,0.304901,0.327558,0.284703,0.632458,0.119412,5.96998,0.307258,0.000512366,0.0357648,1.31431,-0.391504,76.4614,0.0362771,-0.0213594,-0.35858043655753136,0.07864062674343586,0.0195169,748.6599731445312,,,,"26420"
"Angel Martínez","CLE",3,14,13,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.229868,0.0682434,0.223985,0.304678,0.290918,0.347704,0.280396,0.638622,0.117835,4.56954,0.283996,-0.000511912,-0.0203982,1.26424,-0.441583,77.503,-0.0209101,0.0682105,-0.3982947915792465,0.11821052804589272,0.0195025,999,,,,"sa3008762"
"Yunior Severino",,2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.223745,0.0751994,0.347264,0.216548,0.290038,0.398625,0.298615,0.688663,0.174881,3.26994,0.315332,-0.000506983,-0.0153359,0.738033,-0.114876,89.3162,-0.0158429,0.0333947,-0.10545311868190765,0.05839473567903042,0.0190234,999,,,,"sa3003185"
"Ali Sánchez","PIT",2,6,6,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.24371,0.0751451,0.219173,0.342858,0.302917,0.350173,0.287968,0.65309,0.106463,2.24998,0.299892,-0.00273404,-0.020729,0.618183,-0.16162,76.7879,-0.0234631,0.052746,-0.20750352554023266,0.1777459904551506,0.0187906,999,,,,"18551"
"Roman Anthony","BOS",3,14,12,3,2,1,0,0,2,1,2,0,4,0,0,0,,0,0,0.2303,0.10738,0.275908,0.389188,0.317474,0.363971,0.301841,0.681444,0.13367,4.60695,0.310181,-0.00154378,-0.0279915,1.51358,-0.192236,84.0754,-0.0295353,0.051,-0.29666993021965027,0.000999998301267624,0.0179484,999,,,,"sa3020211"
"Coco Montes","COL",5,21,19,5,3,1,0,1,2,2,2,0,6,0,0,0,,0,0,0.242434,0.0761095,0.281941,0.269949,0.307255,0.400026,0.307481,0.70728,0.157591,4.64592,0.319745,-0.00467357,-0.0355927,2.36874,-0.18999,76.3141,-0.0402663,0.0437645,-0.6564754359424114,0.1187644675374031,0.0177024,737.3499755859375,,,,"21547"
"Michael Pérez","BAL",3,13,11,2,1,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.203626,0.0872994,0.26926,0.32422,0.279274,0.351198,0.27623,0.630472,0.147572,3.16902,0.250647,-0.0226047,-0.0188939,1.11159,-0.44802,74.8075,-0.0414985,0.0473621,-0.42787744849920273,0.2973621264100075,0.0176536,999,,,,"12977"
"Rodolfo Castro","PHI",5,21,19,4,3,1,0,1,2,3,2,0,6,0,0,0,,0,0,0.220519,0.0772611,0.288365,0.267928,0.289282,0.389271,0.294202,0.678553,0.168752,3.88409,0.279263,-0.00882528,-0.0595519,2.13714,-0.421591,81.8339,-0.0683772,-0.127607,-0.5409835651516914,-0.0026065707206726074,0.0171162,999,,,,"21987"
"Eduardo Escobar","TOR",3,14,13,3,2,1,0,0,1,2,1,0,3,0,0,0,,0,0,0.230816,0.0679483,0.2379,0.285617,0.28436,0.396823,0.29292,0.681182,0.166007,4.10288,0.274128,-0.00822345,-0.0247467,1.40985,-0.295968,85.4719,-0.0329701,-0.0785089,-0.2766773961484432,-0.028508853167295456,0.0169994,727.4000244140625,,,,"6153"
"Drew Romo","COL",10,38,35,9,6,2,0,1,4,4,2,0,8,0,0,0,,1,0,0.252136,0.0576945,0.198491,0.290666,0.299199,0.383453,0.295678,0.682652,0.131317,4.77129,0.298735,-0.00174418,-0.0902984,3.95497,-0.723843,68.4011,-0.0920426,-0.295412,-1.5952574461698532,0.45458823442459106,0.016672,999,,,,"sa3014522"
"David Hamilton","BOS",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.23118,0.0976766,0.245426,0.397988,0.310585,0.357944,0.295858,0.668529,0.126764,7.19319,0.297462,-0.000507105,0.0246055,0.722006,-0.130903,79.928,0.0240984,0.0469821,-0.14425440691411495,0.07198214344680309,0.0165091,999,,,,"27531"
"Jorge Alfaro","CHC",5,19,18,4,3,1,0,0,2,2,1,0,6,0,0,0,,0,0,0.234897,0.0407768,0.300216,0.135825,0.277566,0.361923,0.278346,0.639489,0.127025,3.91465,0.318095,-0.0146572,-0.0160938,1.70112,-0.638288,72.6962,-0.030751,-0.12062,-0.680197075009346,0.2543797269463539,0.0164621,999,,,,"12180"
"Chadwick Tromp","ATL",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.217717,0.0772725,0.257912,0.299608,0.279498,0.361171,0.280163,0.64067,0.143454,2.39489,0.268521,-0.00559245,-0.0293223,1.15339,-0.406212,71.538,-0.0349147,-0.0359943,-0.48624441400170326,0.21400565654039383,0.0153605,999,,,,"16953"
"Jose Herrera","ARI",8,32,28,6,5,1,0,0,3,3,3,0,8,0,0,0,,0,0,0.225444,0.0979608,0.235792,0.415454,0.305357,0.313995,0.278883,0.619352,0.0885505,3.37919,0.292123,-0.0128338,-0.0679037,2.84947,-1.04954,71.8655,-0.0807375,0.0346215,-1.1960769966244698,0.6596215143799782,0.0152466,750.9400024414062,,,,"17040"
"Zach Remillard",,8,35,31,7,5,1,0,1,4,3,3,0,9,1,0,0,,1,0,0.221702,0.0814459,0.255221,0.319118,0.296283,0.315277,0.273356,0.611559,0.0935741,4.81139,0.291775,0.0176231,-0.0196069,2.95597,-1.30858,69.5155,-0.00198377,0.116892,-1.2804216193035245,0.24189189821481705,0.01502,999,,,,"19788"
"Daniel Vogelbach",,2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.23291,0.14228,0.248676,0.572147,0.34444,0.417459,0.333562,0.761899,0.184549,2.14144,0.280475,-0.0111563,-0.0182217,0.9412,0.0882903,113.642,-0.029378,0,0.08504255674779415,-0.17499999701976776,0.0147456,750.030029296875,,,,"14130"
"Vinny Capra","MIL",2,7,6,2,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.244977,0.100874,0.215095,0.468972,0.327321,0.360102,0.305453,0.687423,0.115125,4.20125,0.305004,-0.00102,-0.0133986,0.777791,-0.0751179,89.6772,-0.0144186,-0.0116266,-0.10393746010959148,0.013373417779803276,0.014743,999,,,,"25040"
"Mike Ford",,5,21,18,4,2,1,0,1,2,3,2,0,5,0,0,0,,0,0,0.23088,0.107117,0.257155,0.416547,0.323076,0.437472,0.329144,0.760548,0.206592,2.49793,0.269608,-0.016659,-0.0434409,2.74656,0.187829,100.677,-0.0600999,0,-0.04249850660562515,-0.5249999761581421,0.0147321,999,,,,"15585"
"Wenceel Pérez","DET",3,14,13,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.243658,0.0824847,0.188814,0.436857,0.311069,0.363898,0.296918,0.674968,0.12024,6.03915,0.290616,-0.000513388,-0.00803841,1.45635,-0.249473,86.5569,-0.00855179,-0.0439322,-0.23405815847218037,-0.09393220767378807,0.0147254,999,,,,"sa3003326"
"Jahmai Jones","NYY",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.217458,0.110299,0.267288,0.412661,0.312121,0.353271,0.296289,0.665392,0.135813,4.90331,0.285708,-0.00101473,-0.0127159,0.724515,-0.128395,88.4734,-0.0137306,-0.00975,-0.11040947306901217,0.015250001102685928,0.0142268,999,,,,"18872"
