Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dylan Cease","SDP",12,8,,3.57439,31,31,,,,168.7,700,139,72,67,19,61,1,5,193,10.2964,3.2543,3.16393,1.01363,0.275714,0.0871429,0.18857142329216003,0.219243,1.18554,0.28436,0.738178,,,3.51621,3.18433,3.10263,999,,,,,,,841.2799774169922,4.986840501693075,784.4999847412109,4.650266739375808,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Spencer Schwellenbach","ATL",11,6,,3.42,27,27,,,,150,609,135,61,57,17,29,1,7,147,8.82,1.74,5.06897,1.02,0.241379,0.047619,0.19376025721430779,0.235602,1.09333,0.288509,0.734665,,,3.39981,2.98708,3.44981,999,,,,,,,735.9000000000001,4.906000000000001,715,4.766666666666667,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Cole Ragans","KCR",10,8,,3.74756,30,27,,,,153.7,647,136,68,64,16,55,1,4,166,9.72023,3.22056,3.01818,0.93689,0.256569,0.0850077,0.17156106233596802,0.231293,1.24268,0.295566,0.729537,,,3.51131,2.97874,2.99695,999,,,,,,,741.9799774169923,4.827456032200513,715.4999847412109,4.655172406946452,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Kyle Bradish","BAL",9,6,,3.40714,26,26,,,,140,578,121,57,53,13,43,0,7,136,8.74286,2.76429,3.16279,0.835714,0.235294,0.0743945,0.16089965403079987,0.229167,1.17143,0.28496,0.733882,,,3.50219,2.93186,2.85568,999,,,,,,,683.5,4.882142857142857,653,4.664285714285715,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Sandy Alcantara","MIA",8,7,,3.5225,24,24,,,,153.3,629,143,64,60,15,35,1,6,128,7.51468,2.05479,3.65714,0.880626,0.203498,0.0556439,0.14785373955965042,0.243197,1.16112,0.28764,0.726115,,,3.57092,2.90132,3.45297,999,,,,,,,711.120022583008,4.6387476087845645,704.5000152587891,4.595564261149641,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Aaron Nola","PHI",10,8,,4.01786,28,28,,,,168,693,160,80,75,23,38,0,4,162,8.67857,2.03571,4.26316,1.23214,0.233766,0.0548341,0.17893217131495476,0.245776,1.17857,0.293991,0.711701,,,3.76767,2.89059,2.5576,999,,,,,,,742.3000000000002,4.418452380952382,739,4.398809523809524,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Tanner Bibee","CLE",11,7,,3.4104,28,28,,,,155.7,638,137,63,59,19,42,0,6,154,8.90173,2.42775,3.66667,1.09827,0.241379,0.0658307,0.17554858326911926,0.232203,1.14965,0.282974,0.761155,,,3.69956,2.84278,3.3199,999,,,,,,,726.2799774169921,4.6646113786272085,695.4999847412109,4.466923560521386,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Logan Gilbert","SEA",11,7,,3.42473,30,30,,,,178.7,721,155,73,68,23,42,1,4,176,8.86402,2.11528,4.19048,1.15837,0.244105,0.0582524,0.18585298582911491,0.22963,1.10241,0.277311,0.752427,,,3.64214,2.8371,3.29924,999,,,,,,,850.4799774169924,4.759261286743733,808.4999847412109,4.5243424652960735,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Pablo López","MIN",11,10,,3.97459,29,29,,,,165.3,689,154,78,73,21,43,1,8,170,9.2559,2.3412,3.95349,1.14338,0.246734,0.0624093,0.18432510644197464,0.241379,1.19177,0.297539,0.710024,,,3.68675,2.80868,2.3529,999,,,,,,,751.520022583008,4.54640053665151,740.5000152587891,4.479733826906996,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Max Fried","NYY",11,7,,3.53635,26,26,,,,152.7,629,136,64,60,15,44,1,5,134,7.89784,2.59332,3.04545,0.884086,0.213037,0.0699523,0.14308426529169083,0.234483,1.17878,0.280742,0.72956,,,3.65109,2.77547,3.0968,999,,,,,,,712.8799774169921,4.668500272849537,689.4999847412109,4.51538964322912,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Reid Detmers","LAA",9,10,,4.09369,26,26,,,,147.3,620,131,72,67,18,47,1,8,159,9.71487,2.87169,3.38298,1.0998,0.256452,0.0758065,0.180645152926445,0.231858,1.20842,0.291237,0.693717,,,3.71638,2.76244,2.01174,999,,,,,,,681.0200225830079,4.6233537574586006,655.5000152587891,4.4501018443866664,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Brandon Pfaadt","ARI",10,8,,3.79132,27,27,,,,154.3,639,144,70,65,19,34,0,6,152,8.86585,1.98315,4.47059,1.10823,0.237872,0.0532081,0.184663537889719,0.240401,1.1536,0.292056,0.713342,,,3.57478,2.70539,2.79569,999,,,,,,,717.7200225830078,4.651458252675851,708.5000152587891,4.591704479883467,,,,,,,,,,,,,,,,,,,"Brandon Pfaadt","27782",694297
"Chris Sale","ATL",10,7,,3.36757,24,24,,,,136.3,572,124,55,51,15,39,0,8,158,10.4329,2.5752,4.05128,0.990462,0.276224,0.0681818,0.2080419585108757,0.23619,1.19589,0.309659,0.760563,,,3.31322,2.70096,3.18372,999,,,,,,,676.720022583008,4.964930355328269,661.5000152587891,4.853264860218636,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Blake Snell","LAD",9,6,,3.55175,26,26,,,,134.3,561,106,57,53,16,59,0,3,172,11.5264,3.95383,2.91525,1.07223,0.306595,0.105169,0.20142601430416107,0.212425,1.22859,0.289389,0.757363,,,3.53878,2.64089,2.63761,999,,,,,,,679.4200225830078,5.0589725029355845,621.5000152587891,4.627699189398153,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Michael King","SDP",12,7,,3.42745,27,26,,,,152.3,641,133,62,58,17,55,1,7,161,9.51412,3.25016,2.92727,1.0046,0.25117,0.0858034,0.16536660492420197,0.229706,1.23441,0.289277,0.767357,,,3.72459,2.61636,3.13043,999,,,,,,,708.120022583008,4.649507606000242,676.5000152587891,4.441891015779471,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Jared Jones","PIT",8,7,,3.70232,25,25,,,,133.7,552,116,59,55,15,38,1,7,135,9.08751,2.55797,3.55263,1.00972,0.244565,0.0688406,0.17572464048862457,0.228797,1.15183,0.282913,0.714286,,,3.61525,2.56583,2.65765,999,,,,,,,638.2799774169922,4.773971518219874,608.4999847412109,4.551234095964661,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Cristopher Sánchez","PHI",9,7,,3.83969,28,27,,,,154.7,648,151,71,66,17,39,0,5,131,7.6212,2.26891,3.35897,0.989011,0.20216,0.0601852,0.1419753059744835,0.25,1.22818,0.29386,0.716005,,,3.75471,2.56404,2.62445,999,,,,,,,673.0799774169924,4.350872596605054,682.4999847412109,4.411764694278269,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Nestor Cortes","MIL",9,7,,3.6875,26,24,,,,144,591,130,63,59,20,38,0,3,142,8.875,2.375,3.73684,1.25,0.240271,0.0642978,0.17597293108701706,0.236364,1.16667,0.283505,0.75,,,3.85398,2.55244,2.7459,999,,,,,,,642.6000000000001,4.462500000000001,621,4.3125,,,,,,,,,,,,,,,,,,,"Nestor Cortes","17874",641482
"Joe Ryan","MIN",9,8,,3.93333,24,24,,,,135,549,119,63,59,19,31,0,7,140,9.33333,2.06667,4.51613,1.26667,0.255009,0.0564663,0.19854281097650528,0.232877,1.11111,0.284091,0.705024,,,3.76648,2.54911,1.99621,999,,,,,,,621.9,4.6066666666666665,594,4.4,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Tyler Glasnow","LAD",9,5,,3.49958,21,21,,,,118.3,474,96,49,46,16,34,0,0,141,10.727,2.58664,4.14706,1.21724,0.297468,0.07173,0.22573840618133545,0.218182,1.0989,0.282686,0.752788,,,3.40317,2.50793,2.46048,999,,,,,,,609.0200225830077,5.148098113882156,563.5000152587891,4.7633136155732,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Ranger Suárez","PHI",11,7,,3.6875,28,26,,,,144,606,138,63,59,15,44,1,4,126,7.875,2.75,2.86364,0.9375,0.207921,0.0726073,0.13531352579593658,0.247312,1.26389,0.294964,0.73913,,,3.77065,2.44786,2.76096,999,,,,,,,630.3000000000002,4.377083333333335,633,4.395833333333333,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Roki Sasaki","LAD",10,5,,3.50847,22,22,,,,118,490,99,49,46,15,31,1,8,137,10.4492,2.36441,4.41935,1.14407,0.279592,0.0632653,0.2163265198469162,0.219512,1.10169,0.280936,0.743119,,,3.48851,2.42986,2.43877,999,,,,,,,588.3000000000001,4.985593220338983,552,4.677966101694915,,,,,,,,,,,,,,,,,,,"Roki Sasaki","35323",808963
"Tanner Houck","BOS",8,8,,3.96073,27,25,,,,147.7,628,141,70,65,13,44,1,12,129,7.86053,2.68111,2.93182,0.792146,0.205414,0.0700637,0.1353503167629242,0.246504,1.25254,0.297674,0.689448,,,3.70135,2.41391,2.49472,999,,,,,,,656.4799774169921,4.444685111584933,659.4999847412109,4.465132013322359,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Justin Steele","CHC",8,5,,3.44878,25,24,,,,135.7,564,125,56,52,14,36,0,5,126,8.35667,2.38762,3.5,0.928519,0.223404,0.0638298,0.1595744714140892,0.239006,1.18644,0.289817,0.742574,,,3.55705,2.32108,2.77689,999,,,,,,,635.9799774169921,4.686661692848553,625.4999847412109,4.609432563066195,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Bryan Woo","SEA",7,5,,3.53496,26,26,,,,127.3,510,109,53,50,14,25,0,8,119,8.4132,1.76748,4.76,0.989788,0.233333,0.0490196,0.18431372568011284,0.228512,1.05263,0.276163,0.708042,,,3.50426,2.31494,2.23201,999,,,,,,,625.4200225830078,4.912961567869906,593.5000152587891,4.6622152476892165,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Zebby Matthews","MIN",7,5,,3.77672,26,25,,,,126.3,526,122,57,53,17,24,0,4,120,8.55107,1.71021,5,1.2114,0.228137,0.0456274,0.18250950425863266,0.24498,1.15598,0.290859,0.728314,,,3.68113,2.30333,2.06451,999,,,,,,,564.320022583008,4.468091915656957,566.5000152587891,4.485352348143943,,,,,,,,,,,,,,,,,,,"Zebby Matthews","31827",805673
"Shane McClanahan","TBR",8,5,,3.25203,19,19,,,,110.7,446,94,43,40,12,28,1,2,115,9.34959,2.27642,4.10714,0.97561,0.257848,0.0627803,0.19506727904081345,0.225962,1.10208,0.283737,0.750951,,,3.31101,2.30245,2.42633,999,,,,,,,567.1799774169922,5.12357717301634,537.4999847412109,4.855465217334371,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Luis Castillo","SEA",10,8,,3.60721,26,26,,,,149.7,619,136,64,60,19,42,1,5,145,8.71743,2.52505,3.45238,1.14228,0.234249,0.0678514,0.16639741510152817,0.237762,1.18904,0.286765,0.752972,,,3.82112,2.2735,2.43471,999,,,,,,,669.4799774169923,4.472144228890403,650.4999847412109,4.3453573680840964,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"MacKenzie Gore","WSN",9,10,,3.9379,27,27,,,,141.7,612,133,66,62,16,51,0,6,147,9.33663,3.23924,2.88235,1.01623,0.240196,0.0833333,0.1568627431988716,0.23964,1.29852,0.298469,0.730198,,,3.76634,2.27239,2.24327,999,,,,,,,628.9799774169924,4.43881433283824,623.4999847412109,4.400141130341398,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Hunter Brown","HOU",10,8,,3.73186,28,25,,,,144.7,613,131,64,60,17,50,0,5,145,9.01866,3.10988,2.9,1.05736,0.236542,0.0815661,0.1549755334854126,0.234767,1.25086,0.287879,0.744275,,,3.82992,2.23401,2.42458,999,,,,,,,646.0799774169923,4.4649619284241515,627.4999847412109,4.336558382690649,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Brayan Bello","BOS",11,10,,4.04082,28,27,,,,147,634,144,71,66,15,52,0,6,134,8.20408,3.18367,2.57692,0.918367,0.211356,0.0820189,0.12933753430843353,0.25,1.33333,0.302108,0.714286,,,3.85355,2.21533,2.35971,999,,,,,,,622.9,4.237414965986394,634,4.312925170068027,,,,,,,,,,,,,,,,,,,"Brayan Bello","23920",678394
"Framber Valdez","HOU",12,7,,3.45489,25,25,,,,156.3,654,140,64,60,16,52,0,8,140,8.06142,2.99424,2.69231,0.921305,0.214067,0.0795107,0.1345565766096115,0.23569,1.22841,0.283105,0.754717,,,3.85746,2.17309,3.23105,999,,,,,,,695.8200225830078,4.451823474069871,673.5000152587891,4.309021126735126,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Nick Martinez","CIN",7,6,,3.70636,41,12,,,,111.7,470,111,49,46,11,30,0,4,95,7.65443,2.41719,3.16667,0.886303,0.202128,0.0638298,0.13829787820577621,0.254587,1.26231,0.30303,0.732484,,,3.65887,2.14785,2.06592,999,,,,,,,490.6799774169923,4.392837876659531,503.49998474121094,4.507609655302989,,,,,,,,,,,,,,,,,,,"Nick Martinez","12730",607259
"Freddy Peralta","MIL",10,8,,3.8998,27,27,,,,147.7,612,122,68,64,21,54,0,7,161,9.81043,3.29045,2.98148,1.27962,0.263072,0.0882353,0.17483659833669662,0.221416,1.1916,0.273713,0.736699,,,4.07372,2.14722,2.47783,999,,,,,,,656.4799774169921,4.444685111584933,604.4999847412109,4.092755566901217,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Gerrit Cole","NYY",9,6,,3.90708,23,23,,,,131.3,540,118,61,57,20,36,0,4,132,9.04798,2.46763,3.66667,1.37091,0.244444,0.0666667,0.17777777463197708,0.236,1.17289,0.281609,0.738095,,,4.04995,2.1407,2.01407,999,,,,,,,562.820022583008,4.286519493538376,540.5000152587891,4.116527057853355,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Bailey Ober","MIN",9,8,,3.92617,27,27,,,,149,610,138,70,65,23,36,0,5,147,8.87919,2.1745,4.08333,1.38926,0.240984,0.0590164,0.18196721374988556,0.242531,1.16779,0.288221,0.733427,,,4.02554,2.12691,2.15356,999,,,,,,,631.9000000000001,4.240939597315437,617,4.140939597315437,,,,,,,,,,,,,,,,,,,"Bailey Ober","21224",641927
"Shota Imanaga","CHC",8,6,,3.6259,25,25,,,,139,575,130,60,56,20,32,1,5,137,8.8705,2.07194,4.28125,1.29496,0.238261,0.0556522,0.1826086901128292,0.241636,1.16547,0.288714,0.761194,,,3.86432,2.11484,2.56145,999,,,,,,,607.6000000000001,4.371223021582735,598,4.302158273381295,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Bryce Miller","SEA",9,8,,3.61898,28,28,,,,151.7,615,133,65,61,19,38,0,6,139,8.24654,2.25445,3.65789,1.12722,0.226016,0.0617886,0.16422763466835022,0.232925,1.12722,0.276029,0.734072,,,3.83227,2.08682,2.45021,999,,,,,,,689.0799774169923,4.542386231240969,657.4999847412109,4.334212247647838,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Andrew Abbott","CIN",9,10,,4.35592,26,26,,,,134.3,570,129,70,65,20,46,0,3,126,8.44378,3.08265,2.73913,1.34028,0.221053,0.0807018,0.14035087823867798,0.247601,1.30305,0.290667,0.714286,,,4.32061,2.07687,1.8286,999,,,,,,,517.4200225830078,3.852717876585599,516.5000152587891,3.8458674871342735,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Grayson Rodriguez","BAL",9,6,,3.76508,22,22,,,,124.3,518,110,56,52,15,36,0,6,129,9.34031,2.6066,3.58333,1.08608,0.249035,0.0694981,0.17953667789697647,0.231092,1.17458,0.286145,0.72,,,3.67332,2.06261,1.93568,999,,,,,,,581.3200225830078,4.676749865733708,558.5000152587891,4.493161717994752,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Zach Eflin","BAL",9,8,,3.90441,24,23,,,,136,565,140,63,59,18,25,1,4,108,7.14706,1.65441,4.32,1.19118,0.19115,0.0442478,0.1469026543200016,0.261194,1.21324,0.297561,0.729614,,,3.93854,2.02717,1.9183,999,,,,,,,550.0000000000001,4.044117647058824,575,4.227941176470588,,,,,,,,,,,,,,,,,,,"Zach Eflin","13774",621107
"Reynaldo López","ATL",9,4,,3.26707,32,19,,,,115.7,477,100,45,42,12,39,1,2,120,9.33449,3.03371,3.07692,0.933449,0.251572,0.081761,0.16981133073568344,0.229358,1.20138,0.289474,0.769231,,,3.50356,2.00851,2.72558,999,,,,,,,565.5799774169922,4.888331826577329,539.4999847412109,4.662921339423661,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Kevin Gausman","TOR",10,8,,3.92129,25,25,,,,142.3,604,141,66,62,19,41,0,2,134,8.47505,2.59311,3.26829,1.20169,0.221854,0.0678808,0.1539735049009323,0.251337,1.27899,0.29902,0.746461,,,3.92544,2.00335,2.10079,999,,,,,,,591.7200225830078,4.158257272614291,603.5000152587891,4.241040072495867,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Eury Pérez","MIA",7,6,,3.6,25,25,,,,115,469,100,49,46,14,35,0,2,116,9.07826,2.73913,3.31429,1.09565,0.247335,0.0746269,0.17270788550376892,0.231481,1.17391,0.284768,0.745234,,,3.69691,1.99956,2.46971,999,,,,,,,539.8,4.69391304347826,514,4.469565217391304,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Mitch Keller","PIT",9,10,,4.07786,27,27,,,,156.7,670,153,76,71,19,47,0,11,138,7.92597,2.69943,2.93617,1.09126,0.20597,0.0701493,0.1358209028840065,0.25,1.27632,0.294506,0.71511,,,4.09181,1.97838,2.40009,999,,,,,,,630.0799774169923,4.020931650848129,638.4999847412109,4.074664946880035,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Kodai Senga","NYM",8,6,,3.59436,22,22,,,,127.7,536,107,55,51,15,56,0,4,132,9.30305,3.94675,2.35714,1.05717,0.246269,0.104478,0.14179104566574097,0.22479,1.27643,0.279635,0.760563,,,4.0357,1.9721,2.30448,999,,,,,,,566.2799774169923,4.434455684807181,527.4999847412109,4.130775233730121,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Taj Bradley","TBR",9,8,,3.93333,26,26,,,,135,563,121,63,59,17,41,0,4,132,8.8,2.73333,3.21951,1.13333,0.234458,0.0728242,0.16163409501314163,0.233591,1.2,0.281843,0.716353,,,3.84796,1.97142,1.76788,999,,,,,,,604.3,4.4762962962962956,583,4.318518518518519,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Zac Gallen","ARI",12,7,,3.50958,26,26,,,,151.3,628,135,63,59,18,48,0,6,143,8.50628,2.85525,2.97917,1.07072,0.227707,0.0764331,0.15127389132976532,0.235192,1.20952,0.283293,0.760456,,,3.89351,1.9641,3.35107,999,,,,,,,671.2200225830078,4.436351679076913,646.5000152587891,4.272967628676317,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Rhett Lowder","CIN",6,8,,4.51025,27,27,,,,131.7,556,130,71,66,17,38,0,6,101,6.90205,2.59681,2.65789,1.16173,0.181655,0.0683453,0.1133093535900116,0.253906,1.27563,0.286802,0.672677,,,4.31302,1.96068,1.56546,999,,,,,,,497.47997741699226,3.777372733064685,507.49998474121094,3.8534547949963684,,,,,,,,,,,,,,,,,,,"Rhett Lowder","33876",695076
"Cade Povich","BAL",9,9,,4.04417,27,26,,,,131.3,557,121,63,59,15,47,0,5,122,8.36253,3.22163,2.59574,1.02818,0.219031,0.0843806,0.13464990258216858,0.239604,1.27951,0.288043,0.714286,,,3.98141,1.93116,1.61985,999,,,,,,,560.520022583008,4.269002357616502,549.5000152587891,4.185072372330249,,,,,,,,,,,,,,,,,,,"Cade Povich","30055",700249
"Walker Buehler","BOS",7,6,,3.86861,25,25,,,,123.3,520,121,57,53,14,33,0,5,108,7.88321,2.40876,3.27273,1.0219,0.207692,0.0634615,0.14423076808452606,0.251037,1.24899,0.297222,0.721726,,,3.8153,1.91808,2.24753,999,,,,,,,527.6200225830077,4.279156606034534,536.5000152587891,4.351176009570589,,,,,,,,,,,,,,,,,,,"Walker Buehler","19374",621111
"Ben Brown","CHC",7,4,,3.6,24,18,,,,95,395,79,41,38,9,34,0,3,100,9.47368,3.22105,2.94118,0.852632,0.253165,0.0860759,0.1670886129140854,0.22067,1.18947,0.281125,0.717131,,,3.46122,1.90427,1.68826,999,,,,,,,475.9,5.009473684210526,447,4.705263157894737,,,,,,,,,,,,,,,,,,,"Ben Brown","23590",676962
"Clay Holmes","NYM",9,7,,3.7156,23,16,,,,109,477,111,48,45,8,35,2,5,94,7.76147,2.88991,2.68571,0.66055,0.197065,0.0733753,0.12368973344564438,0.254005,1.33945,0.307463,0.727003,,,3.49676,1.90378,1.76019,999,,,,,,,487.6,4.473394495412844,509,4.669724770642202,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"AJ Smith-Shawver","ATL",7,5,,3.835,27,27,,,,110.3,463,98,50,47,13,41,0,2,112,9.13871,3.34542,2.73171,1.06074,0.241901,0.0885529,0.15334773808717728,0.233333,1.2602,0.288136,0.736755,,,3.83738,1.88093,1.97504,999,,,,,,,496.5200225830079,4.5015413313272346,477.50001525878906,4.329102466431703,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
"Luis Gil","NYY",9,8,,4.14844,26,26,,,,128,542,104,63,59,17,60,0,6,140,9.84375,4.21875,2.33333,1.19531,0.258303,0.110701,0.14760146290063858,0.218487,1.28125,0.272727,0.720399,,,4.25242,1.86036,1.59247,999,,,,,,,549.7,4.29453125,501,3.9140625,,,,,,,,,,,,,,,,,,,"Luis Gil","21052",661563
"Robert Gasser","MIL",5,5,,3.88004,20,20,,,,106.7,450,96,49,46,12,31,0,10,99,8.35052,2.61481,3.19355,1.01218,0.22,0.0688889,0.15111111104488373,0.234719,1.19025,0.281879,0.707804,,,3.92562,1.85903,1.80297,999,,,,,,,467.37997741699223,4.380318564054955,452.49998474121094,4.240862208840631,,,,,,,,,,,,,,,,,,,"Robert Gasser","29812",688107
"Gavin Stone","LAD",7,6,,4.14133,23,21,,,,121.7,511,114,60,56,15,37,0,2,111,8.20871,2.73624,3,1.10929,0.217221,0.072407,0.14481409639120102,0.241525,1.24076,0.286127,0.7,,,3.906,1.84581,1.46952,999,,,,,,,524.6799774169923,4.3112571123574766,518.4999847412109,4.26047656321408,,,,,,,,,,,,,,,,,,,"Gavin Stone","27792",694813
