Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zack Kelly","BOS",1,1,0,4.31069,14,0,0,0,,14,61,13,7,7,2,7,,1,14,9.13519,4.32431,2.11252,1.13385,0.233256,0.110416,0.12284010648727417,0.237309,1.38592,0.291447,0.715398,,,4.3063,-0.0011245,0.00147396,999,,,,,,,49.20000000000003,3.5142857142857165,48,3.4285714285714284,,,,,,,,,,,,,,,,,,,"Zack Kelly","20349",677161
"Yerry De los Santos","NYY",1,1,0,4.12265,18,0,0,2,,18,77,18,9,8,2,7,,1,14,6.93968,3.58651,1.93494,0.950069,0.177044,0.091498,0.08554548025131226,0.254946,1.39426,0.293879,0.719114,,,4.26904,-0.00118307,-0.0124368,999,,,,,,,73.80000000000003,4.100000000000001,76,4.222222222222222,,,,,,,,,,,,,,,,,,,"Yerry De los Santos","21420",660787
"Nick Frasso","LAD",0,0,0,4.45078,3,0,0,0,,3,11,3,1,1,0,1,,0,2,7.36021,3.14568,2.33978,1.22378,0.189567,0.0810191,0.10854785889387131,0.255136,1.34627,0.291495,0.699658,,,4.44423,-0.00118785,0.0144394,750.8800048828125,,,,,,,15.400000000000002,5.133333333333334,16,5.333333333333333,,,,,,,,,,,,,,,,,,,"Nick Frasso","sa3014492",693308
"Logan Workman","TBR",0,0,0,5.24314,1,1,0,0,,5,24,6,3,3,1,2,,0,4,6.20307,2.83672,2.18671,1.82267,0.159233,0.0728188,0.08641448616981506,0.269645,1.38956,0.281912,0.683821,,,5.37675,-0.00123557,0.00799096,999,,,,,,,11.1,2.2199999999999998,14,2.8,,,,,,,,,,,,,,,,,,,"Logan Workman","sa3017313",694312
"Justin Hagenman","NYM",0,0,0,4.21102,3,0,0,0,,3,14,3,2,2,1,1,,0,3,8.28874,2.6641,3.11127,1.39184,0.218262,0.0701519,0.1481098160147667,0.24908,1.26126,0.289537,0.720442,,,4.29174,-0.00126891,-0.0188413,999,,,,,,,5.100000000000002,1.7000000000000008,5,1.6666666666666667,,,,,,,,,,,,,,,,,,,"Justin Hagenman","21546",663795
"Nick Robertson","HOU",0,0,0,4.36599,4,0,0,0,,4,18,4,2,2,1,2,,0,4,8.37903,3.8276,2.18911,1.13871,0.215007,0.0982165,0.1167902946472168,0.246614,1.37785,0.294484,0.708374,,,4.27572,-0.00126936,-0.00269155,999,,,,,,,8.9,2.225,9,2.25,,,,,,,,,,,,,,,,,,,"Nick Robertson","26226",687798
"Jack Neely","CHC",0,0,0,4.31115,3,0,0,0,,3,12,2,1,1,0,1,,0,3,9.09034,4.07342,2.23162,1.24022,0.233655,0.104702,0.1289535090327263,0.237421,1.3586,0.287913,0.718835,,,4.38192,-0.00128714,0.0138978,999,,,,,,,20.000000000000004,6.666666666666668,18,6,,,,,,,,,,,,,,,,,,,"Jack Neely","30106",680891
"Jared Shuster","CHW",0,1,0,4.72548,8,0,0,0,,8,36,9,5,4,1,3,,0,6,6.84091,3.522,1.94234,1.20603,0.174045,0.0896057,0.08443892747163773,0.263585,1.43291,0.296838,0.69236,,,4.55922,-0.00135617,-0.0345554,999,,,,,,,26.500000000000007,3.312500000000001,30,3.75,,,,,,,,,,,,,,,,,,,"Jared Shuster","27472",694363
"Austin Warren","NYM",1,0,0,4.2481,14,0,0,0,,14,59,13,7,6,2,5,,0,12,7.83769,3.50078,2.23884,1.13756,0.201881,0.0901722,0.11170916259288788,0.252114,1.36994,0.29532,0.718269,,,4.25987,-0.0013993,-0.0141176,999,,,,,,,54.2,3.8714285714285714,53,3.7857142857142856,,,,,,,,,,,,,,,,,,,"Austin Warren","24937",681810
"Kendry Rojas","TOR",0,0,0,4.97966,3,0,0,0,,3,15,3,2,2,0,2,,0,3,8.5785,4.21314,2.03613,1.19055,0.205297,0.100827,0.10446995496749878,0.246008,1.48009,0.290506,0.671881,,,4.49163,-0.00140221,-0.0172924,999,,,,,,,14.400000000000002,4.800000000000001,15,5,,,,,,,,,,,,,,,,,,,"Kendry Rojas","sa3016746",696070
