Name,Team,billikenTeam,contract,salary,point_value,repl,par,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,ev,surplus
Lyon Richardson,CIN,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,12,0,0,11,4.82,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Janson Junk,MIA,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,22,1,0,16,4.56,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Zach Agnos,COL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,26,2,0,22,4.81,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Josh Ekness,MIA,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,18,1,0,16,4.58,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Andry Lara,WSN,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,22,1,0,17,4.61,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Genesis Cabrera,NYM,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,41,2,0,38,4.3,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Andre Granillo,STL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,15,1,0,14,4.65,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Domingo Gonzalez,ATL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,43,2,0,43,4.33,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Jacob Misiorowski,MIL,Louisville Sluggers,2,1,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,36,2,0,39,4.46,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.1
Roddery Munoz,STL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,26,1,0,23,4.62,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Spencer Bivens,SFG,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,40,2,0,30,4.32,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Luarbert Arias,MIA,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,44,3,0,39,4.59,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Thomas Saggese,STL,NA,NA,1,0.9,2.1,-1.2000000000000002,210,6,23,25,2,0.242,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,1.1,0.1
Nick Yorke,PIT,Hoosiers,2,1,0.8,2.1,-1.3,154,3,17,16,3,0.251,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0.8,-0.2
Cal Stevenson,PHI,NA,NA,NA,0.2,1.5,-1.3,42,1,5,4,2,0.227,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.8,NA
Brandon Lockridge,SDP,NA,NA,NA,0.2,1.5,-1.3,42,1,5,4,2,0.236,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.8,NA
Kevin Alcantara,CHC,NA,NA,NA,0.2,1.5,-1.3,49,1,5,5,1,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.8,NA
Darren Baker,WSN,NA,NA,NA,0.2,1.5,-1.3,28,0,3,2,1,0.255,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,0,0.8,NA
Greg Jones,COL,NA,NA,NA,0.2,1.5,-1.3,49,1,6,5,3,0.234,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.8,NA
Darick Hall,PIT,NA,NA,NA,0.2,1.5,-1.3,91,3,9,10,0,0.225,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.8,NA
Robert Hassell III,WSN,NA,NA,NA,0.2,1.5,-1.3,126,2,12,11,3,0.22,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.8,NA
Brady Singer,CIN,NA,NA,2,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,167,9,0,159,4.54,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-1.2
Andre Pallante,STL,NA,NA,1,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,153,9,0,113,3.92,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.2
Miles Mikolas,STL,Melonheads,2,3,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,176,9,0,123,4.46,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-2.2
Mitchell Parker,WSN,NA,NA,2,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,148,8,0,131,4.29,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-1.2
Jake Irvin,WSN,Erie Lakers,2,1,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,163,9,0,135,4.44,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.2
Matt Waldron,SDP,NA,NA,1,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,80,4,0,66,4.51,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.2
Andrew Painter,PHI,Blue Socks,2,1,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,64,3,0,62,4.53,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.2
Randy Vasquez,SDP,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,65,4,0,50,4.44,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Adam Mazur,MIA,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,33,2,0,25,4.73,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Caleb Kilian,CHC,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,31,1,0,23,4.38,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Ronny Henriquez,MIA,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,53,2,0,45,4.17,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Josh Staumont,CIN,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,28,1,0,28,4.39,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Patrick Monteverde,MIA,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,35,2,0,26,4.54,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Kyle Nicolas,PIT,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,44,2,0,44,4.3,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Ryan Loutos,STL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,48,2,0,39,4.2,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Scott McGough,ARI,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,22,1,0,21,4.48,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Alan Rangel,PHI,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,32,2,0,27,4.72,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Rolddy Munoz,ATL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,22,1,0,20,4.41,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Bradgley Rodriguez,SDP,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,26,1,0,24,4.44,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Bailey Horn,STL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,22,1,0,20,4.4,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
John Curtiss,ARI,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,18,1,0,14,4.89,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Guillo Zuniga,PHI,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,17,1,0,14,4.97,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Matt Svanson,STL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,35,2,0,25,4.42,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Matt Pushard,MIA,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,24,1,0,20,4.62,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Chris Roycroft,STL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,51,3,0,42,4.13,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Antonio Jimenez,SFG,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,26,1,0,20,4.39,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Jake Diekman,ATL,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,46,2,0,54,4.32,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Anthony Veneziano,MIA,NA,NA,NA,-0.4,0.9,-1.3,NA,NA,NA,NA,NA,NA,56,3,0,46,4.31,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
Owen Caissie,CHC,NA,NA,1,0.1,1.5,-1.4,35,1,4,4,0,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,-0.6
James Outman,LAD,Westside Marauders,2,1,0.1,1.5,-1.4,14,0,2,2,0,0.22,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,-0.6
Brewer Hicklen,MIL,NA,NA,NA,0.1,1.5,-1.4,28,1,3,4,1,0.203,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Brewer Hicklen,MIL,NA,NA,NA,0.1,1.5,-1.4,28,1,3,4,1,0.203,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Ji Hwan Bae,PIT,NA,NA,NA,0.1,1.5,-1.4,14,0,2,1,1,0.258,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Jakob Marsee,MIA,NA,NA,NA,0.1,1.5,-1.4,21,0,2,2,1,0.205,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Blake Dunn,CIN,NA,NA,NA,0.1,1.5,-1.4,14,0,2,1,1,0.229,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Andres Chaparro,WSN,NA,NA,NA,0.1,1.5,-1.4,28,1,3,3,0,0.242,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,1,0.4,NA
Jacob Hurtubise,CIN,NA,NA,NA,0.1,1.5,-1.4,14,0,2,1,1,0.24,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.4,NA
Owen Miller,COL,NA,NA,NA,0.1,1.5,-1.4,7,0,1,1,0,0.263,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.4,NA
Jake Bauers,MIL,Big Red Machine,2,1,0.1,1.5,-1.4,28,1,3,3,1,0.202,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.4,-0.6
Paul Blackburn,NYM,NA,NA,1,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,115,7,0,94,4.39,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.6
Johan Oviedo,PIT,NA,NA,1,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,76,4,0,68,4.31,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.6
Joe Ross,PHI,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,63,3,0,55,4.37,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Tim Mayza,PIT,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,55,2,0,41,4.07,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Gordon Graceffo,STL,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,47,2,0,33,4.37,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Zach Maxwell,CIN,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,33,2,0,36,4.62,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Kyle Tyler,PHI,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,28,1,0,22,4.57,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
John Rooney,MIA,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,28,1,0,24,4.43,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Jefry Yan,COL,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,17,1,0,16,4.83,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Mick Abel,PHI,Blue Socks,2,1,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,22,1,0,20,4.76,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.6
Juan Nunez,SDP,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,10,0,0,8,4.99,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Buck Farmer,ATL,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,50,2,0,49,4.49,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Sean Reynolds,SDP,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,53,2,1,52,4.31,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Connor Gillispie,MIA,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,41,2,0,34,4.6,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Ben Casparius,LAD,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,38,2,0,37,4.68,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Kyle Leahy,STL,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,56,3,0,44,4.27,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Amos Willingham,ATL,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,44,3,0,38,4.49,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Lucas Sims,WSN,NA,NA,NA,-0.5,0.9,-1.4,NA,NA,NA,NA,NA,NA,58,3,1,60,4.49,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Brett Wisely,SFG,NA,NA,NA,0.6,2.1,-1.5,147,3,17,15,3,0.24,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,0.1,NA
Wade Meckler,SFG,NA,NA,NA,0,1.5,-1.5,14,0,2,1,0,0.266,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Eli White,ATL,NA,NA,NA,0,1.5,-1.5,21,0,3,2,1,0.228,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Alexander Canario,NYM,NA,NA,NA,0,1.5,-1.5,28,1,3,4,0,0.209,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Isaac Collins,MIL,NA,NA,NA,-0,1.5,-1.5,7,0,1,1,0,0.222,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Oscar Gonzalez,SDP,NA,NA,NA,0,1.5,-1.5,14,0,2,2,0,0.252,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Yuli Gurriel,SDP,NA,NA,NA,-0,1.5,-1.5,14,0,1,1,0,0.254,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.1,NA
Jorge Barrosa,ARI,National Pastime,2,1,-0,1.5,-1.5,7,0,1,1,0,0.233,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,-0.9
Cooper Bowman,CIN,NA,NA,NA,-0,1.5,-1.5,7,0,1,1,0,0.221,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,0,0.1,NA
DJ Stewart,PIT,NA,NA,NA,0,1.5,-1.5,35,1,4,4,0,0.214,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0.1,NA
Garrett Cooper,ATL,NA,NA,NA,-0,1.5,-1.5,7,0,1,1,0,0.236,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.1,NA
Stone Garrett,WSN,NA,NA,NA,-0,1.5,-1.5,7,0,1,1,0,0.225,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0.1,NA
Trey Mancini,ARI,NA,NA,NA,-0,1.5,-1.5,14,0,1,1,0,0.231,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0.1,NA
Andrew Abbott,CIN,Westside Marauders,Opt,1,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,133,8,0,127,4.57,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.9
Ryan Weathers,MIA,NA,NA,3,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,142,7,0,124,4.3,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-2.9
Ian Anderson,ATL,NA,NA,1,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,92,5,0,79,4.26,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.9
Michael Soroka,WSN,NA,NA,1,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,121,7,0,113,4.44,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.9
Robby Snelling,MIA,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,25,1,0,18,4.68,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Brent Suter,CIN,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,63,3,0,49,4.42,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Yosver Zulueta,CIN,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,46,2,0,46,4.49,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Tyler Phillips,PHI,National Pastime,2,1,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,43,2,0,32,4.51,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.9
Tommy Doyle,COL,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,21,1,0,17,4.95,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Zach Brzykcy,WSN,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,48,2,0,48,4.42,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Evan Reifert,WSN,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,52,2,0,55,4.49,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Bryan Shaw,CIN,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,17,1,0,14,5.29,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
George Soriano,MIA,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,48,2,0,45,4.48,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Tyler Zuber,NYM,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,33,2,0,31,4.83,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Lake Bachar,MIA,NA,NA,NA,-0.6,0.9,-1.5,NA,NA,NA,NA,NA,NA,58,3,1,53,4.51,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Miguel Rojas,LAD,Erie Lakers,2,1,0.5,2.1,-1.6,98,2,10,10,2,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,-0.3,-1.3
Max Meyer,MIA,Westside Marauders,2,5,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,133,7,0,117,4.3,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-5.3
Javier Assad,CHC,National Pastime,2,1,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,137,7,0,113,4.28,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-1.3
Griffin Canning,NYM,NA,NA,2,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,98,5,0,88,4.59,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-2.3
Chase Petty,CIN,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,32,1,0,24,4.95,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Carson Spiers,CIN,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,46,2,0,40,4.89,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Jimmy Herget,COL,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,50,3,0,43,4.79,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Jackson Rutledge,WSN,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,32,1,0,26,4.69,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Justin Lawrence,PIT,Rebuilding Year,2,4,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,66,4,0,60,4.39,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-4.3
Angel Chivilli,COL,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,53,3,0,48,4.76,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Orlando Ribalta,WSN,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,28,1,0,25,4.82,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Griff McGarry,PHI,NA,NA,NA,-0.7,0.9,-1.6,NA,NA,NA,NA,NA,NA,26,1,0,27,4.8,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
Nick Allen,ATL,NA,NA,NA,0.4,2.1,-1.7000000000000002,105,1,11,10,2,0.249,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,-0.6,NA
Jared Serna,MIA,NA,NA,NA,0.4,2.1,-1.7000000000000002,98,2,11,10,2,0.231,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,-0.6,NA
Max Acosta,MIA,NA,NA,NA,0.4,2.1,-1.7000000000000002,63,1,7,6,2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Vidal Brujan,CHC,NA,NA,1,0.4,2.1,-1.7000000000000002,112,2,13,10,4,0.226,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,-0.6,-1.6
Colin Rea,CHC,NA,NA,1,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,122,6,0,97,4.53,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,-1.6
Victor Vodnik,COL,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,66,3,3,63,4.44,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Anthony Molina,COL,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,33,1,0,23,4.89,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Juan Mejia,COL,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,22,1,0,19,5.2,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Seth Johnson,PHI,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,24,1,0,19,5.14,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Cole Henry,WSN,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,40,1,0,35,4.82,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Eduardo Salazar,WSN,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,50,2,0,37,4.47,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Michael Mercado,PHI,NA,NA,NA,-0.8,0.9,-1.7000000000000002,NA,NA,NA,NA,NA,NA,40,2,0,35,4.97,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,NA
Luken Baker,STL,NA,NA,NA,0.3,2.1,-1.8,126,5,13,17,0,0.215,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,-0.9,NA
Blaze Alexander,ARI,National Pastime,2,1,0.3,2.1,-1.8,126,2,13,13,2,0.228,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,0,-0.9,-1.9
Jose Quintana,MIL,Louisville Sluggers,2,1,-0.9,0.9,-1.8,NA,NA,NA,NA,NA,NA,131,8,0,108,4.31,1.4,0,0,0,0,1,0,0,1,0,-0.9,-1.9
Bubba Chandler,PIT,NA,NA,4,-0.9,0.9,-1.8,NA,NA,NA,NA,NA,NA,75,4,0,65,4.51,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,-4.9
Tanner Gordon,COL,NA,NA,NA,-0.9,0.9,-1.8,NA,NA,NA,NA,NA,NA,39,2,0,28,5,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,NA
Jaden Hill,COL,NA,NA,NA,-0.9,0.9,-1.8,NA,NA,NA,NA,NA,NA,42,2,0,37,5.01,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,NA
Bryce Jarvis,ARI,NA,NA,NA,-0.9,0.9,-1.8,NA,NA,NA,NA,NA,NA,48,2,0,38,4.43,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,NA
