Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Starling Marte","NYM",65,280,255,67,48,11,2,6,35,30,18,1,60,5,1,1,,11,2,0.263525,0.06375,0.213612,0.298438,0.323193,0.388382,0.312029,0.711576,0.124858,6.30412,0.32196,0.208062,0.824798,33.1708,0.416921,103.197,1.03286,-0.225524,2.1033542156219482,-6.125523790717125,0.54759,458.8800048828125,,,,,,,304.2,4.68,304.2,4.68,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Davis Schneider","TOR",45,196,169,37,21,9,1,7,23,22,23,0,57,2,1,0,,2,1,0.218602,0.115613,0.289014,0.400025,0.31706,0.397851,0.314588,0.714911,0.179249,4.48709,0.281966,-0.104009,-0.08954,23.6233,0.695594,106.427,-0.193549,0.69744,1.2477197349071503,-2.5025604963302612,0.545195,694.9099731445312,,,,,,,211.8,4.706666666,211.8,4.706666666,,,,,,,,,,,,,,,,,,,"Davis Schneider","23565",676914
"Victor Scott II","STL",68,294,267,61,45,10,2,5,32,27,19,0,58,4,2,2,,17,4,0.229657,0.063715,0.198596,0.320827,0.286624,0.332458,0.273968,0.619081,0.102801,6.80011,0.275034,0.078912,1.48553,25.8231,-8.5685,75.5339,1.56444,1.34616,-7.037058591842651,2.396157383918762,0.531838,392.6499938964844,,,,,,,252.1,3.707352941,252.1,3.707352941,,,,,,,,,,,,,,,,,,,"Victor Scott II","31349",687363
"Jack Suwinski","PIT",53,231,201,45,26,9,1,10,27,29,25,1,68,2,2,0,,5,1,0.225338,0.109342,0.296431,0.368862,0.315625,0.423771,0.320445,0.739396,0.198433,5.19428,0.286131,0.0396768,0.151395,28.9306,1.90866,102.761,0.191072,-1.33215,0.9538078606128693,-3.507152795791626,0.530763,644.9500122070312,,,,,,,264.5,4.990566037,264.5,4.990566037,,,,,,,,,,,,,,,,,,,"Jack Suwinski","22244",669261
"Amed Rosario","WSN",49,210,198,53,38,9,2,3,23,21,9,0,39,2,1,0,,6,1,0.265705,0.041583,0.186063,0.223489,0.300128,0.378036,0.295217,0.678164,0.112331,6.27232,0.315618,0.0423244,0.277449,22.0365,-2.52891,88.7316,0.319773,0.1135,-2.509953737258911,0.5634999871253967,0.521218,550.3900146484375,,,,,,,206.1,4.206122448,206.1,4.206122448,,,,,,,,,,,,,,,,,,,"Amed Rosario","15518",642708
"Nick Castellanos","PHI",147,637,588,150,95,30,2,22,74,84,38,2,148,6,4,0,,6,1,0.25579,0.0596113,0.232935,0.255914,0.30588,0.429124,0.316844,0.735004,0.173334,4.05858,0.303757,-1.00757,-0.423636,77.9319,3.41688,102.334,-1.43121,-9.44747,0.34703731536865234,-16.57247257232666,0.515077,175.27999877929688,,,,,,,697.8,4.746938775,697.8,4.746938775,,,,,,,,,,,,,,,,,,,"Nick Castellanos","11737",592206
"Connor Joe","SDP",53,231,201,46,29,11,1,5,26,22,25,0,54,3,1,0,,2,1,0.229394,0.108047,0.233029,0.463664,0.322457,0.373658,0.308869,0.696115,0.144264,3.83513,0.284139,0.0588311,-0.496869,26.7784,-0.243575,101.233,-0.438038,0.533031,-0.09734457731246948,-2.6419687271118164,0.511557,652.8599853515625,,,,,,,226.2,4.267924528,226.2,4.267924528,,,,,,,,,,,,,,,,,,,"Connor Joe","16572",656582
"Rafael Marchán","PHI",36,141,125,29,20,6,1,3,15,14,12,0,24,3,1,1,,1,0,0.234628,0.0830405,0.168613,0.492492,0.31044,0.350957,0.294167,0.661397,0.116329,3.32916,0.268233,-0.0582709,-0.2239,14.656,-1.8145,87.0719,-0.282171,0.877292,-2.4588721096515656,3.627292275428772,0.500575,730.5599975585938,,,,,,,135.6,3.766666666,135.6,3.766666666,,,,,,,,,,,,,,,,,,,"Rafael Marchan","21646",665561
"Brett Baty","NYM",31,133,119,28,19,5,0,5,15,16,12,0,34,1,1,0,,1,0,0.238307,0.0898415,0.25195,0.356585,0.313199,0.394748,0.31056,0.707946,0.156441,2.73879,0.291803,0.018078,-0.230448,15.5989,0.0408252,102.209,-0.21237,-0.254739,0.13890308141708374,0.2702604830265045,0.499678,563.02001953125,,,,,,,140.2,4.522580645,140.2,4.522580645,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Thomas Saggese","STL",52,224,207,50,33,10,1,6,25,26,11,0,56,3,2,1,,3,1,0.242255,0.0502225,0.247924,0.202572,0.290536,0.386351,0.294665,0.676887,0.144096,4.79964,0.300559,0,-0.244537,23.406,-2.79706,89.4639,-0.244537,-0.124728,-3.0667394399642944,0.42527175694704056,0.497588,638.4600219726562,,,,,,,209,4.019230769,209,4.019230769,,,,,,,,,,,,,,,,,,,"Thomas Saggese","27883",695336
"Jorge Mateo","BAL",31,133,123,29,18,7,1,3,16,14,7,0,33,1,1,1,,9,2,0.232815,0.0529643,0.245973,0.215326,0.278246,0.37609,0.284166,0.654335,0.143275,7.95555,0.291157,0.111529,0.852332,12.7735,-2.78455,86.3035,0.963861,1.0355,-1.1204784512519836,1.4105000495910645,0.487847,712.7899780273438,,,,,,,129.1,4.164516129,129.1,4.164516129,,,,,,,,,,,,,,,,,,,"Jorge Mateo","17273",622761
"Jarred Kelenic","ATL",42,182,164,40,24,9,1,6,22,23,16,1,51,1,1,1,,4,1,0.242233,0.0861604,0.280407,0.307269,0.310341,0.414545,0.313894,0.724886,0.172311,4.99129,0.312346,0.0821196,-0.0677014,21.8342,0.544218,99.746,0.0144182,0.137903,-0.04086151719093323,-1.3120967000722885,0.486213,476,,,,,,,204,4.857142857,204,4.857142857,,,,,,,,,,,,,,,,,,,"Jarred Kelenic","22558",672284
"Hunter Renfroe","KCR",86,371,336,80,48,19,0,13,41,45,30,0,79,2,2,0,,1,1,0.23742,0.0812447,0.211661,0.383843,0.302604,0.412531,0.311005,0.715135,0.175112,2.44181,0.269738,-0.423952,-0.663646,43.6455,0.246663,98.0894,-1.0876,-1.60426,-1.8986656069755554,-5.7792603969573975,0.484326,531.75,,,,,,,384.4,4.469767441,384.4,4.469767441,,,,,,,,,,,,,,,,,,,"Hunter Renfroe","15464",592669
"Esteury Ruiz","ATH",23,98,87,22,15,5,0,2,13,10,6,0,22,3,1,1,,9,2,0.250354,0.0660342,0.225398,0.292967,0.319131,0.386055,0.310378,0.705187,0.135701,7.16574,0.309016,0.0256157,0.682271,11.4796,0.015708,106.087,0.707887,0.555322,1.390466034412384,0.005321800708770752,0.48155,511.82000732421875,,,,,,,108,4.695652173,108,4.695652173,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
"Coby Mayo","BAL",28,119,106,25,15,6,0,4,14,15,10,0,33,2,1,0,,1,0,0.235748,0.0874394,0.280579,0.311639,0.31092,0.418596,0.316468,0.729516,0.182848,3.87885,0.29946,0.00472954,-0.234835,14.5227,0.602311,109.025,-0.230106,-0.0113902,0.9987123608589172,-0.3363902326673269,0.478098,401.2799987792969,,,,,,,126.9,4.532142857,126.9,4.532142857,,,,,,,,,,,,,,,,,,,"Coby Mayo","28312",691723
"Enrique Hernández","LAD",65,280,254,59,38,12,1,7,31,32,21,0,55,2,2,1,,1,1,0.230988,0.0743048,0.197881,0.375503,0.291845,0.373045,0.291001,0.66489,0.142056,3.33188,0.265023,0.132918,-0.497953,28.432,-4.3219,87.2288,-0.365036,0.221,-4.6411548256874084,-0.07899999618530273,0.475504,627.5800170898438,,,,,,,250.8,3.858461538,250.8,3.858461538,,,,,,,,,,,,,,,,,,,"Enrique Hernandez","10472",571771
"Liam Hicks","MIA",37,148,127,31,23,6,0,2,15,13,15,0,25,3,1,0,,1,0,0.240564,0.104334,0.169604,0.615161,0.335105,0.329226,0.300624,0.66433,0.0886611,3.06914,0.284444,-0.0234782,-0.285975,16.1527,-1.1367,89.3848,-0.309453,-0.832019,-2.1855785250663757,1.7929806113243103,0.467775,747,,,,,,,138.7,3.748648648,138.7,3.748648648,,,,,,,,,,,,,,,,,,,"Liam Hicks","sa3017400",689414
"James Outman","LAD",28,119,103,23,14,4,0,4,16,14,13,0,37,2,1,0,,3,1,0.220584,0.106459,0.314046,0.338991,0.316065,0.391131,0.311423,0.707196,0.170547,5.33293,0.297035,0.0735153,0.0334952,14.0396,0.119161,100.974,0.10701,-0.0248978,0.245627261698246,0.3001021780073643,0.465633,686.3699951171875,,,,,,,122.9,4.389285714,122.9,4.389285714,,,,,,,,,,,,,,,,,,,"James Outman","24770",681546
"Santiago Espinal","CIN",47,203,185,48,36,9,0,3,21,21,14,0,29,1,1,1,,4,1,0.261268,0.0701402,0.144113,0.486703,0.316658,0.365973,0.300213,0.682632,0.104705,3.74024,0.292782,0.0192198,-0.0207894,22.1182,-1.62835,85.2559,-0.00156965,0.494125,-3.580695772659965,1.31912499666214,0.464598,662.719970703125,,,,,,,187.9,3.99787234,187.9,3.99787234,,,,,,,,,,,,,,,,,,,"Santiago Espinal","19997",669289
"Luis Matos","SFG",55,238,218,54,35,11,1,6,26,27,14,0,31,3,2,1,,3,1,0.245837,0.0594373,0.131281,0.452748,0.299188,0.391215,0.300689,0.690403,0.145378,4.09112,0.258928,-0.061719,-0.131407,26.0229,-1.81784,94.018,-0.193126,0.710639,-1.8956038504838943,-1.539360523223877,0.463787,598.9299926757812,,,,,,,232.3,4.223636363,232.3,4.223636363,,,,,,,,,,,,,,,,,,,"Luis Matos","26467",682641
