Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jackson Chourio","MIL",130,560,517,133,90,25,2,17,67,69,33,0,124,4,4,2,,25,8,0.258016,0.0591778,0.222118,0.266425,0.305009,0.411416,0.309207,0.716425,0.1534,5.83278,0.307242,-0.0931818,0.706172,63.9688,-4.26396,92.1932,0.61299,0.325813,-4.8030495047569275,-0.7741866111755371,1.3464,129.94000244140625,,,,"sa3015704"
"Michael Conforto","SFG",121,525,455,113,74,22,0,17,61,62,56,4,119,10,4,1,,3,1,0.24799,0.106852,0.227174,0.470353,0.340304,0.407811,0.32621,0.748114,0.159821,2.92156,0.298208,0.0895043,-0.907906,67.3847,3.41647,107.57,-0.818402,-2.29673,4.105309426784515,-8.821726083755493,1.31333,422.1400146484375,,,,"16376"
"Christian Vázquez","MIN",81,321,294,72,51,14,0,6,32,32,21,1,65,2,2,2,,2,1,0.243609,0.0665121,0.202588,0.328312,0.296236,0.352704,0.284426,0.648941,0.109096,2.79008,0.292072,-1.08438,-0.742767,30.0241,-9.03918,79.4818,-1.82714,2.43511,-9.709142923355103,8.435112476348877,1.30606,502.8800048828125,,,,"9774"
"Austin Wells","NYY",79,316,282,65,39,14,1,12,36,41,27,1,80,4,2,1,,3,1,0.229534,0.0860053,0.252089,0.34117,0.303485,0.405798,0.307228,0.709284,0.176265,3.66156,0.275505,0.00902888,-0.295794,35.5775,-2.92524,96.0555,-0.286765,-2.18541,-1.7802723348140717,2.7395923137664795,1.29975,290.0400085449219,,,,"27562"
"Brice Turang","MIL",109,469,419,102,73,17,3,9,54,46,43,1,94,2,3,3,,19,4,0.243956,0.0916269,0.201112,0.455602,0.314598,0.360194,0.297331,0.674792,0.116238,5.98853,0.29319,0.155652,1.01878,48.9482,-8.19671,84.2319,1.17444,3.10997,-7.9871344566345215,4.88496720790863,1.28404,326.0799865722656,,,,"22186"
"Nick Fortes","MIA",71,282,253,61,42,11,1,8,31,31,19,0,50,6,2,1,,4,2,0.242065,0.068888,0.17931,0.384184,0.308045,0.38245,0.302604,0.690495,0.140385,3.92788,0.272039,0.131961,-0.478017,30.623,-3.68836,87.5441,-0.346056,-0.0888473,-4.691435366868973,5.411152713000774,1.28381,494.010009765625,,,,"21538"
"Jesús Sánchez","MIA",105,455,409,103,63,19,3,18,53,59,39,1,116,4,2,1,,3,1,0.252167,0.0867696,0.255488,0.339623,0.322672,0.445233,0.330387,0.767905,0.193065,4.17358,0.307806,-0.486252,-0.695871,59.9782,4.53911,106.169,-1.18212,0.620492,2.2954021692276,-4.954507946968079,1.28066,413.57000732421875,,,,"19913"
"Will Benson","CIN",110,476,401,91,52,18,5,15,64,56,65,1,146,5,3,2,,17,4,0.225811,0.136808,0.306122,0.446905,0.339238,0.412032,0.32886,0.751269,0.186221,6.92921,0.309848,-0.235323,0.671115,62.1427,4.14489,100.486,0.435792,-0.809339,0.7221926748752594,-4.109338641166687,1.27941,288.29998779296875,,,,"21853"
"Garrett Mitchell","MIL",107,462,411,101,68,20,3,11,59,49,39,0,143,6,2,3,,18,3,0.245174,0.0850737,0.308788,0.275508,0.318646,0.38479,0.308991,0.703436,0.139615,6.58362,0.346648,0.0917703,1.34041,52.6916,-3.60037,92.0488,1.43218,1.5995,-3.1186532974243164,0.1495000123977661,1.27353,382.3999938964844,,,,"27555"
"Jarren Duran","BOS",120,518,469,120,73,29,5,13,70,57,38,1,131,6,3,2,,23,5,0.256561,0.0734664,0.252643,0.290791,0.318236,0.423624,0.320013,0.74186,0.167063,7.39347,0.327545,0.0204458,1.72174,63.8201,0.704805,96.6706,1.74219,-1.48818,-0.3242661952972412,-4.638177156448364,1.25955,150.33999633789062,,,,"24617"
