Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Eury Pérez","MIA",8,8,,3.88781,28,28,0,0,142,591,124,66,61,19,48,,5,157,9.97334,3.04926,3.27074,1.21055,0.265151,0.0810675,0.18408342450857162,0.230295,1.21456,0.289539,0.731944,,,3.91695,2.57194,2.68514,76.19999694824219,,,,"27768"
"Hunter Greene","CIN",9,9,,4.26856,28,28,0,0,148,621,123,75,70,24,56,,10,184,11.2189,3.4005,3.29918,1.4815,0.296529,0.0898798,0.2066495195031166,0.221788,1.21146,0.28499,0.717623,,,4.23727,2.55706,2.60712,136.3300018310547,,,,"22182"
"Reid Detmers","LAA",9,9,,4.25877,31,31,0,0,169,723,154,86,80,24,63,,10,179,9.5277,3.3628,2.83326,1.29067,0.248168,0.0875909,0.16057715564966202,0.237742,1.28456,0.291885,0.716871,,,4.30488,2.50828,2.5273,229.55999755859375,,,,"27468"
"Cole Ragans","KCR",10,10,,3.99488,29,29,0,0,165,705,151,79,73,19,68,,5,170,9.28123,3.69555,2.51146,1.06132,0.241025,0.0959702,0.1450551301240921,0.238548,1.32557,0.296698,0.728934,,,4.05486,2.48529,3.11759,94.83000183105469,,,,"21846"
"José Berríos","TOR",11,10,,4.10484,31,31,0,0,177,750,171,87,81,25,48,,10,166,8.45959,2.462,3.43607,1.27223,0.22198,0.0646029,0.1573769971728325,0.247597,1.24056,0.292342,0.718516,,,4.1993,2.43889,2.45795,164.02999877929688,,,,"14168"
"Michael King","SDP",10,8,,3.67096,41,24,0,1,156,657,133,69,64,21,59,,8,184,10.615,3.37965,3.14086,1.20788,0.279765,0.0890727,0.1906922161579132,0.224588,1.22656,0.289549,0.754615,,,3.92038,2.4047,2.51196,134.8000030517578,,,,"19853"
"Patrick Sandoval","LAA",10,10,,4.089,29,29,0,0,162,698,155,80,73,20,68,,6,155,8.6417,3.76009,2.29827,1.09114,0.22238,0.0967601,0.1256203129887581,0.247824,1.37526,0.300578,0.732874,,,4.2735,2.39485,2.66805,428.1600036621094,,,,"19447"
"Merrill Kelly","ARI",11,11,,4.07098,31,31,0,0,184,778,178,90,83,24,61,,5,166,8.13933,2.96916,2.74129,1.18631,0.213578,0.0779114,0.13566651940345764,0.24973,1.29863,0.294386,0.725623,,,4.22576,2.37249,3.05194,144.66000366210938,,,,"11156"
"Ranger Suárez","PHI",9,8,,4.03012,28,28,0,0,152,653,150,74,68,17,56,,5,131,7.73048,3.29749,2.34436,1.02647,0.200278,0.0854301,0.11484836041927338,0.253407,1.35219,0.298831,0.725561,,,4.21552,2.3485,2.61935,344.4200134277344,,,,"17277"
"Triston McKenzie","CLE",9,9,,3.981,26,26,0,0,155,645,140,73,68,23,47,,5,155,8.99789,2.74983,3.27216,1.33773,0.239875,0.0733079,0.16656719148159027,0.236992,1.21374,0.283019,0.735463,,,4.19482,2.34478,2.43169,219.8000030517578,,,,"18000"
"Walker Buehler","LAD",9,6,,3.94289,23,23,0,0,135,561,126,64,59,19,36,,5,129,8.60834,2.42156,3.55488,1.23989,0.230765,0.0649152,0.16585014760494232,0.24201,1.19863,0.288265,0.722558,,,4.04445,2.33871,2.22802,192.5,,,,"19374"
"Kodai Senga","NYM",9,7,,3.68738,23,23,0,0,130,552,109,58,53,15,58,,4,152,10.5028,4.02677,2.60825,1.04449,0.274837,0.105372,0.16946478933095932,0.222407,1.28492,0.290603,0.750157,,,3.87117,2.33395,2.31629,154.30999755859375,,,,"31838"
"Jon Gray","TEX",9,10,,4.31196,29,29,0,0,160,681,152,82,76,22,53,,8,156,8.80696,3.00548,2.9303,1.2499,0.229366,0.0782739,0.1510923206806183,0.246032,1.28894,0.29525,0.706192,,,4.25756,2.29575,2.20642,311.9700012207031,,,,"14916"
"Hunter Brown","HOU",12,9,,3.91084,34,26,0,1,153,651,139,72,66,17,58,,6,160,9.38546,3.43536,2.73201,1.02068,0.244935,0.0896536,0.15528111904859543,0.236159,1.28775,0.295722,0.7222,,,3.90671,2.29276,2.36572,169.0800018310547,,,,"25880"
"Nathan Eovaldi","TEX",10,9,,4.17771,29,29,0,0,170,721,168,85,79,24,49,,7,154,8.15733,2.60427,3.13228,1.27063,0.213831,0.0682669,0.14556444436311722,0.251839,1.27412,0.294678,0.717389,,,4.26306,2.28049,2.55598,201.8300018310547,,,,"9132"
"MacKenzie Gore","WSN",9,9,,4.22582,28,28,0,0,145,625,133,73,68,20,61,,5,156,9.71449,3.81458,2.54668,1.25586,0.249981,0.0981598,0.15182138979434967,0.237896,1.34275,0.294801,0.730849,,,4.27602,2.2236,2.28833,276.9700012207031,,,,"22201"
"Brandon Pfaadt","ARI",9,9,,4.18288,28,28,0,0,151,635,147,75,70,21,39,,7,142,8.47391,2.31432,3.66151,1.28425,0.223502,0.0610409,0.16246090084314346,0.249395,1.232,0.294608,0.711201,,,4.13848,2.19977,2.3865,197.69000244140625,,,,"27782"
"Brady Singer","KCR",9,11,,4.4375,29,29,0,0,167,726,173,89,83,20,51,,10,145,7.80977,2.75273,2.8371,1.09271,0.200288,0.0705958,0.12969192117452621,0.261082,1.34113,0.307061,0.689004,,,4.19959,2.19757,2.25773,434.04998779296875,,,,"25377"
"Graham Ashcraft","CIN",8,10,,4.79331,28,28,0,0,156,681,163,90,83,21,54,,10,126,7.3006,3.13946,2.32543,1.21298,0.185593,0.07981,0.1057828888297081,0.264181,1.39506,0.302374,0.678512,,,4.61615,2.19017,1.69845,400.8399963378906,,,,"27552"
"Nestor Cortes","NYY",9,7,,4.01547,30,24,0,1,141,587,128,68,63,22,41,,4,141,9.00242,2.62045,3.43546,1.37113,0.240658,0.0700513,0.17060671746730804,0.235386,1.19441,0.279697,0.727659,,,4.19226,2.18565,1.93305,241.75,,,,"17874"
"Edwin Díaz","NYM",4,2,,2.69819,64,0,35,1,64,259,43,21,19,5,22,,5,98,13.8376,3.0933,4.47342,0.759773,0.379876,0.0849186,0.29495785385370255,0.184381,1.01354,0.291111,0.771815,,,2.52091,2.18085,1.9548,43.90999984741211,,,,"14710"
"Justin Verlander","HOU",11,8,,4.0352,26,26,0,0,154,644,146,74,69,22,44,,5,135,7.87713,2.57975,3.05345,1.29009,0.209308,0.068548,0.14076006412506104,0.246062,1.2369,0.283797,0.72914,,,4.32708,2.17952,2.43171,147.3800048828125,,,,"8700"
"Alex Cobb","SFG",7,6,,3.75126,23,23,0,0,122,525,125,56,51,11,37,,4,109,8.02822,2.72204,2.94934,0.78548,0.20734,0.0703006,0.137039452791214,0.259302,1.33092,0.315097,0.723487,,,3.61337,2.15849,2.04378,464.6700134277344,,,,"6562"
"Sean Manaea","NYM",9,10,,4.3189,26,26,0,0,158,675,152,82,76,24,50,,7,160,9.11321,2.87188,3.17326,1.33929,0.237412,0.0748164,0.16259537637233734,0.245852,1.27847,0.295734,0.709239,,,4.25288,2.15808,1.58788,317.05999755859375,,,,"15873"
