team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,190,10.220969035314862,7777,6889,1721,257,980,947,196,0.2498185513136885,1315,81,2,1225,591.3713722222222,1689.71329,4.047408631178707,1.284953072243346,7,10,10,9,2,9,2,7,2,2,38,22,60,5,17
BIG RED MACHINE,23,151,9.70415857488117,7378,6547,1627,261,919,913,114,0.24851076829082022,1195,72,59,1158,509.2650988888889,1509.16023,3.835469364016736,1.2628955899581589,9,4,6,2,1,4,9,4,8,4,22,29,51,6,17
FREE BIRDS,23,188,9.284694038919529,7610,6746,1731,227,915,892,130,0.2565965016305959,1238,76,27,1239,552.3492333333334,1561.31576,4.015462924071082,1.2611597415185782,1,3,3,3,6,5,4,8,4,5,16,26,42,7,17
FREE AT LAST,22,151,8.154761081473499,7970,7036,1761,249,976,937,132,0.25028425241614555,1066,58,16,894,497.6815233333333,1408.1931299999999,4.201813986866791,1.321006688555347,5,9,9,4,3,2,3,2,1,1,30,9,39,8,17
ERIE LAKERS,23,168,7.963757592061118,7242,6435,1668,238,909,888,113,0.2592074592074592,938,57,52,892,419.7075988888889,1191.5160899999998,4.027045191897655,1.2702730170575691,4,2,2,1,9,1,8,1,3,3,18,16,34,9,17
WESTSIDE MARAUDERS,23,213,11.194572713454253,7491,6680,1723,258,953,931,165,0.25793413173652696,1283,80,51,1295,542.7486622222222,1548.542402,3.8072782229150426,1.2069699158222915,9,6,6,6,8,9,7,9,7,9,35,41,76,1,18
MELONHEADS,23,242,11.014077483593192,7500,6662,1668,254,961,924,212,0.2503752626838787,1415,88,0,1354,598.2220766666667,1705.2069100000003,3.8049460706713782,1.2050932226148412,7,8,5,10,2,10,1,10,8,10,32,39,71,2,18
HOOSIERS,23,190,10.277443043213045,7701,6812,1703,255,977,938,199,0.25,1196,74,32,1153,522.1974555555555,1501.33513,3.9295795150501664,1.255296931438127,8,10,8,9,1,6,5,6,6,6,36,29,65,3,18
BLUE SOCKS,23,194,10.364192227321999,7939,7155,1836,247,967,955,175,0.25660377358490566,1141,71,56,1127,505.34045444444445,1448.1361499999998,3.9860333829973706,1.269181551270815,5,9,10,8,7,5,8,4,4,4,39,25,64,4,18
NATIONAL PASTIME,23,190,10.310884963198912,7328,6565,1659,251,892,900,134,0.2527037319116527,1195,77,84,1194,496.53643999999997,1454.5239000000001,3.7396049874476986,1.2171748117154813,6,2,3,3,6,7,10,7,10,8,20,42,62,5,18
