team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,234,10.318455810393546,7923,7048,1773,257,1007,969,229,0.25156072644721905,1147,70,10,1083,488.8724411111112,1413.60599,3.8359651002615522,1.2324376547515257,8,10,10,10,4,5,1,4,7,7,42,24,66,3,19
NATIONAL PASTIME,23,248,10.481931778803137,7590,6852,1759,252,927,927,138,0.256713368359603,1253,78,52,1186,548.1721744444444,1563.85777,3.93738992019154,1.248090798084597,6,5,8,5,7,9,6,8,4,5,31,32,63,4,19
MELONHEADS,23,230,9.8239911669887,7237,6418,1612,247,913,895,174,0.2511685883452789,1155,71,57,1168,498.7611511111112,1393.89869,3.8864505281385284,1.2068386926406927,5,3,3,8,3,6,8,6,5,9,22,34,56,5,19
BIG RED MACHINE,23,210,9.759453535795954,7448,6591,1639,265,937,917,126,0.24867243210438478,1112,68,86,1076,477.75308777777786,1385.84064,3.866706645683454,1.2462595683453237,9,6,5,2,1,4,10,3,6,6,23,29,52,6,19
BLUE SOCKS,19,265,9.885711203232416,7435,6704,1722,224,899,885,183,0.2568615751789976,875,57,29,921,352.1948677777778,1023.6859099999999,3.622575782857143,1.1699267542857141,2,2,2,9,8,2,5,1,10,10,23,28,51,7,19
FREE BIRDS,23,247,9.096558735531891,7235,6408,1641,220,884,866,133,0.25608614232209737,1275,80,19,1288,560.8396855555557,1607.57893,3.9588683686274515,1.2608462196078432,1,1,1,4,6,10,4,10,3,4,13,31,44,8,19
FREE AT LAST,23,245,8.431967552457163,7830,6929,1727,245,942,925,129,0.2492423149083562,1187,72,14,1087,538.4116266666667,1529.31874,4.082312249368155,1.2883898399326033,3,7,7,3,2,7,2,5,2,2,22,18,40,9,19
ERIE LAKERS,23,196,8.321191568627661,7321,6494,1690,246,917,908,114,0.26024022174314754,1191,66,16,1003,562.20035,1566.5159400000002,4.2483653652392945,1.3152946599496222,4,4,4,1,9,3,3,2,1,1,22,10,32,10,19
WESTSIDE MARAUDERS,23,270,11.253479841154634,7554,6743,1738,261,976,941,180,0.25774877650897227,1365,84,32,1318,594.59732,1686.632276,3.92042189010989,1.235628041025641,9,7,8,8,8,10,6,10,6,8,40,40,80,1,20
BLUE SOCKS,23,260,10.467028236428908,8065,7270,1862,243,980,953,184,0.256121045392022,1232,77,29,1210,537.7946444444445,1523.3024699999999,3.928694642857143,1.2364468100649348,4,8,10,9,7,8,5,8,5,7,38,33,71,2,20
