billikenTeam,Position,Player,Contract,Salary
MELONHEADS,P,Shota Imanaga,2027,18
MELONHEADS,P,Zack Littell,2,2
MELONHEADS,P,Jacob Misiorowski,2,1
MELONHEADS,P,Paul Skenes,2028,17
MELONHEADS,P,Tanner Scott,2026,6
MELONHEADS,P,Kodai Senga,NA,9
MELONHEADS,P,Merrill Kelly,NA,10
MELONHEADS,P,NA,NA,NA
MELONHEADS,P,NA,NA,NA
NATIONAL PASTIME,C,Tyler Stephenson,2,12
NATIONAL PASTIME,C,NA,NA,NA
NATIONAL PASTIME,1B,Alec Burleson,2028,11
NATIONAL PASTIME,2B,Brice Turang,2029,22
NATIONAL PASTIME,3B,Mark Vientos,2026,1
NATIONAL PASTIME,SS,Francisco Lindor,2,33
NATIONAL PASTIME,OF,Michael Harris II,2028,21
NATIONAL PASTIME,OF,Sal Frelick,NA,14
NATIONAL PASTIME,OF,Heliot Ramos,NA,13
NATIONAL PASTIME,OF,NA,NA,NA
NATIONAL PASTIME,OF,NA,NA,NA
NATIONAL PASTIME,MI,Willy Adames,2026,27
NATIONAL PASTIME,CI,Nolan Gorman,2,6
NATIONAL PASTIME,Util,Ivan Herrera,2028,12
NATIONAL PASTIME,P,Matthew Boyd,2,7
NATIONAL PASTIME,P,Nick Pivetta,2,13
NATIONAL PASTIME,P,Freddy Peralta,2026,24
NATIONAL PASTIME,P,Matthew Liberatore,2,1
NATIONAL PASTIME,P,Dennis Santana,2,3
NATIONAL PASTIME,P,Spencer Schwellenbach,2028,11
NATIONAL PASTIME,P,Raisel Iglesias,NA,15
NATIONAL PASTIME,P,Sandy Alcantara,NA,12
NATIONAL PASTIME,P,NA,NA,NA
WESTSIDE MARAUDERS,C,Francisco Alvarez,2027,11
WESTSIDE MARAUDERS,C,Will Smith,2,15
WESTSIDE MARAUDERS,1B,Sal Stewart,2,1
WESTSIDE MARAUDERS,2B,Luis Garcia Jr.,NA,14
WESTSIDE MARAUDERS,3B,Jordan Lawlar,2,2
WESTSIDE MARAUDERS,SS,Masyn Winn,2026,11
WESTSIDE MARAUDERS,OF,Ronald Acuna Jr.,2026,46
WESTSIDE MARAUDERS,OF,Oneil Cruz,2026,22
WESTSIDE MARAUDERS,OF,Brenton Doyle,2,10
WESTSIDE MARAUDERS,OF,Andy Pages,2,3
WESTSIDE MARAUDERS,OF,NA,NA,NA
WESTSIDE MARAUDERS,MI,Konnor Griffin,NA,13
