Name,Team,player_type,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Dustin May,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,156,9,0,141,4.17182,1.28522,0,0,0,0,0,0,0.22076920319386284,0,0.38910183970595486,0.055671098516904376,0.04749399565071251,0.7130361370674346,0.7130361370674346,0,0,0,0,0,0,0,0,0,1,0
Emilio Pagan,CIN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,66,3,27,71,4.04725,1.19291,0,0,0,0,0,0,0.07358973439795427,0.376727527022255,0.19593071361079997,0.027222899112658943,0.03568780363183617,0.7091586777755043,0.7091586777755043,0,0,0,0,0,0,0,0,0,0,1
Ke'Bryan Hayes,CIN,hitter,532,488,119,10,55,53,11,0.244226,NA,NA,NA,NA,NA,NA,0.18908956758500492,0.12023650448508119,0.2984025739745457,0.0907559244461442,0.00782098026321452,0.7063055507539906,0,0,0,0,0,0,0.7063055507539906,0,0,0,1,0,0,1,0,1,0,0
Dennis Santana,PIT,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,68,4,26,63,3.72228,1.24685,0,0,0,0,0,0,0.09811964586393904,0.3627746556510604,0.17385401348563942,0.03791131892138968,0.02738088665601452,0.7000405205780431,0.7000405205780431,0,0,0,0,0,0,0,0,0,0,1
Abner Uribe,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,72,4,19,87,3.11357,1.20588,0,0,0,0,0,0,0.09811964586393904,0.26510455605269795,0.24008411386112108,0.059703748583864125,0.036541903363045025,0.6995539677246672,0.6995539677246672,0,0,0,0,0,0,0,0,0,0,1
Sean Manaea,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,136,8,0,140,4.1957700000000004,1.22879,0,0,0,0,0,0,0.19623929172787807,0,0.3863422521903098,0.04707991827389934,0.061048532014561736,0.6907099942066489,0.6907099942066489,0,0,0,0,0,0,0,0,0,1,0
Bryce Eldridge,SFG,hitter,448,402,94,18,45,58,1,0.234607,NA,NA,NA,NA,NA,NA,0.1547096462059131,0.21642570807314615,0.3265537601985595,0.00825053858601311,-0.022172728485970877,0.683766924577661,0,0,0,0,0,0,0.683766924577661,0,1,0,0,0,0,1,0,1,0,0
Braxton Ashcraft,PIT,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,149,8,0,132,3.83723,1.28306,0,0,0,0,0,0,0.19623929172787807,0,0.36426555206514927,0.07542546229752185,0.04618663275848627,0.6821169388490355,0.6821169388490355,0,0,0,0,0,0,0,0,0,1,1
Clay Holmes,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,153,10,0,125,3.89297,1.36842,0,0,0,0,0,0,0.2452991146598476,0,0.34494843945563375,0.07364371314618294,0.013998112783327023,0.6778893800449913,0.6778893800449913,0,0,0,0,0,0,0,0,0,1,1
Zack Littell,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,171,9,0,130,4.61569,1.26986,0,0,0,0,0,0,0.22076920319386284,0,0.3587463770338591,0.027145130977775687,0.05878363857165834,0.6654443497771559,0.6654443497771559,0,0,0,0,0,0,0,0,0,1,0
