Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,keepingTeam,pick
Zac Veen,COL,Hoosiers,2,1,1.2,3.3,-2.0999999999999996,-1.2,-2.2,119,3,14,13,4,0.25,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,465
Jose Quintana,COL,Free Birds,2,1,-0.5,1.6,-2.1,-1.2,-2.2,NA,NA,NA,NA,NA,NA,144,8,0,102,4.86,1.49,0,0,0,0,0,0,0,0,NA,466
Jose Quintana,COL,Free Birds,2,1,-0.5,1.6,-2.1,-1.2,-2.2,NA,NA,NA,NA,NA,NA,144,8,0,102,4.86,1.49,0,0,0,0,1,0,0,1,NA,467
Michael Lorenzen,COL,NA,NA,NA,-0.5,1.6,-2.1,-1.2,NA,NA,NA,NA,NA,NA,NA,143,7,0,114,5.08,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,468
Luis Peralta,COL,NA,NA,NA,-0.5,1.6,-2.1,-1.2,NA,NA,NA,NA,NA,NA,NA,34,1,0,32,5.4,1.62,0,0,0,0,0,0,0,0,NA,469
Luis Peralta,COL,NA,NA,NA,-0.5,1.6,-2.1,-1.2,NA,NA,NA,NA,NA,NA,NA,34,1,0,32,5.4,1.62,0,0,0,0,0,0,0,0,NA,470
Alex Call,LAD,Free At Last,2,1,1.1,3.3,-2.1999999999999997,-1.5,-2.5,140,4,17,16,2,0.24,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,471
Jett Williams,MIL,Hoosiers,2,1,1.1,3.3,-2.1999999999999997,-1.5,-2.5,147,3,18,16,5,0.222,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,472
Esteury Ruiz,MIA,NA,NA,NA,1.1,3.3,-2.1999999999999997,-1.5,NA,77,2,10,8,7,0.246,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,473
Santiago Espinal,CIN,NA,NA,NA,1.1,3.3,-2.1999999999999997,-1.5,NA,196,2,18,17,2,0.25,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,NA,474
Jorge Mateo,ATL,NA,NA,NA,1.1,3.3,-2.1999999999999997,-1.5,NA,105,2,12,10,8,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475
Tomoyuki Sugano,COL,NA,NA,NA,-0.6,1.6,-2.2,-1.5,NA,NA,NA,NA,NA,NA,NA,116,6,0,74,5.17,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,476
Bryan Torres,STL,NA,NA,NA,1,3.3,-2.3,-1.8,NA,112,1,12,10,4,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477
Nick Yorke,PIT,NA,NA,NA,1,3.3,-2.3,-1.8,NA,119,2,13,11,3,0.254,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,478
Tim Tawa,ARI,NA,NA,NA,1,3.3,-2.3,-1.8,NA,161,4,18,17,3,0.223,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,1,1,NA,479
Jorge Barrosa,ARI,NA,NA,NA,1,3.3,-2.3,-1.8,NA,182,3,20,17,3,0.227,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,480
Luis Matos,SFG,NA,NA,NA,0.9,3.3,-2.4,-2.1,NA,84,3,10,10,2,0.249,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,481
Nathaniel Lowe,CIN,NA,NA,NA,0.9,3.3,-2.4,-2.1,NA,105,3,12,13,0,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482
Jerar Encarnacion,SFG,Hoosiers,2,1,0.9,3.3,-2.4,-2.1,-3.1,112,4,12,15,1,0.237,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,483
Ryan Feltner,COL,NA,NA,NA,-0.8,1.6,-2.4000000000000004,-2.1,NA,NA,NA,NA,NA,NA,NA,97,4,0,80,5.16,1.49,0,0,0,0,0,0,0,0,NA,484
Chase Dollander,COL,NA,NA,NA,-0.8,1.6,-2.4000000000000004,-2.1,NA,NA,NA,NA,NA,NA,NA,114,5,0,98,5.27,1.49,0,0,0,0,0,0,0,0,NA,485
Alex Freeland,LAD,NA,NA,NA,0.8,3.3,-2.5,-2.4,NA,91,3,11,10,2,0.226,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,NA,486
Chas McCormick,CHC,NA,NA,NA,0.8,3.3,-2.5,-2.4,NA,105,3,12,11,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487
Deyvison De Los Santos,MIA,NA,NA,NA,0.8,3.3,-2.5,-2.4,NA,112,4,12,13,1,0.233,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,NA,488
Eli White,ATL,Free At Last,2,1,0.7,3.3,-2.5999999999999996,-2.7,-3.7,70,2,9,8,3,0.237,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,489
Joey Wiemer,WSN,NA,NA,NA,0.7,3.3,-2.5999999999999996,-2.7,NA,119,3,12,12,3,0.208,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,490
Ildemaro Vargas,ARI,NA,NA,NA,0.6,3.3,-2.6999999999999997,-3,NA,98,1,9,10,1,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491
Will Wagner,SDP,NA,NA,NA,0.6,3.3,-2.6999999999999997,-3,NA,84,1,9,8,1,0.253,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,1,1,NA,492
Adael Amador,COL,NA,NA,NA,0.6,3.3,-2.6999999999999997,-3,NA,63,1,7,7,2,0.25,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,493
T.J. Rumfield,COL,NA,NA,NA,0.6,3.3,-2.6999999999999997,-3,NA,63,2,7,7,0,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494
Maximo Acosta,MIA,NA,NA,NA,0.5,3.3,-2.8,-3.3,NA,70,2,7,7,3,0.224,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,NA,495
Kris Bryant,COL,National Pastime,2,3,0.5,3.3,-2.8,-3.3,-6.3,91,2,10,9,0,0.238,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,496
Endy Rodriguez,PIT,Hoosiers,2,5,0.4,3.3,-2.9,-3.6,-8.6,54,1,6,6,0,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,497
Endy Rodriguez,PIT,Blue Socks,2,1,0.4,3.3,-2.9,-3.6,-4.6,54,1,6,6,0,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,498
Christian Koss,SFG,NA,NA,NA,0.4,3.3,-2.9,-3.6,NA,49,1,6,5,1,0.249,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,NA,499
Dylan Moore,PHI,NA,NA,NA,0.4,3.3,-2.9,-3.6,NA,42,1,5,5,2,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500
Tirso Ornelas,SDP,NA,NA,NA,0.4,3.3,-2.9,-3.6,NA,56,1,6,6,1,0.24,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,501
Orelvis Martinez,WSN,NA,NA,NA,0.4,3.3,-2.9,-3.6,NA,98,3,10,11,0,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502
Antonio Senzatela,COL,NA,NA,NA,-1.3,1.6,-2.9000000000000004,-3.6,NA,NA,NA,NA,NA,NA,NA,85,4,0,51,5.47,1.57,0,0,0,0,0,0,0,0,NA,503
Aidan Miller,PHI,Blue Socks,2,1,0.3,3.3,-3,-3.9,-4.9,42,1,5,4,2,0.224,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,504
Brett Wisely,ATL,NA,NA,NA,0.3,3.3,-3,-3.9,NA,42,1,5,4,1,0.236,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,505
Rafael Flores Jr.,PIT,NA,NA,NA,0.3,3.3,-3,-3.9,NA,53,1,5,5,0,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506
Brandon Lockridge,MIL,NA,NA,NA,0.3,3.3,-3,-3.9,NA,42,0,5,4,2,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,507
Tommy Troy,ARI,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,3,1,0.239,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,508
Jack Suwinski,PIT,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,4,1,0.22,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,509
Tyler Fitzgerald,SFG,National Pastime,Opt,1,0.3,3.3,-3,-3.9,-4.9,28,1,3,3,1,0.233,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,510
Vidal Brujan,NYM,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,3,1,0.227,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,NA,511
Tyler Callihan,CIN,NA,NA,NA,0.3,3.3,-3,-3.9,NA,49,1,5,5,1,0.227,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,512
Gabriel Rincones Jr.,PHI,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,4,1,0.216,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,513
Kevin Alcantara,CHC,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,4,1,0.231,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,514
Bryan Ramos,STL,NA,NA,NA,0.3,3.3,-3,-3.9,NA,35,1,4,4,1,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515
Blake Dunn,CIN,NA,NA,NA,0.3,3.3,-3,-3.9,NA,28,1,3,3,1,0.232,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,516
Grant McCray,SFG,NA,NA,NA,0.3,3.3,-3,-3.9,NA,28,1,3,3,1,0.223,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,517
Sterlin Thompson,COL,NA,NA,NA,0.3,3.3,-3,-3.9,NA,28,1,3,3,0,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518
MJ Melendez,NYM,NA,NA,NA,0.3,3.3,-3,-3.9,NA,42,1,5,5,1,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519
Yohandy Morales,WSN,NA,NA,NA,0.3,3.3,-3,-3.9,NA,56,1,6,6,0,0.236,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,NA,520
Jose Miranda,SDP,NA,NA,NA,0.3,3.3,-3,-3.9,NA,56,1,5,6,0,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521
Jesus Rodriguez,SFG,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,26,0,3,2,1,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522
Jonah Heim,ATL,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,45,1,4,5,0,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523
Mason McCoy,SDP,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,49,1,5,4,1,0.203,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,524
Cesar Prieto,STL,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,28,0,3,3,0,0.256,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,NA,525
Kyle Farmer,ATL,Free At Last,2,1,0.2,3.3,-3.0999999999999996,-4.2,-5.2,28,1,3,3,0,0.233,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,NA,526
A.J. Vukovich,ARI,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,28,1,3,3,0,0.236,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,527
Ryan Clifford,NYM,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,14,1,2,2,0,0.21,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,528
Pedro Leon,PHI,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,21,1,2,3,1,0.217,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,529
Blaze Jordan,STL,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,21,1,2,2,0,0.246,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,NA,530
Rece Hinds,CIN,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,14,1,2,2,0,0.233,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,531
Matt Mervis,WSN,NA,NA,NA,0.2,3.3,-3.0999999999999996,-4.2,NA,35,1,4,4,0,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532
Brock Wilken,MIL,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,42,1,4,5,0,0.191,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,533
Enmanuel Valdez,PIT,Louisville Sluggers,2,1,0.1,3.3,-3.1999999999999997,-4.5,-5.5,14,0,2,2,0,0.239,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,NA,534
Dylan Carlson,CHC,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,21,0,2,2,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535
Samad Taylor,SDP,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,14,0,2,1,1,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536
Matt Koperniak,STL,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,21,0,2,2,0,0.239,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,537
Akil Baddoo,MIL,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,14,0,2,2,0,0.224,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,538
Jonathon Long,CHC,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.246,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,539
Dominic Fletcher,PIT,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,540
Vimael Machin,COL,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541
Christian Franklin,WSN,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,14,0,2,1,0,0.233,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,542
James Triantos,CHC,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.239,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,543
Nicky Lopez,COL,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544
Christian Encarnacion-Strand,CIN,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.243,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,545
Hector Rodriguez,CIN,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.248,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,546
Kemp Alderman,MIA,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,547
Nick Morabito,NYM,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,7,0,1,1,0,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548
Justin Dean,CHC,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,14,0,2,1,1,0.208,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,549
Jared Serna,MIA,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,35,0,4,3,1,0.218,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,550
Garrett Hampson,CIN,NA,NA,NA,0.1,3.3,-3.1999999999999997,-4.5,NA,28,0,3,2,1,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551
Reese McGuire,MIL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,13,0,1,1,0,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
Eric Haase,SFG,NA,NA,NA,0,3.3,-3.3,-4.8,NA,13,0,1,1,0,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553
Jared Young,NYM,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.237,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,NA,554
Nacho Alvarez Jr.,ATL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.238,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,NA,555
Ryan Ward,LAD,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556
Blake Hunt,SDP,NA,NA,NA,0,3.3,-3.3,-4.8,NA,6,0,1,1,0,0.212,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,557
Austin Barnes,NYM,NA,NA,NA,-0,3.3,-3.3,-4.8,NA,13,0,1,1,0,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558
Brett Sullivan,COL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,13,0,1,1,0,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559
Steward Berroa,MIL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.208,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,560
Tyler Black,MIL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.221,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,561
Chadwick Tromp,ATL,NA,NA,NA,0,3.3,-3.3,-4.8,NA,6,0,1,1,0,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562
Edwin Arroyo,CIN,NA,NA,NA,0,3.3,-3.3,-4.8,NA,14,0,1,1,0,0.252,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,563
Grae Kessinger,NYM,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564
Sergio Alcantara,WSN,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565
Billy Cook,PIT,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.225,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,566
Davis Wendzel,PIT,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.208,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,567
Trey Lipscomb,WSN,NA,NA,NA,0,3.3,-3.3,-4.8,NA,14,0,1,1,0,0.236,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,568
Michael Siani,LAD,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.197,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,569
Ben Cowles,CHC,NA,NA,NA,0,3.3,-3.3,-4.8,NA,7,0,1,1,0,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570
Will Banfield,CIN,NA,NA,NA,0,3.3,-3.3,-4.8,NA,6,0,1,1,0,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571
Kristian Robinson,ARI,NA,NA,NA,0,3.3,-3.3,-4.8,NA,14,0,1,1,0,0.211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,572
Ethan Murray,MIL,NA,NA,NA,-0,3.3,-3.3,-4.8,NA,14,0,1,1,0,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573
