season,team_name,abbrev,final_standing,points_for,R,R_pts,R_frac,HR,HR_pts,HR_frac,RBI,RBI_pts,RBI_frac,SB,SB_pts,SB_frac,AVG,AVG_pts,AVG_frac,W,W_pts,W_frac,SV,SV_pts,SV_frac,SO,SO_pts,SO_frac,ERA,ERA_pts,ERA_frac,WHIP,WHIP_pts,WHIP_frac
2022,Hoosiers,HOOS,1,75,1000,1,1,271,1,1,929,0.875,0.9946466809421841,128,1,1,0.24568486,0.375,0.9564637732886223,85,0.75,0.9042553191489362,60,0.5,0.631578947368421,1357,0.875,0.9630943931866572,3.40391677,0.875,0.9901063973429645,1.18017136,0.625,0.9736669935796444
2022,Big Red Machine,BIGR,2,65.5,926,0.75,0.926,227,0.75,0.8376383763837638,934,1,1,126,0.8125,0.984375,0.25666806,0.875,0.9992219347593111,74,0.25,0.7872340425531915,29,0.25,0.30526315789473685,1209,0.625,0.85805535841022,3.65485997,0.5,0.9221255527335566,1.1490939,1,1
2022,Westside Marauders,WM,3,61,958,0.875,0.958,261,0.875,0.9630996309963099,845,0.75,0.9047109207708779,115,0.625,0.8984375,0.24276693,0.25,0.9451041219939024,94,1,1,32,0.375,0.3368421052631579,1409,1,1,3.95655376,0.25,0.8518119490937993,1.24447717,0.125,0.9233547450291917
2022,Free Birds,FREE,4,54.5,881,0.625,0.881,222,0.5,0.8191881918819188,815,0.25,0.8725910064239829,126,0.8125,0.984375,0.23657644,0,0.921004226607978,79,0.5,0.8404255319148937,67,0.75,0.7052631578947368,1182,0.375,0.8388928317955997,3.42431327,0.75,0.9842089506022328,1.15458796,0.875,0.9952415405405752
2022,Bula Black Sox,BULA,5,50.5,837,0.25,0.837,226,0.625,0.8339483394833949,836,0.5,0.8950749464668094,85,0.3125,0.6640625,0.25071315,0.75,0.9760391644079182,89,0.875,0.9468085106382979,3,0,0.031578947368421054,1294,0.75,0.9183818310858765,3.85615738,0.375,0.8739891653488479,1.22636689,0.375,0.9369903161687609
2022,Louisville Sluggers,LVSL,6,44,843,0.375,0.843,219,0.375,0.8081180811808119,761,0,0.8147751605995718,63,0.125,0.4921875,0.23927906,0.125,0.9315256650188157,77,0.375,0.8191489361702128,95,1,1,1200,0.5,0.8516678495386799,3.51968504,0.625,0.9575401581955185,1.18635171,0.5,0.9685946337111108
2022,Erie Lakers,ERIE,7,42,855,0.5,0.855,213,0.125,0.7859778597785978,830,0.375,0.8886509635974305,112,0.5,0.875,0.25686792,1,1,60,0,0.6382978723404256,73,0.875,0.7684210526315789,1104,0.25,0.7835344215755855,4.27855888,0.125,0.7877044267765224,1.33831283,0,0.8586138264847988
2022,Melonheads,MELO,8,31.5,822,0.125,0.822,215,0.25,0.7933579335793358,842,0.625,0.9014989293361885,85,0.3125,0.6640625,0.25011798,0.625,0.9737221370422589,62,0.125,0.6595744680851063,65,0.625,0.6842105263157895,1037,0,0.7359829666430092,3.37023977,1,1,1.17313117,0.75,0.9795101599763989
2022,National Pastime,PAST,9,26,814,0,0.814,205,0,0.7564575645756457,787,0.125,0.8426124197002142,53,0,0.4140625,0.24843389,0.5,0.9671658882121207,81,0.625,0.8617021276595744,13,0.125,0.1368421052631579,1060,0.125,0.752306600425834,4.32609309,0,0.7790492945680002,1.23469676,0.25,0.9306689198730869
2023,Westside Marauders,WM,1,76,1059,1,1,314,1,1,1044,1,1,195,1,1,0.26174307,0.75,0.9734294151269246,81,0.75,0.8901098901098901,69,0.75,0.7840909090909091,1231,0.75,0.938977879481312,4.13749672,0.625,0.9094961916972832,1.27919181,0.625,0.9317280494470959
