Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value
Dennis Santana,PIT,pitcher,7.455448608671615,NA,NA,NA,NA,NA,NA,NA,NA,68,4,26,63,3.72076,1.24652,0,0,0,0,0,0,0.09811964586393904,0.3627746556510604,0.17385401348563942,0.03795745393347515,0.0274383238202403,0.7001440927543543,0.7001440927543543,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.04415384063877256,0.32649719008595435,-0.06705797663017521,0.018842387597854202,0.01736338294349327,0,0.25149114335835404,0.25149114335835404,0.25149114335835404,0,0,0,0,0,-2.544502617801048,36.73255813953493,-1.9105998835177629,1.3474621006908347,1.2849530619457095,34.90987080085266,34.90987080085266
Ryan Walker,SFG,pitcher,10.870339785034052,NA,NA,NA,NA,NA,NA,NA,NA,63,5,24,68,3.27001,1.18195,0,0,0,0,0,0,0.1226495573299238,0.3348689129086711,0.18765195106386476,0.04784165306321275,0.03583297535421384,0.7288450497198863,0.7288450497198863,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.019623929172787796,0.2985914473435651,-0.05326003905194987,0.0287265867275918,0.02575803447746681,0,0.28019210032388603,0.28019210032388603,0.28019210032388603,0,0,0,0,0,-1.1308900523560208,33.593023255813996,-1.5174723354688409,2.054303717966529,1.9061876006096599,34.905152186565324,34.905152186565324
Logan Webb,SFG,pitcher,28.41886487848101,NA,NA,NA,NA,NA,NA,NA,NA,202,14,0,191,3.18481,1.16817,0,0,0,0,0,0,0.3434187605237866,0,0.5270812154882084,0.16107895434046116,0.12201780004053676,1.1535967303929928,1.1535967303929928,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.20114527402107502,-0.03627746556510604,0.28616922537239375,0.1419638880048402,0.11194285916378974,0,0.7049437809969927,0.7049437809969927,0.7049437809969927,0,0,0,0,0,11.59162303664922,-4.081395348837215,8.15346534653465,10.15216133092522,8.28417596464817,34.100030329920045,34.100030329920045
Cristopher Sanchez,PHI,pitcher,27.167313113101493,NA,NA,NA,NA,NA,NA,NA,NA,200,12,0,193,3.21421,1.16094,0,0,0,0,0,0,0.2943589375918171,0,0.5326003905194985,0.1568595595022768,0.1245108678709717,1.108329755484564,1.108329755484564,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.2916884004036838,0.13774449316665585,0.11443592699422467,0,0.6596768060885638,0.6596768060885638,0.6596768060885638,0,0,0,0,0,8.764397905759166,-4.081395348837215,8.310716365754217,9.850422785171526,8.46867199015086,31.312813697998557,31.312813697998557
Chris Sale,ATL,pitcher,28.89316296021533,NA,NA,NA,NA,NA,NA,NA,NA,165,12,0,200,3.14755,1.10269,0,0,0,0,0,0,0.2943589375918171,0,0.551917503129014,0.13431852498360117,0.1273223102299685,1.1079172759344007,1.1079172759344007,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.31100551301319934,0.11520345864798022,0.11724736935322148,0,0.6592643265384005,0.6592643265384005,0.6592643265384005,0,0,0,0,0,8.764397905759166,-4.081395348837215,8.86109493302271,8.2384620096837,8.67672888087506,30.459288380503423,30.459288380503423
Abner Uribe,MIL,pitcher,10.295003478974795,NA,NA,NA,NA,NA,NA,NA,NA,72,4,19,87,3.11801,1.20643,0,0,0,0,0,0,0.09811964586393904,0.26510455605269795,0.24008411386112108,0.0595610585619651,0.03644054366147012,0.6993099180011932,0.6993099180011932,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.04415384063877256,0.22882709048759192,-8.278762546935492e-4,0.04044599222634415,0.02636560278472309,0,0.25065696860519304,0.25065696860519304,0.25065696860519304,0,0,0,0,0,-2.544502617801048,25.74418604651166,-0.023587652882936145,2.8923851272458347,1.9511498501488653,28.01963075322238,28.01963075322238
Elly De La Cruz,CIN,hitter,31.011938036414502,672,598,157,25,97,89,41,0.262241,NA,NA,NA,NA,NA,NA,0.3334852373771905,0.300591261212703,0.5010911147874447,0.33827208202653747,0.08930616877557239,1.562745864179448,0,0,0,0,0,0,1.562745864179448,0,0,0,0,1,0,0,1,1,0,0,SS,0.24912776719314625,0.24912776719314625,0.06738464590301993,0.04328514161462923,0.10021822295748894,0.0379524774956603,2.872792223478263e-4,0,0,0,0,0,0.26610059147417053,0.2573061195980738,0.4008728918299558,0.30031960453087714,0.08901888955322457,0,0,0,0,0,1.313618096986302,0,1.313618096986302,1.313618096986302,4.104568488038654,3.9653465346534635,4.358780929390467,10.231105559025611,2.9146553314331984,0,0,0,0,0,25.574456842541395,25.574456842541395
Jesus Luzardo,PHI,pitcher,18.6287167401458,NA,NA,NA,NA,NA,NA,NA,NA,179,12,0,197,3.77599,1.19263,0,0,0,0,0,0,0.2943589375918171,0,0.5436387405820788,0.0955046971148502,0.09691793581571054,1.0304203111044568,1.0304203111044568,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.3027267504662642,0.07638963077922925,0.08684299493896351,0,0.5817673617084564,0.5817673617084564,0.5817673617084564,0,0,0,0,0,8.764397905759166,-4.081395348837215,8.625218404193356,5.462796677237419,6.426695340332494,25.197712978685217,25.197712978685217
Yoshinobu Yamamoto,LAD,pitcher,23.762260469066263,NA,NA,NA,NA,NA,NA,NA,NA,155,12,0,165,3.37774,1.11193,0,0,0,0,0,0,0.2943589375918171,0,0.45533194008143657,0.11025239050685158,0.1159399640393738,0.9758832322194788,0.9758832322194788,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.21441994996562194,0.09113732417123063,0.10586502316262678,0,0.5272302828234788,0.5272302828234788,0.5272302828234788,0,0,0,0,0,8.764397905759166,-4.081395348837215,6.109202096680254,6.5174378587293855,7.834394144762384,25.144036657093977,25.144036657093977
Zack Wheeler,PHI,pitcher,23.75428658628424,NA,NA,NA,NA,NA,NA,NA,NA,157,11,0,171,3.31473,1.1074600000000001,0,0,0,0,0,0,0.26982902612583237,0,0.471889465175307,0.11609057704086116,0.11923225713517065,0.9770413254771712,0.9770413254771712,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.12755553962312077,-0.03627746556510604,0.23097747505949237,0.09697551070524021,0.10915731625842362,0,0.528388376081171,0.528388376081171,0.528388376081171,0,0,0,0,0,7.350785340314141,-4.081395348837215,6.580955154338961,6.934939889747863,8.078035727052786,24.863320762616535,24.863320762616535
