team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,205,7.97006488211684,7349,6504,1674,246,931,906,122,0.257380073800738,996,58,35,908,447.32989111111107,1297.36958,4.042137570281124,1.3025798995983937,4,4,4,2,8,4,5,1,2,2,22,14,36,9,36
LOUISVILLE SLUGGERS,23,224,10.554266661194164,7900,7150,1892,251,996,949,175,0.26461538461538464,905,56,85,960,378.8357833333334,1109.61807,3.7674276795580117,1.226097314917127,7,10,8,8,10,1,9,2,10,8,43,30,73,1,37
WESTSIDE MARAUDERS,23,268,10.904942532401943,7358,6548,1672,258,937,919,138,0.25534514355528404,1319,84,32,1351,562.131431111111,1597.993736,3.8356200758150107,1.2115191326762698,8,8,7,6,6,9,5,8,6,9,35,37,72,2,37
HOOSIERS,23,244,10.44338055753088,7840,6959,1778,248,990,951,207,0.25549647937922115,1352,81,2,1176,575.1287377777778,1717.5388599999999,3.8285197041420123,1.2703689792899406,6,9,9,10,7,7,4,6,7,3,41,27,68,3,37
MELONHEADS,22,270,10.74349678518826,7113,6323,1595,236,915,874,203,0.2522536770520323,1377,88,0,1361,578.392258888889,1661.79285,3.780341561365288,1.2068212418300654,3,3,2,9,4,10,3,10,9,10,21,42,63,4,37
NATIONAL PASTIME,23,241,10.361371207250679,7646,6841,1725,276,935,966,127,0.2521561175266774,1256,76,52,1190,555.7861744444444,1572.5167900000001,3.9825442436305734,1.2520038136942677,10,7,10,4,3,6,8,7,4,4,34,29,63,4,37
BIG RED MACHINE,23,214,9.675914165983356,7308,6469,1608,262,916,907,130,0.2485701035708765,1094,67,86,1077,462.77304,1363.64002,3.8070908226691036,1.2464716819012798,9,4,6,5,2,4,10,5,8,7,26,34,60,5,37
BLUE SOCKS,23,256,9.942399007895968,7705,6976,1799,218,923,906,175,0.2578841743119266,1086,68,86,1068,474.4994566666666,1356.14041,3.9323159392265192,1.2487480755064457,1,6,5,8,8,5,10,4,5,6,28,30,58,6,37
FREE BIRDS,23,242,9.277499044388431,7571,6684,1697,237,917,888,105,0.25388988629563136,1345,83,0,1355,607.1453322222222,1681.6386,4.062682520446097,1.2502889219330855,4,5,3,3,5,8,3,9,3,5,20,28,48,7,37
ERIE LAKERS,23,203,8.022045175869266,7258,6459,1669,242,912,894,127,0.2583991329927233,1025,63,34,950,477.3208755555556,1347.8462599999998,4.191110126829268,1.3149719609756096,5,2,4,4,9,3,6,1,1,1,24,12,36,8,37
FREE AT LAST,22,226,8.04776720859976,7144,6287,1558,229,897,850,161,0.24781294735167805,1093,62,36,1019,498.9321377777778,1416.75781,4.108315864592864,1.2962102561756634,2,1,1,7,1,2,7,3,2,2,12,16,28,9,37
WESTSIDE MARAUDERS,23,267,10.924663481238353,7267,6462,1662,267,935,927,145,0.25719591457753016,1354,85,32,1358,579.9207588888888,1669.8963460000002,3.854717008862629,1.2333060162481537,9,6,7,6,8,9,5,9,8,9,36,40,76,1,38
NATIONAL PASTIME,23,253,10.376811913630073,7737,6942,1753,275,935,976,133,0.252520887352348,1150,74,63,1116,501.6899244444445,1418.60746,3.9262689739130443,1.233571704347826,10,6,10,4,5,7,8,6,5,8,35,34,69,2,38
LOUISVILLE SLUGGERS,23,209,10.497975879873295,7333,6611,1745,243,941,894,162,0.2639540160338829,1050,67,88,1073,447.48057222222224,1306.78838,3.835547761904762,1.2445603619047618,5,8,4,7,10,4,10,4,9,7,34,34,68,3,38
BLUE SOCKS,23,262,10.268942932210177,7876,7105,1825,235,969,941,201,0.2568613652357495,1082,66,73,1065,474.9418755555556,1358.92075,3.950533160813309,1.2559341497227356,4,9,9,9,7,3,9,3,4,4,38,23,61,4,38
HOOSIERS,23,224,10.140595229257391,7875,6991,1755,250,986,939,222,0.2510370476326706,1190,72,29,1083,534.6561988888889,1524.2769099999998,4.043618310924369,1.2809049663865544,7,10,8,10,3,6,4,5,2,3,38,20,58,5,38
MELONHEADS,19,270,10.332129867392073,6560,5828,1494,227,854,824,165,0.25634866163349346,1191,77,0,1225,497.65044888888895,1402.5509299999999,3.760582737195634,1.1776246263643995,2,2,1,8,6,8,2,8,10,10,19,38,57,6,38
BIG RED MACHINE,23,212,9.746563280313413,7402,6585,1651,256,924,906,123,0.2507213363705391,1168,71,59,1152,502.89321333333334,1456.0831,3.875033321917808,1.2466464897260274,8,5,5,3,1,5,7,7,7,6,22,32,54,7,38
FREE BIRDS,23,253,9.291068346162618,7299,6424,1620,230,890,859,113,0.2521793275217933,1442,87,0,1399,624.1423533333334,1806.1563600000002,3.89547932038835,1.2525356171983357,3,3,2,1,4,10,2,10,6,5,13,33,46,8,38
ERIE LAKERS,23,200,8.215714688540189,7492,6637,1714,246,938,914,117,0.25824920897996084,1056,62,20,990,476.9948377777777,1368.2969699999999,4.065296912878788,1.2957357670454543,6,7,6,2,9,2,3,2,1,1,30,9,39,9,38
FREE AT LAST,22,231,8.068648669188198,7403,6546,1643,225,904,873,140,0.25099297280782157,1045,60,49,943,469.4143866666667,1345.59356,4.04280333014354,1.2876493397129187,1,4,3,5,2,1,6,1,3,2,15,13,28,10,38
WESTSIDE MARAUDERS,23,266,10.811952833380449,7470,6655,1703,256,949,928,152,0.2558978211870774,1263,78,54,1283,542.5022566666665,1543.0780260000001,3.8658118052256523,1.2217561567695963,8,6,7,6,7,8,7,8,8,8,34,39,73,1,39
LOUISVILLE SLUGGERS,23,209,10.664286409906826,7477,6720,1761,243,966,913,183,0.26205357142857144,1090,69,66,1096,470.88170777777776,1360.14221,3.8880141009174314,1.2478368899082568,6,9,6,8,10,5,8,4,6,6,39,29,68,2,39
NATIONAL PASTIME,23,268,10.376077647085713,7426,6644,1693,244,907,887,140,0.2548163756773028,1187,76,84,1199,494.6840188888889,1438.0061600000001,3.750763411962932,1.211462645324347,7,4,3,5,6,7,10,7,9,9,25,42,67,3,39
BLUE SOCKS,23,262,10.26497164889151,7907,7130,1830,236,961,938,193,0.25666199158485276,1166,74,43,1152,522.0860077777778,1445.72762,4.029823387650086,1.2399036192109776,4,8,8,9,8,6,6,6,3,7,37,28,65,4,39
HOOSIERS,23,230,10.189376299448442,7973,7073,1772,266,1010,975,213,0.25053018521136716,1175,69,27,1059,514.7309966666667,1489.05827,3.9426204000000005,1.2672836340425533,9,10,10,10,2,5,4,3,5,4,41,21,62,5,39
BIG RED MACHINE,23,212,9.755316201515061,7615,6737,1699,267,958,939,120,0.25218940181089505,1212,74,38,1124,521.38297666666665,1535.5697800000003,3.8716557673267324,1.2669717656765678,10,7,9,1,4,6,5,5,7,5,31,28,59,6,39
MELONHEADS,21,270,10.545237013243007,6840,6122,1557,234,871,852,165,0.254328650767723,1270,82,19,1305,517.7792277777778,1519.2571399999997,3.6693016141732286,1.1962654645669288,3,1,1,7,5,9,3,9,10,10,17,41,58,7,39
FREE BIRDS,23,242,9.292094676651473,7327,6485,1635,239,890,891,134,0.25212027756360833,1410,85,0,1340,629.9230966666667,1796.3298100000002,4.020785723404255,1.2739927730496454,5,2,5,4,3,10,1,10,4,3,19,28,47,8,39
ERIE LAKERS,23,197,8.042694122834206,7072,6288,1640,234,895,872,129,0.2608142493638677,947,55,72,901,434.0855822222222,1240.72319,4.125417360084477,1.3101617634635692,3,3,2,3,9,3,9,1,2,1,20,16,36,9,39
FREE AT LAST,22,221,8.09430819253739,7529,6653,1666,233,910,890,123,0.2504133473620923,1132,66,10,1048,522.8893566666667,1457.5911999999998,4.1572475353356895,1.287624734982332,2,5,4,2,1,4,2,2,1,2,14,11,25,10,39
WESTSIDE MARAUDERS,23,266,10.957872795357986,7442,6630,1713,252,948,924,147,0.2583710407239819,1368,86,32,1360,594.9960622222221,1678.892376,3.9144477777777773,1.22726050877193,6,7,6,6,8,10,6,10,4,8,33,38,71,1,40
HOOSIERS,23,234,10.279932544885979,7900,7026,1760,261,990,970,219,0.25049814972957585,1170,73,24,1062,498.0948188888889,1459.41716,3.8314986068376067,1.247365094017094,9,9,10,10,3,8,3,4,8,5,41,28,69,2,40
LOUISVILLE SLUGGERS,23,221,10.725491587026086,7623,6850,1807,246,996,930,193,0.2637956204379562,972,62,96,966,414.11109222222217,1224.62501,3.834361965020576,1.2599022736625514,5,10,8,9,10,4,10,2,7,4,42,27,69,2,40
MELONHEADS,22,270,10.803917811895264,7308,6471,1635,258,936,914,153,0.2526657394529439,1357,86,0,1343,568.077668888889,1657.7085000000002,3.7676485040530587,1.2215980103168755,8,6,4,7,4,10,2,9,9,9,29,39,68,3,40
NATIONAL PASTIME,23,258,10.37179735822677,7611,6831,1739,258,932,929,143,0.2545747328356024,1121,72,79,1156,482.72139,1376.0908000000002,3.8755508563782337,1.227556467439786,8,5,7,5,5,7,9,7,5,7,30,35,65,4,40
BLUE SOCKS,21,270,9.923066825706773,7227,6546,1687,224,881,885,156,0.25771463489153684,1057,67,48,1114,440.3354466666667,1263.18034,3.749308438978241,1.195061816461684,3,3,3,8,7,5,7,6,10,10,24,38,62,5,40
