Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary
Corbin Carroll,ARI,hitter,33.07470509540335,637,554,143,27,101,89,34,0.258467,NA,NA,NA,NA,NA,NA,0.3472372059288272,0.32463856210971925,0.5010911147874447,0.2805183119244457,0.06726281252688587,1.5207480072773227,0,0,0,0,0,0,1.5207480072773227,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.21040511884004184,0.2092115178040413,0.2860160520359797,0.2194643263879487,0.09303462690770987,0,0,0,0,0,1.0181316419757214,0,1.0181316419757214,1.0181316419757214,3.4537246049661405,2.8707773452216516,3.1606566200215283,11.204368174726987,3.4143510569110544,0,0,0,0,0,24.103877801847364,24.103877801847364,Hoosiers,OF,2029,26
Trea Turner,PHI,hitter,25.89733644870233,644,591,167,19,92,73,28,0.28252,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.17695149908617,1.3637185335744366,0,0,0,0,0,0,1.3637185335744366,0,0,0,0,1,0,0,1,1,0,0,SS,0.349246920629834,0.349246920629834,0.0955761814338752,0.0504993318837341,0.13625174132422654,0.05775377010209177,0.00916589588590633,0,0,0,0,0,0.22071909525376937,0.17795002663792017,0.27475557754637414,0.1732613103062753,0.16778560320026367,0,0,0,0,0,1.0144716129446028,0,1.0144716129446028,1.0144716129446028,3.6230248306997743,2.7577546150948145,2.68837459634015,8.845553822152889,6.157696017737283,0,0,0,0,0,24.07240388202491,24.07240388202491,Blue Socks,IL,2,30
Yoshinobu Yamamoto,LAD,pitcher,23.119145628833284,NA,NA,NA,NA,NA,NA,NA,NA,155,12,0,165,3.37688,1.11175,0,0,0,0,0,0,0.2943589375918171,0,0.45533194008143657,0.11031188931790996,0.11601137655639251,0.976014143547556,0.976014143547556,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.21497186746875097,0.09112249532770336,0.10579516768867056,0,0.5276975160091243,0.5276975160091243,0.5276975160091243,0,0,0,0,0,8.11833171677983,-3.9795918367346967,5.669425051888193,6.378674428350012,7.528756041670255,23.715595401953593,23.715595401953593,Blue Socks,P,Opt,26
Jesus Luzardo,PHI,pitcher,18.14672213817685,NA,NA,NA,NA,NA,NA,NA,NA,179,12,0,197,3.77513,1.19247,0,0,0,0,0,0,0.2943589375918171,0,0.5436387405820788,0.0955734086450402,0.0969912424281628,1.030562329247099,1.030562329247099,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.30327866796939323,0.07638401465483359,0.08677503356044086,0,0.5822457017086671,0.5822457017086671,0.5822457017086671,0,0,0,0,0,8.11833171677983,-3.9795918367346967,7.998328795924421,5.34696464644961,6.175216434335025,23.65924975675419,23.65924975675419,Louisville Sluggers,P,2027,19
Victor Vodnik,COL,pitcher,-0.6898174368806167,NA,NA,NA,NA,NA,NA,NA,NA,64,3,22,62,4.25365,1.45756,0,0,0,0,0,0,0.07358973439795427,0.30696317016628183,0.17109442596999433,0.02050182253167588,-0.00874692984679622,0.56340222321911,0.56340222321911,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.06868375210475733,0.2706857046011758,-0.06926564664269128,0.00131242854146926,-0.01896313871451817,0,0.11508559568067828,0.11508559568067828,0.11508559568067828,0,0,0,0,0,-3.666343355965085,29.693877551020424,-1.8267338742284167,0.09187143467044176,-1.3494836133356654,22.9431881421617,22.9431881421617,Louisville Sluggers,P,2,1
Fernando Tatis Jr.,SDP,hitter,34.05658646237658,672,586,158,30,102,90,25,0.269868,NA,NA,NA,NA,NA,NA,0.35067519806673636,0.3607095134552436,0.5067213520322474,0.20626346465032777,0.12058874237759576,1.544958270582151,0,0,0,0,0,0,1.544958270582151,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.213843110977951,0.24528246914956564,0.2916462892807824,0.14520947911383075,0.14636055675841975,0,0,0,0,0,1.0423419052805496,0,1.0423419052805496,1.0423419052805496,3.5101580135440185,2.9272887102850698,3.705597416576963,7.413416536661469,5.371401361709422,0,0,0,0,0,22.927862038776944,22.927862038776944,Big Red Machine,OF,2026,31
Pete Crow-Armstrong,CHC,hitter,30.508743424372728,644,591,150,26,88,92,34,0.253505,NA,NA,NA,NA,NA,NA,0.3025433081360078,0.31261491166121114,0.517981826521853,0.2805183119244457,0.05005366152314793,1.4637120197666655,0,0,0,0,0,0,1.4637120197666655,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.16571122104722247,0.1971878673555332,0.30290676377038794,0.2194643263879487,0.07582547590397194,0,0,0,0,0,0.9610956544650642,0,0.9610956544650642,0.9610956544650642,2.7200902934537248,3.0403114404119065,2.979009687836383,11.204368174726987,2.7827788684565076,0,0,0,0,0,22.72655846488551,22.72655846488551,Melonheads,OF,2027,11
Kyle Tucker,LAD,hitter,35.015424462872716,651,555,149,33,101,99,22,0.268334,NA,NA,NA,NA,NA,NA,0.3472372059288272,0.3967804648007679,0.5573934872354722,0.1815118488922884,0.1079091558853238,1.5908321627426796,0,0,0,0,0,0,1.5908321627426796,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.21040511884004184,0.28135342049508993,0.3423184244840072,0.1204578633557914,0.1336809702661478,0,0,0,0,0,1.0882157974410782,0,1.0882157974410782,1.0882157974410782,3.4537246049661405,3.435890995855835,4.2505382131323985,6.149765990639627,4.906063229230748,0,0,0,0,0,22.195983033824746,22.195983033824746,Melonheads,Bench,2,40
Jackson Chourio,MIL,hitter,30.758058087718343,651,601,163,25,92,88,24,0.271494,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.300591261212703,0.495460877542642,0.19801292606431464,0.1309071645711126,1.4412675060784168,0,0,0,0,0,0,1.4412675060784168,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.1794631895988592,0.18516421690702503,0.28038581479117697,0.13695894052781762,0.1566789789519366,0,0,0,0,0,0.9386511407768154,0,0.9386511407768154,0.9386511407768154,2.9458239277652374,2.8142659801582335,2.7973627556512377,6.992199687987521,5.750085265682482,0,0,0,0,0,21.29973761724471,21.29973761724471,Louisville Sluggers,OF,Opt,15
Spencer Strider,ATL,pitcher,16.0298174071594,NA,NA,NA,NA,NA,NA,NA,NA,159,12,0,187,3.84757,1.20708,0,0,0,0,0,0,0.2943589375918171,0,0.516042865425628,0.07975374328865613,0.08020833378883312,0.9703638800949344,0.9703638800949344,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.27568279281294245,0.06056434929844952,0.06999212492111118,0,0.5220472525565025,0.5220472525565025,0.5220472525565025,0,0,0,0,0,8.11833171677983,-3.9795918367346967,7.2705463759130975,4.239570753087439,4.980885657460758,20.629742666506427,20.629742666506427,Free Birds,P,2,17
