team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,190,8.12209513151032,7177,6366,1660,248,914,904,124,0.2607602890355011,1126,67,16,982,528.212178888889,1512.6438400000002,4.221944591474245,1.3433781882770872,7,3,4,3,10,2,2,1,1,1,27,7,34,9,18
FREE AT LAST,23,246,8.30464183670741,7533,6598,1638,228,928,869,156,0.24825704759017883,1123,68,35,1055,497.9696622222222,1430.88462,3.9908521460374,1.2741626179875334,5,4,2,6,1,3,5,3,3,2,18,16,34,9,18
LOUISVILLE SLUGGERS,23,205,10.828425765263603,7751,6962,1804,269,1008,962,173,0.25912094225797183,1075,66,53,1097,468.20781111111114,1354.65002,3.9198793488372097,1.2601395534883721,10,10,9,8,9,4,7,4,6,5,46,26,72,1,19
WESTSIDE MARAUDERS,22,270,11.064077050370422,7092,6307,1623,263,915,905,143,0.2573331219280165,1337,86,32,1351,564.2181466666667,1634.427716,3.7980279132385943,1.222459024682124,8,4,5,5,8,10,4,9,9,8,30,40,70,2,19
BLUE SOCKS,23,239,10.21626192325059,7824,7053,1797,234,955,917,192,0.25478519778817527,1173,73,56,1153,503.1119866666667,1428.07556,3.8601942710997443,1.2174557203751066,2,7,7,9,6,5,8,6,8,9,31,36,67,3,19
NATIONAL PASTIME,23,269,10.427746325153453,7447,6685,1715,236,907,882,135,0.25654450261780104,1183,75,84,1208,489.3468866666667,1426.03508,3.7228419103972947,1.2054396280642434,3,2,2,4,7,6,10,7,10,10,18,43,61,4,19
HOOSIERS,23,236,10.301309847033378,7940,7060,1772,259,995,969,222,0.2509915014164306,1256,77,11,1124,566.9077233333333,1588.23414,4.062236871019108,1.264517627388535,7,9,10,10,2,8,2,5,2,4,38,21,59,5,19
MELONHEADS,23,223,9.774106228892867,7374,6538,1659,245,925,905,157,0.25374732334047106,1274,76,19,1242,554.0709566666667,1574.58286,3.9141590345368917,1.2359363108320252,5,5,5,7,5,7,3,8,7,7,27,32,59,5,19
BIG RED MACHINE,23,208,9.879037855309408,7783,6912,1741,268,962,960,125,0.25188078703703703,1103,66,79,1032,485.00305666666674,1414.0567200000003,3.957413880326383,1.282009718948323,9,8,8,2,3,4,9,3,4,2,30,22,52,6,19
FREE BIRDS,23,247,9.395760688555603,7396,6563,1661,237,893,899,131,0.25308547920158464,1372,85,0,1366,608.8030844444445,1746.8494600000001,3.9936062390670557,1.27321389212828,4,1,4,3,4,9,1,10,3,3,16,26,42,7,19
FREE AT LAST,23,250,8.35371569337797,7624,6705,1677,229,942,884,148,0.2501118568232662,1075,62,43,1006,470.9946000000001,1344.65776,3.9432106046511635,1.2508444279069768,1,6,3,6,1,3,6,2,5,6,17,22,39,8,19
ERIE LAKERS,23,192,8.075379885704347,7277,6475,1679,249,913,908,120,0.2593050193050193,986,61,36,916,452.0572411111111,1289.6645299999998,4.12628313387424,1.3079761967545638,6,3,6,1,10,2,5,1,1,1,26,10,36,9,19
WESTSIDE MARAUDERS,23,266,11.037572438041167,7477,6629,1694,278,963,947,138,0.2555438225976769,1344,84,32,1328,581.63481,1645.847266,3.8948759598214284,1.2245887395833333,10,8,9,5,8,9,4,9,8,8,40,38,78,1,20
LOUISVILLE SLUGGERS,23,210,10.672227004031214,7702,6921,1807,256,985,940,161,0.26108943794249384,1105,70,55,1142,472.09651333333335,1394.1604300000001,3.8451299728506787,1.2616836470588237,7,9,8,8,10,5,9,5,9,3,42,31,73,2,20
NATIONAL PASTIME,23,249,10.477517433355178,7633,6856,1750,261,943,935,142,0.25525087514585765,1253,78,52,1186,548.1721744444444,1563.85777,3.93738992019154,1.248090798084597,8,5,7,6,7,8,8,7,5,6,33,34,67,3,20
BLUE SOCKS,23,247,10.139704470530562,7592,6842,1740,220,914,882,214,0.2543116047939199,1032,68,102,1078,427.0404533333334,1233.4137799999999,3.7241900000000006,1.1951683914728681,2,2,3,9,5,4,10,4,10,10,21,38,59,4,20
HOOSIERS,23,231,10.325280073800503,8147,7227,1819,268,1029,1001,221,0.2516950325169503,1124,65,41,1035,509.16861111111115,1463.34334,4.076972864768683,1.3019068861209964,9,10,10,10,2,2,7,2,2,2,41,15,56,5,20
BIG RED MACHINE,23,214,9.790499777388808,7503,6661,1692,254,949,923,146,0.25401591352649755,1240,75,27,1160,536.7211022222223,1555.7362899999998,3.895556387096774,1.2546260403225804,6,6,6,7,4,6,2,6,7,5,29,26,55,6,20
MELONHEADS,23,218,9.847175424697722,7325,6524,1646,244,916,902,161,0.25229920294297975,1258,77,30,1241,553.94628,1532.6973400000002,3.9630496979332275,1.2183603656597775,5,3,5,8,3,7,3,8,3,9,24,30,54,7,20
FREE BIRDS,23,254,9.440294402753985,7344,6541,1664,227,875,881,117,0.2543953523926005,1421,87,0,1400,615.5343611111113,1785.3726900000001,3.8985286769880374,1.2564199085151302,3,1,2,2,6,10,1,10,6,4,14,31,45,8,20
ERIE LAKERS,23,202,8.239591035651426,7567,6725,1738,254,959,935,128,0.25843866171003715,966,57,36,864,440.37095444444446,1269.41502,4.102834979296067,1.3140942236024844,6,7,7,3,9,1,5,1,1,1,32,9,41,9,20
FREE AT LAST,23,250,8.389851217352703,7603,6676,1656,236,933,888,130,0.24805272618334331,1091,66,38,1061,478.03623333333337,1357.38992,3.943470302474794,1.2441704124656279,4,4,4,4,1,3,6,3,4,7,17,23,40,10,20
WESTSIDE MARAUDERS,23,267,10.996244890187032,7362,6625,1719,240,915,904,140,0.2594716981132075,1290,82,51,1328,542.3591866666667,1575.876506,3.7839013023255816,1.2216096945736434,5,5,7,4,9,9,7,10,8,8,30,42,72,1,21
LOUISVILLE SLUGGERS,23,210,10.773052458368644,8075,7287,1889,269,1012,988,175,0.25922876355153013,1104,66,44,1062,481.996458888889,1385.68325,3.9293189583333343,1.2551478713768116,8,10,10,8,8,4,6,4,5,6,44,25,69,2,21
NATIONAL PASTIME,23,264,10.320336604506783,7461,6688,1721,237,915,883,146,0.25732655502392343,1190,76,82,1189,499.8478544444444,1448.0550400000002,3.780361924369748,1.2168529747899162,4,5,5,5,7,7,10,6,10,9,26,42,68,3,21
BLUE SOCKS,23,246,9.952212191233379,7421,6697,1718,219,897,873,193,0.25653277586979245,1141,74,61,1201,479.6434122222223,1360.9553899999999,3.7833397984224373,1.1927742243645922,1,4,2,9,6,6,9,7,9,10,22,41,63,4,21
MELONHEADS,23,216,9.739310493940382,7282,6459,1614,248,915,898,172,0.24988388295401764,1379,83,0,1303,597.3366488888889,1717.0145799999998,3.8984987962291515,1.2451157215373458,6,5,6,6,3,10,2,9,6,7,26,34,60,5,21
HOOSIERS,23,237,10.425497557721581,7886,7005,1749,270,1007,976,218,0.24967880085653105,1110,66,55,1052,498.61172444444446,1415.36997,4.0427977657657665,1.275108081081081,9,9,9,10,2,4,8,3,2,2,39,19,58,6,21
BIG RED MACHINE,23,203,9.698709574982576,7651,6791,1691,276,960,948,113,0.24900603740244442,1233,74,27,1143,533.9908533333333,1562.34722,3.897743454987835,1.267110478507705,10,8,8,3,1,6,4,5,7,3,30,25,55,7,21
ERIE LAKERS,23,196,8.396974828180314,7445,6615,1719,262,939,948,113,0.2598639455782313,1000,59,42,880,463.3982966666667,1331.0065399999999,4.17058467,1.33100654,7,6,8,3,10,3,5,1,1,1,34,11,45,8,21
FREE BIRDS,23,245,9.151594382197846,7333,6476,1657,226,891,877,111,0.25586781964175415,1286,79,27,1288,572.2669166666667,1616.63036,4.004978421461898,1.2570998133748057,2,3,3,2,5,8,4,8,4,5,15,29,44,9,21
FREE AT LAST,23,249,8.413666944181205,7557,6625,1657,230,952,879,174,0.2501132075471698,1101,68,24,1049,493.2701411111112,1388.2949899999999,4.032180990009084,1.2609400454132607,3,7,4,7,4,5,3,2,3,4,25,17,42,10,21
WESTSIDE MARAUDERS,23,269,11.056387480198628,7565,6776,1752,251,947,925,143,0.25855962219598583,1342,83,32,1358,570.0592,1641.5233660000001,3.8230497764530553,1.2231917779433683,6,7,6,5,7,10,4,10,9,10,31,43,74,1,22
HOOSIERS,23,230,10.27659520961433,8000,7096,1767,267,1006,976,219,0.24901352874859076,1007,64,59,976,423.7965855555556,1255.1522400000001,3.7876556802383323,1.2464272492552135,10,10,10,10,2,5,9,2,10,5,42,31,73,2,22
LOUISVILLE SLUGGERS,23,209,10.672423002265102,7562,6803,1775,253,966,924,170,0.26091430251359693,1175,73,36,1228,513.62374,1450.4583599999999,3.934139285106383,1.2344326468085105,7,9,5,8,10,8,5,9,5,6,39,33,72,3,22
BLUE SOCKS,23,245,10.209511063320402,7778,7012,1794,238,952,930,195,0.2558471192241871,1155,72,48,1150,492.3163777777778,1419.5007,3.836231515151516,1.229004935064935,3,8,8,9,6,7,7,5,8,8,34,35,69,4,22
NATIONAL PASTIME,23,267,10.535997650360455,7542,6785,1760,246,936,915,162,0.2593957258658806,1112,71,84,1137,477.98432333333335,1368.59094,3.86857815647482,1.230747248201439,4,4,4,7,8,6,10,4,7,7,27,34,61,5,22
MELONHEADS,23,220,9.768768836950091,7279,6449,1617,250,919,897,160,0.2507365483020623,1224,75,38,1207,529.6255100000001,1499.35612,3.894305220588236,1.2249641503267974,5,2,3,6,3,9,6,8,6,9,19,38,57,6,22
BIG RED MACHINE,23,200,9.732380046205334,7573,6753,1694,259,939,929,121,0.2508514734192211,1236,75,27,1178,542.1178355555555,1566.8943700000002,3.9474599676375406,1.2677138915857606,9,5,7,2,4,9,3,6,4,4,27,26,53,7,22
ERIE LAKERS,23,202,8.3194393236643,7431,6615,1721,254,943,931,119,0.2601662887377173,1087,64,16,924,495.7960488888889,1418.7237,4.105027083716652,1.3051735970561178,8,6,9,1,9,5,2,1,1,1,33,10,43,8,22
FREE BIRDS,23,242,9.02862503876969,7214,6371,1625,223,874,863,128,0.2550619996860775,1213,75,57,1201,535.1040100000001,1539.45785,3.970268829348723,1.2691326051112943,1,1,1,3,5,9,8,7,3,3,11,30,41,9,22
