team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE AT LAST,22,238,8.29246562256481,7228,6351,1571,227,899,850,156,0.2473626200598331,1139,71,32,1046,511.3776166666667,1470.2780599999999,4.04073621597893,1.2908499209833186,1,2,1,6,1,5,4,3,3,2,11,17,28,9,41
WESTSIDE MARAUDERS,23,269,10.9173098503058,7330,6540,1673,256,935,917,156,0.2558103975535168,1269,81,59,1309,535.1370255555555,1549.7482260000002,3.7952980535855003,1.2212357966903074,9,7,7,6,6,9,8,9,9,8,35,43,78,1,42
LOUISVILLE SLUGGERS,23,209,10.683817948237635,7505,6724,1750,251,975,915,174,0.260261748958953,1079,69,69,1089,451.88575333333335,1359.10113,3.7692046153846155,1.2595932622798889,6,9,6,9,10,5,9,5,10,4,40,33,73,2,42
NATIONAL PASTIME,23,260,10.4742680035368,7650,6892,1771,255,934,934,155,0.2569645966337783,1160,74,79,1106,500.3542777777778,1448.4801400000001,3.8820590517241382,1.248689775862069,8,6,9,5,8,7,10,6,5,6,36,34,70,3,42
HOOSIERS,23,222,10.304745918489324,8033,7149,1808,256,1006,968,220,0.25290250384669183,1109,67,35,1059,480.3355677777778,1418.26693,3.898124535617674,1.2788700901713255,9,10,10,10,4,4,7,3,4,2,43,20,63,4,42
BIG RED MACHINE,23,212,9.686469980577666,7378,6545,1634,260,923,907,115,0.24965622612681437,1174,72,59,1137,501.99920333333336,1458.51555,3.848375494037479,1.242347146507666,10,5,5,1,2,6,8,7,8,7,23,36,59,5,42
MELONHEADS,23,238,9.759883371851515,7317,6512,1646,244,912,906,157,0.25276412776412777,1278,76,19,1250,550.06603,1558.81427,3.873704436619718,1.219729475743349,5,4,4,7,3,8,3,8,6,9,23,34,57,6,42
BLUE SOCKS,20,270,9.878637527366793,7428,6701,1711,230,911,893,162,0.2553350246231906,1017,64,29,1020,436.25295000000006,1219.78712,3.8606455752212394,1.1993973647984266,3,3,3,8,5,3,5,2,7,10,22,27,49,7,42
FREE BIRDS,23,246,9.173015601953605,7417,6577,1685,219,886,876,138,0.2561958339668542,1346,83,0,1328,605.4166433333334,1690.99954,4.0481053417533435,1.2563146656760773,2,1,2,3,7,10,2,10,3,5,15,30,45,8,42
ERIE LAKERS,23,212,8.230349368244543,7424,6573,1706,254,938,921,118,0.2595466301536589,1078,61,22,952,506.7239266666666,1412.0178799999999,4.2305337105751395,1.3098496103896102,7,8,8,2,9,2,4,1,1,1,34,9,43,9,42
FREE AT LAST,22,242,8.446522533724453,7291,6415,1589,233,905,861,141,0.24770070148090412,1158,69,30,1080,526.7917588888889,1476.94344,4.09423646804836,1.2754261139896372,4,2,1,4,1,5,6,4,2,3,12,20,32,10,42
WESTSIDE MARAUDERS,22,270,11.047782300116896,7365,6535,1665,269,954,922,138,0.25478194338179033,1334,82,32,1337,575.2071288888887,1629.908486,3.880707766116941,1.2218204542728637,9,9,7,5,5,9,4,9,9,9,35,40,75,1,43
NATIONAL PASTIME,23,270,10.56028492489304,7611,6814,1769,242,935,913,138,0.2596125623715879,1290,80,52,1241,556.9054366666667,1567.3748699999999,3.8853867674418607,1.2150192790697674,5,5,5,5,8,7,7,7,8,10,28,39,67,2,43
BLUE SOCKS,23,264,10.259731275303755,7710,6944,1785,231,954,925,199,0.25705645161290325,1145,70,56,1158,506.6812966666667,1418.69139,3.9826477467248913,1.2390317816593885,1,9,9,9,7,5,8,6,4,7,35,30,65,3,43
HOOSIERS,23,234,10.099498348846211,7512,6644,1657,255,948,924,203,0.24939795304033716,947,61,93,961,381.42871,1171.55259,3.6249824604012675,1.2371199472016896,7,7,8,10,2,2,10,1,10,8,34,31,65,3,43
LOUISVILLE SLUGGERS,23,204,10.767754266008104,8092,7299,1896,271,1011,989,169,0.25976161117961366,1108,69,50,1052,490.6891988888889,1439.1272599999998,3.9857425902527077,1.2988513176895304,10,10,10,7,9,4,6,4,3,1,46,18,64,4,43
MELONHEADS,23,233,9.966097259356788,7583,6715,1689,246,952,920,188,0.2515264333581534,1344,81,0,1264,584.69047,1686.07778,3.91533796875,1.2545221577380954,6,8,6,8,4,8,2,8,7,5,32,30,62,5,43
BIG RED MACHINE,23,209,9.813848954905493,7511,6673,1670,260,943,922,147,0.2502622508616814,1192,72,59,1121,521.9922433333334,1511.3714800000002,3.941216602348993,1.2679290939597319,8,6,7,6,3,6,9,5,6,3,30,29,59,6,43
FREE BIRDS,23,249,9.229369852166267,7320,6518,1666,236,879,895,99,0.2555998772629641,1361,85,0,1346,604.2009266666668,1712.66029,3.9954506539309333,1.2583837545922116,3,3,4,2,6,10,2,10,2,4,18,28,46,7,43
FREE AT LAST,22,247,8.421684972828766,7277,6405,1589,232,898,863,131,0.24808743169398906,1091,68,38,1034,480.4253255555556,1356.52208,3.9631786709440884,1.2433749587534373,2,4,2,4,1,3,5,3,5,6,13,22,35,8,43
ERIE LAKERS,23,210,8.034243130344304,7177,6408,1669,237,898,884,127,0.2604556803995006,1082,61,21,1019,498.52431777777775,1397.6384399999997,4.146690258780037,1.2917175970425137,4,4,3,3,10,2,3,2,1,2,24,10,34,9,43
WESTSIDE MARAUDERS,23,268,10.955059008324792,7477,6672,1717,254,954,923,153,0.2573441247002398,1333,84,32,1358,567.2858677777778,1641.5953160000004,3.830137141785446,1.231504363090773,7,7,7,5,8,10,4,10,9,7,34,40,74,1,44
LOUISVILLE SLUGGERS,23,211,10.646061566724203,7498,6744,1758,250,968,920,183,0.2606761565836299,1056,68,61,1093,450.08275222222227,1307.95868,3.835932547348485,1.2385972348484848,6,9,6,9,10,5,10,4,8,6,40,33,73,2,44
HOOSIERS,23,233,10.269141126592189,7954,7059,1768,264,1004,980,212,0.2504604051565378,1090,67,46,1013,455.0860377777778,1356.30116,3.757591137614679,1.244312990825688,9,10,10,10,3,4,5,3,10,5,42,27,69,3,44
