team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE AT LAST,23,244,8.351447067689842,7704,6809,1719,235,940,909,129,0.2524599794389778,1150,69,17,1096,521.4666055555556,1467.7852999999998,4.081043,1.2763350434782608,4,5,5,4,4,5,4,5,1,2,22,17,39,9,47
ERIE LAKERS,23,200,8.053360507677567,7221,6438,1681,243,906,901,120,0.2611059335197266,945,56,54,868,427.20317,1223.6882300000002,4.068601619047619,1.2949081798941802,5,2,4,2,10,3,7,1,2,1,23,14,37,10,47
HOOSIERS,23,236,10.30162089304422,7985,7086,1769,267,1007,986,213,0.24964719164549817,1125,69,24,1078,476.70994222222225,1379.8452000000002,3.8136795377777775,1.2265290666666668,9,10,10,10,3,5,4,5,9,9,42,32,74,1,48
WESTSIDE MARAUDERS,23,261,11.002081659022824,7379,6577,1681,264,948,925,139,0.25558765394556787,1368,86,32,1360,594.9931066666667,1678.8832160000002,3.9144283333333334,1.2272538128654973,7,8,7,5,6,10,6,10,5,8,33,39,72,2,48
NATIONAL PASTIME,23,267,10.519197019249184,7556,6742,1722,251,932,901,127,0.2554138237911599,1209,77,84,1194,504.5398711111111,1469.2999100000002,3.755879933829611,1.2153018279569894,6,5,4,3,5,7,9,6,10,10,23,42,65,3,48
LOUISVILLE SLUGGERS,23,214,10.60638902396127,7697,6935,1790,270,977,964,173,0.2581110310021629,954,60,97,978,420.56012,1204.5230099999999,3.9675483018867923,1.2626027358490566,10,9,9,7,8,2,10,2,4,2,43,20,63,4,48
BLUE SOCKS,23,262,10.10797128249909,7834,7085,1841,224,945,922,178,0.25984474241354977,1179,74,29,1217,512.3977166666667,1450.39241,3.911432951653944,1.230188642917727,1,6,6,8,9,6,5,7,6,7,30,31,61,5,48
BIG RED MACHINE,23,216,9.790381279276314,7573,6742,1707,265,947,940,128,0.2531889646989024,1098,65,73,1036,466.8113400000001,1377.96946,3.8263224590163945,1.2549812932604736,8,7,8,4,4,3,8,3,8,5,31,27,58,6,48
MELONHEADS,23,218,9.891778258193444,7248,6422,1596,250,911,894,185,0.2485207100591716,1335,85,0,1299,571.7442544444444,1654.8154699999998,3.854455647940075,1.2395621498127338,5,3,3,9,2,9,3,8,7,6,22,33,55,7,48
FREE BIRDS,23,249,9.309061474368045,7498,6653,1717,225,911,885,119,0.2580790620772584,1337,83,0,1335,599.8648366666669,1686.09058,4.037983193717278,1.2610999102468212,2,3,2,2,7,8,3,9,3,3,16,26,42,8,48
