team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
MELONHEADS,23,223,10.187724823118295,7157,6373,1610,247,901,893,161,0.2526282755374235,1270,80,27,1270,547.9647955555556,1532.8435,3.8832150866141735,1.2069633858267717,6,4,3,5,4,9,3,8,6,10,22,36,58,5,16
BIG RED MACHINE,23,151,9.764723015105327,7500,6635,1635,274,931,927,110,0.24642049736247174,1038,64,108,1019,437.4733988888888,1299.4286399999999,3.7931219556840072,1.251858034682081,10,6,8,2,1,3,10,2,9,5,27,29,56,6,16
FREE BIRDS,23,188,9.111149308643187,7312,6476,1657,228,891,881,109,0.25586781964175415,1345,83,0,1355,607.1542444444444,1681.65571,4.062742156133829,1.2503016431226766,3,2,2,1,6,10,2,10,2,6,14,30,44,7,16
ERIE LAKERS,23,168,8.075215124805357,7349,6526,1689,242,923,899,120,0.25881091020533253,976,58,40,908,435.007058888889,1251.6123500000003,4.011335584016394,1.282389702868853,4,5,4,3,9,2,6,1,3,2,25,14,39,8,16
FREE AT LAST,22,151,8.157816284239226,7102,6221,1536,227,893,839,163,0.24690564217971386,1297,74,0,1136,598.5361822222221,1693.0927199999999,4.153296561295297,1.3053914572089436,2,3,1,6,2,5,2,4,1,1,14,13,27,9,16
WESTSIDE MARAUDERS,23,213,11.086401400370105,7477,6620,1684,257,951,919,164,0.254380664652568,1197,76,86,1255,508.5350044444444,1455.079182,3.823571461988304,1.2156049974937342,9,8,7,8,4,7,9,8,9,9,36,42,78,1,17
LOUISVILLE SLUGGERS,23,165,10.745479735304205,7715,6946,1799,256,970,938,170,0.25899798445148287,1154,72,52,1109,497.31509444444447,1443.66444,3.878540597920278,1.251009046793761,8,9,9,9,10,5,8,3,6,5,45,27,72,2,17
BLUE SOCKS,23,221,10.42133725405394,7526,6783,1736,239,919,917,161,0.25593395252837975,1318,84,29,1273,553.6388677777778,1626.15327,3.780538550834598,1.2338036949924127,3,3,6,7,7,9,6,9,10,8,26,42,68,3,17
MELONHEADS,23,223,10.274060154685106,7323,6518,1660,244,923,902,160,0.25467934949370974,1355,85,0,1349,580.8401066666668,1643.50022,3.857978568265683,1.212915291512915,6,5,5,6,5,10,3,10,8,10,27,41,68,3,17
NATIONAL PASTIME,23,190,10.491090018441016,7647,6881,1775,254,940,933,155,0.2579566923412295,1211,74,52,1188,521.1931955555556,1500.73852,3.8734424112303882,1.2392555904211398,7,6,8,5,8,6,8,6,7,7,34,34,68,3,17
HOOSIERS,23,190,10.345468550467837,8008,7130,1803,257,1006,972,236,0.252875175315568,1321,76,0,1150,613.6612422222222,1716.99982,4.180886585919758,1.2997727630582891,9,10,10,10,2,7,3,5,1,1,41,17,58,4,17
BIG RED MACHINE,23,151,9.753144120776025,7566,6724,1702,258,942,933,117,0.25312314098750743,1170,70,46,1124,504.6126277777778,1478.3607,3.881635598290598,1.2635561538461537,10,7,8,1,3,4,7,4,5,3,29,23,52,5,17
FREE BIRDS,23,188,9.279236548131063,7466,6605,1684,232,921,891,122,0.2549583648750946,1282,77,27,1254,577.1393733333334,1613.58834,4.051680468018722,1.258649251170047,2,4,3,2,6,8,5,7,2,4,17,26,43,6,17
ERIE LAKERS,23,168,8.087507523209467,7258,6459,1669,242,912,894,127,0.2583991329927233,1061,65,10,1001,476.5836066666667,1366.15452,4.042650763430727,1.2876102921771915,4,2,4,4,9,3,4,2,3,2,23,14,37,7,17
FREE AT LAST,22,151,8.228816015911038,7319,6421,1573,243,905,868,123,0.24497741784768728,854,53,99,867,376.8058311111111,1067.5851,3.9710216393442623,1.2500996487119438,5,1,2,3,1,2,10,1,4,6,12,23,35,8,17
BLUE SOCKS,23,221,10.504348597852406,7782,7011,1799,236,964,936,200,0.25659677649408075,1080,66,73,1103,454.10728888888895,1330.1067200000002,3.784227407407408,1.2315802962962965,3,8,8,9,8,4,9,4,9,7,36,33,69,1,18
NATIONAL PASTIME,23,190,10.35908797618613,7401,6611,1686,256,912,919,142,0.25502949629405536,1130,73,84,1146,485.73840666666666,1385.1367000000002,3.8687129734513275,1.225784690265487,9,4,7,6,6,6,10,5,8,8,32,37,69,1,18
