team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,201,8.050394198693068,7321,6525,1695,248,918,915,116,0.2597701149425287,1068,61,14,986,503.11565666666667,1378.6192999999998,4.2397386797752805,1.2908420411985018,6,5,4,2,9,3,3,1,1,2,26,10,36,8,45
FREE AT LAST,22,229,8.175592145620762,7340,6481,1614,231,908,868,136,0.24903564264773956,1138,67,27,1065,525.7176488888889,1481.1282999999999,4.157696695957821,1.3015187170474516,3,4,1,5,2,5,5,4,2,1,15,17,32,9,45
WESTSIDE MARAUDERS,23,264,11.163191310167361,7624,6761,1730,264,984,945,163,0.2558793077947049,1276,80,54,1281,552.8770533333333,1571.585176,3.8996030407523508,1.2316498244514107,9,9,9,6,8,9,8,9,6,7,41,39,80,1,46
BLUE SOCKS,23,247,10.43091710383512,7845,7062,1802,243,960,935,182,0.2551685075049561,1156,75,48,1181,488.757458888889,1398.6563099999998,3.8052051297577867,1.209910302768166,5,7,8,9,7,7,6,6,9,10,36,38,74,2,46
LOUISVILLE SLUGGERS,23,229,10.56117528277341,7506,6772,1798,238,971,907,173,0.2655050206733609,990,63,91,1029,420.18558666666667,1207.86295,3.8198689696969694,1.2200635858585858,4,8,4,7,10,4,10,3,8,8,33,33,66,3,46
MELONHEADS,23,246,10.134457500921634,7325,6551,1668,234,904,895,175,0.25461761563120133,1264,78,27,1248,533.3858222222221,1533.41995,3.7978420886075948,1.2131486946202532,3,2,3,8,6,8,3,8,10,9,22,38,60,4,46
NATIONAL PASTIME,23,253,10.316533469636001,7457,6654,1685,261,918,928,142,0.25323113916441237,1232,78,52,1225,534.0293855555556,1518.7358900000002,3.901188693181818,1.2327401704545455,7,4,6,5,4,8,7,7,5,6,26,33,59,5,46
HOOSIERS,23,229,10.270600477155497,8054,7151,1814,262,1022,987,204,0.25367081527059154,1262,73,8,1098,573.3504899999999,1637.3717299999998,4.088870372424722,1.297441941362916,8,10,10,10,5,5,2,4,2,2,43,15,58,6,46
BIG RED MACHINE,23,204,9.778048690798167,7573,6724,1668,268,934,930,121,0.2480666270077335,1221,74,59,1144,524.4398055555555,1552.3818800000001,3.8656496723996723,1.2714020311220313,10,6,7,2,1,6,9,5,7,4,26,31,57,7,46
FREE BIRDS,23,258,9.274103353210041,7246,6402,1611,228,878,857,131,0.25164011246485474,1417,88,0,1402,616.9838022222223,1763.1761,3.9187397459421316,1.2443021171489062,1,1,1,4,3,10,1,10,4,5,10,30,40,8,46
ERIE LAKERS,23,203,8.125134881997615,7363,6548,1696,255,929,924,119,0.259010384850336,981,58,31,907,444.93574111111116,1285.3900999999998,4.081979276248727,1.3102855249745156,6,5,5,1,9,2,4,1,3,1,26,11,37,9,46
FREE AT LAST,22,227,8.0800947143972,7424,6553,1632,233,912,877,129,0.24904623836410805,1053,61,43,992,482.00008222222226,1356.90332,4.119658822412156,1.2886071415004747,2,3,2,3,2,3,5,2,1,3,12,14,26,10,46
WESTSIDE MARAUDERS,23,268,11.070273429438183,7407,6601,1699,267,948,938,145,0.25738524465990004,1265,79,59,1302,546.2566755555555,1543.842656,3.886411130434782,1.220428977075099,8,6,9,5,7,9,9,9,6,7,35,40,75,1,47
HOOSIERS,23,235,10.254559210117673,8015,7125,1784,268,1008,986,199,0.2503859649122807,1213,75,11,1096,518.9252644444445,1538.5190599999999,3.850228672712283,1.2683586644682603,9,10,10,10,3,7,4,3,9,4,42,27,69,2,47
LOUISVILLE SLUGGERS,23,220,10.655722886751297,7529,6776,1771,251,980,925,185,0.26136363636363635,1082,71,52,1132,466.51889000000006,1362.6340699999998,3.880471358595195,1.259366053604436,7,9,7,8,10,3,8,5,7,5,41,28,69,2,47
NATIONAL PASTIME,23,270,10.506546318709876,7626,6861,1769,240,928,909,150,0.2578341349657484,1252,78,52,1226,528.170748888889,1524.72195,3.796754584664537,1.217829033546326,5,4,4,6,8,8,8,8,10,8,27,42,69,2,47
BLUE SOCKS,23,251,10.449732099141528,7774,6981,1793,239,962,924,190,0.25683999427016185,1137,74,51,1193,491.559028888889,1379.2852400000002,3.890968566402815,1.213091679859279,4,8,6,9,6,6,7,7,5,10,33,35,68,3,47
MELONHEADS,23,240,9.926974688274225,7447,6606,1661,249,936,916,173,0.25143808658795036,1192,72,44,1166,511.01527333333337,1446.8826999999999,3.8583367953020136,1.2138277684563756,6,5,5,7,4,4,6,6,8,9,27,33,60,4,47
BIG RED MACHINE,23,209,9.789367070428561,7588,6704,1662,272,952,935,118,0.24791169451073986,1196,73,59,1113,519.1016688888889,1497.22045,3.906283461538461,1.2518565635451506,10,7,8,2,1,5,9,4,4,6,28,28,56,5,47
FREE BIRDS,23,244,9.288754365536082,7382,6559,1662,231,885,887,138,0.2533922854093612,1399,85,0,1323,625.0537144444445,1774.9839500000003,4.02107464617584,1.2687519299499646,3,1,2,4,5,10,3,10,2,3,15,28,43,6,47
ERIE LAKERS,23,197,8.038581324950165,7267,6454,1680,240,909,899,112,0.2603036876355748,1092,64,20,980,511.6709466666667,1443.30112,4.217068241758242,1.3217043223443223,5,3,3,1,9,2,5,2,1,1,21,11,32,7,47
FREE AT LAST,22,224,8.09719887377968,7284,6422,1604,228,894,858,128,0.2497664279040797,1024,57,65,976,452.67301666666674,1314.09221,3.9785714355468755,1.283293173828125,2,2,1,3,2,1,10,1,3,2,10,17,27,8,47
WESTSIDE MARAUDERS,22,270,11.008751871536766,7127,6331,1617,269,915,917,132,0.25540988785341967,1316,83,43,1317,562.5395055555555,1592.5661260000002,3.847154673252279,1.2101566306990883,10,5,8,4,7,9,5,9,9,9,34,41,75,1,48
LOUISVILLE SLUGGERS,23,201,10.772613164047447,7529,6773,1760,256,957,917,160,0.25985530783995275,1118,71,63,1142,479.2358788888889,1407.81441,3.8578916905187834,1.2592257692307691,7,9,8,7,9,5,9,6,8,5,40,33,73,2,48
NATIONAL PASTIME,23,254,10.442224622032073,7675,6890,1753,261,936,935,142,0.2544267053701016,1153,73,82,1142,498.2064711111111,1436.0553100000002,3.8888623070251516,1.2454946313963575,9,7,9,5,6,6,10,6,7,7,36,36,72,3,48
BLUE SOCKS,21,260,10.286593351721192,6850,6163,1590,213,853,826,165,0.2579912380334253,1245,81,48,1251,509.0044366666667,1505.9025199999999,3.679550144578314,1.2095602570281123,1,2,2,8,8,8,7,8,10,10,21,43,64,4,48
MELONHEADS,23,234,10.053428677132967,7576,6718,1692,240,944,908,196,0.2518606728192915,1263,75,16,1244,546.3291499999999,1536.29291,3.8930818289786213,1.2163839350752177,4,8,6,9,3,7,2,7,6,8,30,30,60,5,48
BIG RED MACHINE,23,219,9.831636278686707,7472,6654,1692,249,934,911,145,0.25428313796212804,1179,71,59,1123,510.1935722222222,1470.6023,3.894607421543681,1.2473301950805769,6,6,7,6,5,5,8,5,5,6,30,29,59,6,48
HOOSIERS,23,229,10.203479163328101,7977,7072,1774,258,1009,968,219,0.25084841628959276,1123,68,47,995,499.44479333333334,1457.71162,4.002674211932324,1.2980513089937666,8,10,10,10,2,4,6,3,4,2,40,19,59,6,48
